row_type,model_id,model_config_path,artifact_dir,model_artifact_path,uses_calibrated_model,feature_count,live_features_path,model_outcomes_path,fight_id,red_fighter,blue_fighter,loaded_model_probability_red,raw_estimator_probability_red,artifact_sha256,artifact_mtime_utc,artifact_size_bytes,raw_model_sha256,calibrated_model_sha256,feature_columns_json_sha256,feature_columns_joblib_sha256,metrics_json_sha256,feature,importance,importance_source,feature_value,shap_value,abs_shap_value,base_value,prediction_run_id,event_name,outcome_label,outcome_fighter_id,model_probability,confidence_score,model_confidence
metadata,moneyline_xgboost_v6_dev,configs/models/moneyline_xgboost_v6_dev.yaml,models/moneyline/moneyline_xgboost_v6_dev,models/moneyline/moneyline_xgboost_v6_dev/calibrated_model.joblib,True,124.0,data/predictions/live_model_features.parquet,data/predictions/model_outcomes.parquet,4b93a88f3b1de35b__9c393e836a852f30,Mauricio Ruffy,Michael Chandler,0.36000001430511475,0.38552162051200867,f65b99147a951469a77b27152365efd9e0af100f022e88181087a55a71b536b2,2026-06-14T05:52:45.791540146+00:00,844720.0,c7b5d31246bd08d0fa39078302fb955c817dbb71056ca68bdb203e0cdab8dfae,f65b99147a951469a77b27152365efd9e0af100f022e88181087a55a71b536b2,e4e67616e8f4d508e1cfa9f1da73c853c764f4103dbbc785bcc5246656a5325f,62386457d8a87daf05c0e8e3bbd54a9536119a8c893a126916fab2a9f5f88b7d,2fd0f5200a6b18f06bbfa5064e6f221c09b198c377561cf01fead0a2629d1b18,,,,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,reach_diff,0.052237008,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,ewm_win_pct_diff,0.021361886,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,striking_edge,0.02103672,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,aggression_index_diff,0.013336859,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,elo_diff,0.013211844,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,ewm_days_since_last_fight_diff,0.012996398,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,weight_diff,0.011297275,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,experience_ratio_diff,0.011291513,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,ewm_recent_sapm_diff,0.011046848,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,ewm_losses_diff,0.0109920185,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,kd_absorbed_avg_diff,0.010954005,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,avg_opponent_elo_diff,0.010826536,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,ewm_win_streak_diff,0.010430978,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,ctrl_against_per_min_diff,0.010101339,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,wrestling_mismatch_diff,0.009900599,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,ewm_worst_loss_elo_diff,0.009880542,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,reach_striking_combo,0.009636328,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,recent_avg_fight_time_diff,0.009599783,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,ewm_sapm_diff,0.0091360975,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,chin_risk_diff,0.009055407,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,best_win_elo_diff,0.008919739,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,ewm_ctrl_against_per_min_diff,0.008913873,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,losses_diff,0.008853514,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,recent_form_avg_fight_time_diff,0.008778185,feature_importances_,,,,,,,,,,,
importance,,,,,,,,,,,,,,,,,,,,,,splm_diff,0.0086703515,feature_importances_,,,,,,,,,,,
