bout_id,date,red_fighter_id,red_fighter,blue_fighter_id,blue_fighter,red_prior_ufc_fights,blue_prior_ufc_fights,cohort_split,included,exclusion_reason
caeeb398f73d213a,2023-02-04,d3df1add9d9a7efb,Derrick Lewis,e2f6b2769aaedd6c,Serghei Spivac,25,9,development,True,
2208b9f471a201d9,2023-02-11,cbf5e6f231b55443,Yair Rodriguez,fba03cd6cc28dc41,Josh Emmett,12,11,development,True,
256894b49303537b,2023-02-11,275aca31f61ba28c,Islam Makhachev,e1248941344b3288,Alexander Volkanovski,13,12,development,True,
4f672dd40867d8c6,2023-02-11,6b453bc35a823c3f,Jack Della Maddalena,c6aee362c7a7d482,Randy Brown,3,14,development,True,
51a12878b151d67b,2023-02-11,4e30e4250cb08b61,Loma Lookboonmee,ac7c765882f2c68c,Elise Reed,6,4,development,True,
8b7bc2af1e15b668,2023-02-11,6751eacd16bd59bc,Josh Culibao,a52bc1e62cf0b7c6,Melsik Baghdasaryan,4,2,development,True,
ca2672e68fedf4b7,2023-02-11,49e96ff8ab781589,Tyson Pedro,476fe566d2df676e,Modestas Bukauskas,8,4,development,True,
da22d5a717ae9e35,2023-02-11,e13abac8089a801a,Justin Tafa,ac40f7e3cbecdda4,Parker Porter,5,5,development,True,
3d46d635f9ae5e68,2023-02-18,50db8711c70196cd,Ovince Saint Preux,53c943c873cffe90,Philipe Lins,25,3,development,True,
682ff095649c9a5c,2023-02-18,d1941565abf50b16,Jim Miller,262a7d06203657e6,Alexander Hernandez,40,10,development,True,
c3a4187fc821bfff,2023-02-18,2eeaefbfc7f9fcff,Lina Lansberg,cc8c623cca88f54f,Mayra Bueno Silva,10,7,development,True,
dc6f69f923744948,2023-02-18,5da33b8fbfa5ee95,William Knight,6370c1c1e12723d5,Marcin Prachnio,6,6,development,True,
dcc3da324eb5f26c,2023-02-18,6a1901c62ab3870f,Jessica Andrade,669970f7feba8ecd,Erin Blanchfield,22,4,development,True,
2ba11e0bf32829d6,2023-02-25,886264a0c9f4ea5e,Andre Muniz,2f181c0467965b98,Brendan Allen,5,10,development,True,
5737084215c45792,2023-02-25,b08012bbe542592a,Tatiana Suarez,80d8aed0ca9b00f3,Montana De La Rosa,5,9,development,True,
63670e1b8f164d4a,2023-02-25,6d68c1afe954f121,Ode Osbourne,814e5233e2acf2ee,Charles Johnson,6,3,development,True,
d6357dab7ccdf2db,2023-02-25,441eacbe20e0e80b,Augusto Sakai,1a9480fc288e55d7,Don'Tale Mayes,8,5,development,True,
009feda296ae589c,2023-03-04,36541f1e6c5d4955,Viviane Araujo,beecb672a279223e,Amanda Ribas,8,7,development,True,
22fc6b3f4e48cfa3,2023-03-04,b997be68943010fc,Geoff Neal,01afe0916a40c7c5,Shavkat Rakhmonov,9,4,development,True,
636fd144716a3084,2023-03-04,07f72a2a7591b409,Jon Jones,787bb1f087ccff8a,Ciryl Gane,22,9,development,True,
a69afe4a88c0ca12,2023-03-04,132deb59abae64b1,Valentina Shevchenko,e8b731feff72294b,Alexa Grasso,14,10,development,True,
c29e2c49e1e417c8,2023-03-04,d0e1b42d41dab603,Julian Marquez,8e9eb3fc86db0f7d,Marc-Andre Barriault,5,9,development,True,
c2fc4c1e0c769655,2023-03-04,b1a3e0aca758b322,Derek Brunson,0d7b51c9d2649a6e,Dricus Du Plessis,20,4,development,True,
c3b9b97467f828d1,2023-03-04,c742287ed86a09bc,Jessica Penne,d25240135aee03e5,Tabatha Ricci,7,3,development,True,
d6d034e98ce85246,2023-03-04,72db2a14ffa73ece,Mateusz Gamrot,4d8fa64202cee4c1,Jalin Turner,6,8,development,True,
ec490d4224d3bc78,2023-03-04,d8c7c61b176e3994,Cody Garbrandt,ec23c1be628d8057,Trevin Jones,12,5,development,True,
ed9f8f702585ed44,2023-03-04,442c9011034ae1fd,Ian Machado Garry,32490e80ddab1e5a,Song Kenan,3,6,development,True,
0ccd2593c88209e4,2023-03-11,d661ce4da776fc20,Petr Yan,c03520b5c88ed6b4,Merab Dvalishvili,11,10,development,True,
2c58a97f2fe6c985,2023-03-11,bc711b6dd95c1af6,Mario Bautista,d05412b513b19621,Guido Cannetti,7,9,development,True,
3b561a154aa2bbb2,2023-03-11,279566840aa55bf2,Alexander Volkov,c0badf3243907e59,Alexandr Romanov,13,6,development,True,
804c350ce714770f,2023-03-11,2f13e4020cea5b38,Raphael Assuncao,113df4fde64735c6,Davey Grant,18,10,development,True,
8e5ce3308c0e2046,2023-03-11,6551c64fbcd1a467,Ariane da Silva,6fd953151d981979,JJ Aldrich,8,11,development,True,
b9539d5e379b3edc,2023-03-11,0fd5f4b838e890cc,Said Nurmagomedov,f2477cf43c4975cc,Jonathan Martinez,7,11,development,True,
c3af2b6ab1262fef,2023-03-11,6e00cfffd54653c4,Tyson Nam,294aa73dbf37d281,Bruno Silva,6,5,development,True,
c4e4954beb59eca6,2023-03-11,eb8d8c2a95cfccb8,Victor Henry,601964f9654f911a,Tony Gravely,2,7,development,True,
ccb5e29cd0347110,2023-03-11,a53d30163304aa6e,Carlston Harris,c730a0be691dc081,Jared Gooden,3,4,development,True,
d6945828f5fa7492,2023-03-11,1091d4d957141094,Nikita Krylov,a67f5afa8d6a1b80,Ryan Spann,17,9,development,True,
019b4d006800504b,2023-03-18,fd55393021a8c255,Gunnar Nelson,a331233f597090a5,Bryan Barberena,14,16,development,True,
13f5be7a2ea5577e,2023-03-18,b8a85389d115e35a,Jack Shore,87a1dc546b1c5caf,Makwan Amirkhani,6,13,development,True,
5e9c027fb24efc2b,2023-03-18,7acbb0972e75281a,Marvin Vettori,327d5f279895110d,Roman Dolidze,13,7,development,True,
6068385c48de6801,2023-03-18,60a42bf82447c919,Jake Hadley,dee294e9717012c2,Malcolm Gordon,2,5,development,True,
8a3e7085e8e5a6e9,2023-03-18,12f91bfa8f1f723b,Joanne Wood,528b071cf3da7c56,Luana Carolina,15,5,development,True,
90a83875e1d11238,2023-03-18,9e8f6c728eb01124,Justin Gaethje,c814b4c899793af6,Rafael Fiziev,10,7,development,True,
c483ac06b1e33c3b,2023-03-18,f1fac969a1d70b08,Leon Edwards,f1b2aa7853d1ed6e,Kamaru Usman,15,16,development,True,
dd9cbf6d6284de26,2023-03-18,8e1f36476ef02a6a,Jennifer Maia,04835018f90b118c,Casey O'Neill,10,4,development,True,
07e39fd5f4f23270,2023-03-25,b27a1fcb56a3035a,Trevin Giles,9fe7af8b3fbe00a0,Preston Parsons,10,2,development,True,
16bd47ba50891833,2023-03-25,077e3ace32b72be9,CJ Vergara,31bb0772f21cabd8,Daniel Lacerda,3,3,development,True,
1c2d0db1c9eed052,2023-03-25,634e2fb70bde3fd5,Holly Holm,3143bf892608139a,Yana Santos,13,7,development,True,
2f382615155e32b9,2023-03-25,c68c68efaa5ca6ef,Chidi Njokuani,6b7c7460855dbbb9,Albert Duraev,3,2,development,True,
33fa6793a7f984ac,2023-03-25,7c7332319c14094c,Marlon Vera,65f09bacd3957381,Cory Sandhagen,20,11,development,True,
9433730f95d52fc8,2023-03-25,05fa626cb33d15b8,Andrea Lee,6a740daf1b279661,Maycee Barber,9,8,development,True,
bce8ece2ff26b4d4,2023-03-25,583ee11abddfc581,Nate Landwehr,305d73ede05e31ad,Austin Lingo,5,3,development,True,
c6cc6ae23cbf8a27,2023-03-25,361d49960a196976,Daniel Pineda,7832f2f62f04178f,Tucker Lutz,10,2,development,True,
