fight_id,path,side,fighter_name,duration,control_hit_cap,final_td_control_shift,sim_distance_attempted,sim_distance_landed,sim_clinch_attempted,sim_clinch_landed,sim_ground_attempted,sim_ground_landed,sim_td_attempted,sim_td_landed,sim_qualified_control_inflicted_seconds
0f20c1d7c44fa5fe,0,red,Raul Rosas Jr.,900.0,0.0,3.469198108775547,56.0,25.0,18.0,8.0,0.0,0.0,35.0,10.0,750.0
0f20c1d7c44fa5fe,0,blue,Vince Morales,900.0,0.0,3.469198108775547,128.0,45.0,5.0,5.0,0.0,0.0,0.0,0.0,40.0
0f20c1d7c44fa5fe,1,red,Raul Rosas Jr.,900.0,0.0,5.0,58.0,21.0,3.0,2.0,14.0,11.0,34.0,19.0,540.0
0f20c1d7c44fa5fe,1,blue,Vince Morales,900.0,0.0,5.0,130.0,48.0,9.0,5.0,15.0,10.0,0.0,0.0,10.0
0f20c1d7c44fa5fe,2,red,Raul Rosas Jr.,900.0,0.0,2.428438676142883,71.0,29.0,5.0,4.0,73.0,48.0,18.0,8.0,790.0
0f20c1d7c44fa5fe,2,blue,Vince Morales,900.0,0.0,2.428438676142883,60.0,22.0,4.0,3.0,9.0,8.0,1.0,1.0,70.0
0f20c1d7c44fa5fe,3,red,Raul Rosas Jr.,900.0,0.0,2.0815188652653283,115.0,45.0,3.0,2.0,31.0,23.0,28.0,8.0,350.0
0f20c1d7c44fa5fe,3,blue,Vince Morales,900.0,0.0,2.0815188652653283,29.0,10.0,8.0,6.0,0.0,0.0,4.0,2.0,0.0
0f20c1d7c44fa5fe,4,red,Raul Rosas Jr.,900.0,0.0,5.0,193.0,92.0,4.0,3.0,37.0,27.0,36.0,18.0,610.0
0f20c1d7c44fa5fe,4,blue,Vince Morales,900.0,0.0,5.0,68.0,19.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0
0f20c1d7c44fa5fe,5,red,Raul Rosas Jr.,900.0,0.0,4.653080189122445,99.0,48.0,14.0,6.0,8.0,7.0,41.0,16.0,860.0
0f20c1d7c44fa5fe,5,blue,Vince Morales,900.0,0.0,4.653080189122445,85.0,35.0,0.0,0.0,8.0,8.0,3.0,2.0,40.0
0f20c1d7c44fa5fe,6,red,Raul Rosas Jr.,900.0,0.0,1.387679243510219,49.0,14.0,2.0,1.0,31.0,25.0,8.0,4.0,840.0
0f20c1d7c44fa5fe,6,blue,Vince Morales,900.0,0.0,1.387679243510219,22.0,11.0,13.0,7.0,35.0,30.0,0.0,0.0,60.0
0f20c1d7c44fa5fe,7,red,Raul Rosas Jr.,900.0,0.0,2.0815188652653283,104.0,51.0,5.0,3.0,0.0,0.0,26.0,7.0,620.0
0f20c1d7c44fa5fe,7,blue,Vince Morales,900.0,0.0,2.0815188652653283,83.0,30.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0
0f20c1d7c44fa5fe,8,red,Raul Rosas Jr.,900.0,0.0,1.7345990543877736,61.0,25.0,5.0,1.0,0.0,0.0,18.0,5.0,480.0
0f20c1d7c44fa5fe,8,blue,Vince Morales,900.0,0.0,1.7345990543877736,60.0,18.0,9.0,5.0,9.0,9.0,0.0,0.0,30.0
0f20c1d7c44fa5fe,9,red,Raul Rosas Jr.,900.0,0.0,0.0,88.0,37.0,11.0,10.0,3.0,3.0,1.0,0.0,410.0
0f20c1d7c44fa5fe,9,blue,Vince Morales,900.0,0.0,0.0,94.0,35.0,12.0,10.0,0.0,0.0,0.0,0.0,50.0
0f20c1d7c44fa5fe,10,red,Raul Rosas Jr.,900.0,0.0,2.428438676142883,161.0,73.0,2.0,1.0,62.0,49.0,15.0,7.0,280.0
0f20c1d7c44fa5fe,10,blue,Vince Morales,900.0,0.0,2.428438676142883,104.0,47.0,0.0,0.0,4.0,1.0,0.0,0.0,10.0
0f20c1d7c44fa5fe,11,red,Raul Rosas Jr.,900.0,0.0,2.7753584870204375,21.0,12.0,3.0,1.0,9.0,8.0,16.0,8.0,370.0
0f20c1d7c44fa5fe,11,blue,Vince Morales,900.0,0.0,2.7753584870204375,77.0,31.0,8.0,3.0,0.0,0.0,0.0,0.0,10.0
0f20c1d7c44fa5fe,12,red,Raul Rosas Jr.,900.0,0.0,4.1630377305306565,83.0,27.0,4.0,0.0,0.0,0.0,30.0,12.0,890.0
0f20c1d7c44fa5fe,12,blue,Vince Morales,900.0,0.0,4.1630377305306565,49.0,20.0,4.0,3.0,1.0,0.0,0.0,0.0,10.0
0f20c1d7c44fa5fe,13,red,Raul Rosas Jr.,900.0,0.0,2.0815188652653283,53.0,21.0,0.0,0.0,100.0,70.0,18.0,6.0,870.0
0f20c1d7c44fa5fe,13,blue,Vince Morales,900.0,0.0,2.0815188652653283,85.0,31.0,8.0,7.0,0.0,0.0,0.0,0.0,30.0
0f20c1d7c44fa5fe,14,red,Raul Rosas Jr.,900.0,0.0,0.6938396217551095,55.0,18.0,28.0,17.0,114.0,80.0,8.0,2.0,840.0
0f20c1d7c44fa5fe,14,blue,Vince Morales,900.0,0.0,0.6938396217551095,31.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,60.0
0f20c1d7c44fa5fe,15,red,Raul Rosas Jr.,900.0,0.0,0.34691981087755475,76.0,44.0,1.0,0.0,14.0,9.0,4.0,1.0,430.0
0f20c1d7c44fa5fe,15,blue,Vince Morales,900.0,0.0,0.34691981087755475,40.0,13.0,3.0,2.0,26.0,16.0,0.0,0.0,0.0
0f20c1d7c44fa5fe,16,red,Raul Rosas Jr.,900.0,0.0,1.0407594326326643,58.0,27.0,1.0,0.0,85.0,60.0,4.0,3.0,230.0
0f20c1d7c44fa5fe,16,blue,Vince Morales,900.0,0.0,1.0407594326326643,57.0,22.0,1.0,1.0,12.0,9.0,0.0,0.0,30.0
0f20c1d7c44fa5fe,17,red,Raul Rosas Jr.,900.0,0.0,2.7753584870204375,21.0,10.0,2.0,1.0,63.0,43.0,15.0,8.0,210.0
0f20c1d7c44fa5fe,17,blue,Vince Morales,900.0,0.0,2.7753584870204375,42.0,14.0,7.0,5.0,0.0,0.0,0.0,0.0,20.0
0f20c1d7c44fa5fe,18,red,Raul Rosas Jr.,900.0,0.0,2.0815188652653283,90.0,43.0,8.0,4.0,7.0,4.0,10.0,6.0,560.0
0f20c1d7c44fa5fe,18,blue,Vince Morales,900.0,0.0,2.0815188652653283,122.0,38.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0
0f20c1d7c44fa5fe,19,red,Raul Rosas Jr.,900.0,0.0,4.509957541408212,92.0,41.0,0.0,0.0,23.0,15.0,30.0,13.0,860.0
0f20c1d7c44fa5fe,19,blue,Vince Morales,900.0,0.0,4.509957541408212,31.0,14.0,3.0,2.0,4.0,2.0,0.0,0.0,40.0
33e301872e2b5680,0,red,Brandon Moreno,1500.0,0.0,2.7753584870204375,201.0,76.0,7.0,4.0,4.0,3.0,20.0,9.0,140.0
33e301872e2b5680,0,blue,Steve Erceg,1500.0,0.0,2.7753584870204375,263.0,107.0,0.0,0.0,0.0,0.0,7.0,1.0,10.0
33e301872e2b5680,1,red,Brandon Moreno,1500.0,0.0,0.0,181.0,71.0,3.0,3.0,0.0,0.0,0.0,0.0,380.0
33e301872e2b5680,1,blue,Steve Erceg,1500.0,0.0,0.0,122.0,51.0,12.0,9.0,0.0,0.0,0.0,0.0,100.0
33e301872e2b5680,2,red,Brandon Moreno,1500.0,0.0,0.34691981087755475,281.0,133.0,12.0,9.0,0.0,0.0,4.0,1.0,60.0
