fight_id,red_name,blue_name,winner_name,method,actual_red_win,predicted_red_win,red_rounds,blue_rounds,rounds_scored,round_details
0f20c1d7c44fa5fe,Raul Rosas Jr.,Vince Morales,Raul Rosas Jr.,Decision - Unanimous,1,1.0,2,1,3,"[{'round': 1, 'red_score_value': 23.438283, 'blue_score_value': 3.7822750000000003, 'round_winner': 'red', 'red_sig': 11.0, 'blue_sig': 0.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 1.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 213.0, 'blue_ctrl': 36.0}, {'round': 2, 'red_score_value': 19.215494, 'blue_score_value': 11.0, 'round_winner': 'red', 'red_sig': 5.0, 'blue_sig': 11.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 2.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 208.0, 'blue_ctrl': 0.0}, {'round': 3, 'red_score_value': 13.699659, 'blue_score_value': 16.501426, 'round_winner': 'blue', 'red_sig': 4.0, 'blue_sig': 6.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 2.0, 'red_ctrl': 157.0, 'blue_ctrl': 98.0}]"
33e301872e2b5680,Brandon Moreno,Steve Erceg,Brandon Moreno,Decision - Unanimous,1,0.0,1,4,5,"[{'round': 1, 'red_score_value': 21.0, 'blue_score_value': 25.0, 'round_winner': 'blue', 'red_sig': 21.0, 'blue_sig': 25.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 0.0}, {'round': 2, 'red_score_value': 21.0, 'blue_score_value': 27.0, 'round_winner': 'blue', 'red_sig': 21.0, 'blue_sig': 27.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 0.0}, {'round': 3, 'red_score_value': 10.0, 'blue_score_value': 20.0, 'round_winner': 'blue', 'red_sig': 10.0, 'blue_sig': 20.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 0.0}, {'round': 4, 'red_score_value': 20.320408, 'blue_score_value': 25.0, 'round_winner': 'blue', 'red_sig': 19.0, 'blue_sig': 25.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 27.0, 'blue_ctrl': 0.0}, {'round': 5, 'red_score_value': 22.858162999999998, 'blue_score_value': 19.0, 'round_winner': 'red', 'red_sig': 18.0, 'blue_sig': 19.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 58.0, 'blue_ctrl': 0.0}]"
41cdbcc0f3635b8f,Christian Rodriguez,Melquizael Costa,Melquizael Costa,Decision - Unanimous,0,0.0,1,2,3,"[{'round': 1, 'red_score_value': 22.086956, 'blue_score_value': 28.455328, 'round_winner': 'blue', 'red_sig': 11.0, 'blue_sig': 22.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 1.0, 'blue_sub': 0.0, 'red_ctrl': 127.0, 'blue_ctrl': 132.0}, {'round': 2, 'red_score_value': 26.009939, 'blue_score_value': 37.918324, 'round_winner': 'blue', 'red_sig': 19.0, 'blue_sig': 26.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 1.0, 'red_sub': 0.0, 'blue_sub': 1.0, 'red_ctrl': 102.0, 'blue_ctrl': 144.0}, {'round': 3, 'red_score_value': 50.84074, 'blue_score_value': 17.831368, 'round_winner': 'red', 'red_sig': 34.0, 'blue_sig': 17.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 4.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 179.0, 'blue_ctrl': 17.0}]"
5ba7dd466e30169f,Ronaldo Rodriguez,Kevin Borjas,Kevin Borjas,Decision - Unanimous,0,0.0,0,3,3,"[{'round': 1, 'red_score_value': 14.124602999999999, 'blue_score_value': 27.17809, 'round_winner': 'blue', 'red_sig': 10.0, 'blue_sig': 17.0, 'red_kd': 0.0, 'blue_kd': 1.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 43.0, 'blue_ctrl': 2.0}, {'round': 2, 'red_score_value': 17.684656, 'blue_score_value': 23.0, 'round_winner': 'blue', 'red_sig': 17.0, 'blue_sig': 23.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 14.0, 'blue_ctrl': 0.0}, {'round': 3, 'red_score_value': 37.0, 'blue_score_value': 43.0, 'round_winner': 'blue', 'red_sig': 37.0, 'blue_sig': 43.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 0.0}]"
7e3fc760b26b6ae4,Rafa Garcia,Vinc Pichel,Rafa Garcia,Decision - Unanimous,1,1.0,2,1,3,"[{'round': 1, 'red_score_value': 17.249395, 'blue_score_value': 13.0, 'round_winner': 'red', 'red_sig': 12.0, 'blue_sig': 13.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 66.0, 'blue_ctrl': 0.0}, {'round': 2, 'red_score_value': 22.124792, 'blue_score_value': 32.0, 'round_winner': 'blue', 'red_sig': 21.0, 'blue_sig': 32.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 23.0, 'blue_ctrl': 0.0}, {'round': 3, 'red_score_value': 35.271315, 'blue_score_value': 34.048904, 'round_winner': 'red', 'red_sig': 31.0, 'blue_sig': 34.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 46.0, 'blue_ctrl': 1.0}]"
7efca050bc7be8ac,Loopy Godinez,Julia Polastri,Loopy Godinez,Decision - Unanimous,1,1.0,3,0,3,"[{'round': 1, 'red_score_value': 25.117686, 'blue_score_value': 14.0, 'round_winner': 'red', 'red_sig': 11.0, 'blue_sig': 14.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 2.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 206.0, 'blue_ctrl': 0.0}, {'round': 2, 'red_score_value': 28.628645999999996, 'blue_score_value': 15.0, 'round_winner': 'red', 'red_sig': 15.0, 'blue_sig': 15.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 2.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 196.0, 'blue_ctrl': 0.0}, {'round': 3, 'red_score_value': 62.369123, 'blue_score_value': 58.929176, 'round_winner': 'red', 'red_sig': 58.0, 'blue_sig': 58.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 48.0, 'blue_ctrl': 19.0}]"
9f66d450af690df5,MarQuel Mederos,Austin Hubbard,MarQuel Mederos,Decision - Split,1,1.0,2,1,3,"[{'round': 1, 'red_score_value': 23.0, 'blue_score_value': 19.4452, 'round_winner': 'red', 'red_sig': 23.0, 'blue_sig': 17.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 50.0}, {'round': 2, 'red_score_value': 6.24452, 'blue_score_value': 20.199956, 'round_winner': 'blue', 'red_sig': 6.0, 'blue_sig': 3.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 1.0, 'red_sub': 0.0, 'blue_sub': 1.0, 'red_ctrl': 5.0, 'blue_ctrl': 252.0}, {'round': 3, 'red_score_value': 19.303552, 'blue_score_value': 15.455138999999999, 'round_winner': 'red', 'red_sig': 15.0, 'blue_sig': 6.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 1.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 88.0, 'blue_ctrl': 152.0}]"
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,1,1.0,2,1,3,"[{'round': 1, 'red_score_value': 13.0, 'blue_score_value': 9.271504, 'round_winner': 'red', 'red_sig': 13.0, 'blue_sig': 8.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 26.0}, {'round': 2, 'red_score_value': 26.048904, 'blue_score_value': 25.298488, 'round_winner': 'red', 'red_sig': 26.0, 'blue_sig': 23.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 1.0, 'blue_ctrl': 47.0}, {'round': 3, 'red_score_value': 8.0, 'blue_score_value': 17.318744000000002, 'round_winner': 'blue', 'red_sig': 8.0, 'blue_sig': 7.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 211.0}]"
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,1,1.0,2,1,3,"[{'round': 1, 'red_score_value': 38.894605, 'blue_score_value': 21.760544, 'round_winner': 'red', 'red_sig': 22.0, 'blue_sig': 20.0, 'red_kd': 1.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 98.0, 'blue_ctrl': 36.0}, {'round': 2, 'red_score_value': 25.738624, 'blue_score_value': 34.466553000000005, 'round_winner': 'blue', 'red_sig': 23.0, 'blue_sig': 24.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 3.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 56.0, 'blue_ctrl': 90.0}, {'round': 3, 'red_score_value': 34.716515, 'blue_score_value': 17.564739, 'round_winner': 'red', 'red_sig': 28.0, 'blue_sig': 13.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 1.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 96.0, 'blue_ctrl': 52.0}]"
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,0,0.0,1,4,5,"[{'round': 1, 'red_score_value': 12.266250999999999, 'blue_score_value': 10.0, 'round_winner': 'red', 'red_sig': 10.0, 'blue_sig': 10.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 5.0, 'blue_ctrl': 0.0}, {'round': 2, 'red_score_value': 11.422902, 'blue_score_value': 13.293424, 'round_winner': 'blue', 'red_sig': 2.0, 'blue_sig': 13.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 2.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 110.0, 'blue_ctrl': 6.0}, {'round': 3, 'red_score_value': 10.004875, 'blue_score_value': 21.0, 'round_winner': 'blue', 'red_sig': 5.0, 'blue_sig': 21.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 61.0, 'blue_ctrl': 0.0}, {'round': 4, 'red_score_value': 14.369312, 'blue_score_value': 22.0, 'round_winner': 'blue', 'red_sig': 13.0, 'blue_sig': 22.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 28.0, 'blue_ctrl': 0.0}, {'round': 5, 'red_score_value': 11.73356, 'blue_score_value': 18.0, 'round_winner': 'blue', 'red_sig': 11.0, 'blue_sig': 18.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 15.0, 'blue_ctrl': 0.0}]"
