fight_id,red_name,blue_name,winner_name,method,variant,actual_red_win,predicted_red_win,red_rounds,blue_rounds,tied_rounds,correct
0f20c1d7c44fa5fe,Raul Rosas Jr.,Vince Morales,Raul Rosas Jr.,Decision - Unanimous,SIG_ONLY,1,0.0,1,2,0,False
0f20c1d7c44fa5fe,Raul Rosas Jr.,Vince Morales,Raul Rosas Jr.,Decision - Unanimous,SIG_KD,1,0.0,1,2,0,False
0f20c1d7c44fa5fe,Raul Rosas Jr.,Vince Morales,Raul Rosas Jr.,Decision - Unanimous,SIG_KD_TD,1,1.0,2,1,0,True
0f20c1d7c44fa5fe,Raul Rosas Jr.,Vince Morales,Raul Rosas Jr.,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,3,0,0,True
0f20c1d7c44fa5fe,Raul Rosas Jr.,Vince Morales,Raul Rosas Jr.,Decision - Unanimous,OLD_FULL,1,1.0,2,1,0,True
0f20c1d7c44fa5fe,Raul Rosas Jr.,Vince Morales,Raul Rosas Jr.,Decision - Unanimous,DAMAGE_FIRST,1,0.0,1,2,0,False
33e301872e2b5680,Brandon Moreno,Steve Erceg,Brandon Moreno,Decision - Unanimous,SIG_ONLY,1,0.0,0,5,0,False
33e301872e2b5680,Brandon Moreno,Steve Erceg,Brandon Moreno,Decision - Unanimous,SIG_KD,1,0.0,0,5,0,False
33e301872e2b5680,Brandon Moreno,Steve Erceg,Brandon Moreno,Decision - Unanimous,SIG_KD_TD,1,0.0,1,4,0,False
33e301872e2b5680,Brandon Moreno,Steve Erceg,Brandon Moreno,Decision - Unanimous,SIG_KD_TD_CTRL,1,0.0,1,4,0,False
33e301872e2b5680,Brandon Moreno,Steve Erceg,Brandon Moreno,Decision - Unanimous,OLD_FULL,1,0.0,1,4,0,False
33e301872e2b5680,Brandon Moreno,Steve Erceg,Brandon Moreno,Decision - Unanimous,DAMAGE_FIRST,1,0.0,0,5,0,False
41cdbcc0f3635b8f,Christian Rodriguez,Melquizael Costa,Melquizael Costa,Decision - Unanimous,SIG_ONLY,0,0.0,1,2,0,True
41cdbcc0f3635b8f,Christian Rodriguez,Melquizael Costa,Melquizael Costa,Decision - Unanimous,SIG_KD,0,0.0,1,2,0,True
41cdbcc0f3635b8f,Christian Rodriguez,Melquizael Costa,Melquizael Costa,Decision - Unanimous,SIG_KD_TD,0,0.0,1,2,0,True
41cdbcc0f3635b8f,Christian Rodriguez,Melquizael Costa,Melquizael Costa,Decision - Unanimous,SIG_KD_TD_CTRL,0,0.0,1,2,0,True
41cdbcc0f3635b8f,Christian Rodriguez,Melquizael Costa,Melquizael Costa,Decision - Unanimous,OLD_FULL,0,0.0,1,2,0,True
41cdbcc0f3635b8f,Christian Rodriguez,Melquizael Costa,Melquizael Costa,Decision - Unanimous,DAMAGE_FIRST,0,0.0,1,2,0,True
5ba7dd466e30169f,Ronaldo Rodriguez,Kevin Borjas,Kevin Borjas,Decision - Unanimous,SIG_ONLY,0,0.0,0,3,0,True
5ba7dd466e30169f,Ronaldo Rodriguez,Kevin Borjas,Kevin Borjas,Decision - Unanimous,SIG_KD,0,0.0,0,3,0,True
5ba7dd466e30169f,Ronaldo Rodriguez,Kevin Borjas,Kevin Borjas,Decision - Unanimous,SIG_KD_TD,0,0.0,0,3,0,True
5ba7dd466e30169f,Ronaldo Rodriguez,Kevin Borjas,Kevin Borjas,Decision - Unanimous,SIG_KD_TD_CTRL,0,0.0,0,3,0,True
5ba7dd466e30169f,Ronaldo Rodriguez,Kevin Borjas,Kevin Borjas,Decision - Unanimous,OLD_FULL,0,0.0,0,3,0,True
5ba7dd466e30169f,Ronaldo Rodriguez,Kevin Borjas,Kevin Borjas,Decision - Unanimous,DAMAGE_FIRST,0,0.0,0,3,0,True
7e3fc760b26b6ae4,Rafa Garcia,Vinc Pichel,Rafa Garcia,Decision - Unanimous,SIG_ONLY,1,0.0,0,3,0,False
7e3fc760b26b6ae4,Rafa Garcia,Vinc Pichel,Rafa Garcia,Decision - Unanimous,SIG_KD,1,0.0,0,3,0,False
7e3fc760b26b6ae4,Rafa Garcia,Vinc Pichel,Rafa Garcia,Decision - Unanimous,SIG_KD_TD,1,0.0,1,2,0,False
7e3fc760b26b6ae4,Rafa Garcia,Vinc Pichel,Rafa Garcia,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,2,1,0,True
7e3fc760b26b6ae4,Rafa Garcia,Vinc Pichel,Rafa Garcia,Decision - Unanimous,OLD_FULL,1,1.0,2,1,0,True
7e3fc760b26b6ae4,Rafa Garcia,Vinc Pichel,Rafa Garcia,Decision - Unanimous,DAMAGE_FIRST,1,0.0,0,3,0,False
7efca050bc7be8ac,Loopy Godinez,Julia Polastri,Loopy Godinez,Decision - Unanimous,SIG_ONLY,1,0.0,0,1,2,False
7efca050bc7be8ac,Loopy Godinez,Julia Polastri,Loopy Godinez,Decision - Unanimous,SIG_KD,1,0.0,0,1,2,False
7efca050bc7be8ac,Loopy Godinez,Julia Polastri,Loopy Godinez,Decision - Unanimous,SIG_KD_TD,1,1.0,3,0,0,True
7efca050bc7be8ac,Loopy Godinez,Julia Polastri,Loopy Godinez,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,3,0,0,True
7efca050bc7be8ac,Loopy Godinez,Julia Polastri,Loopy Godinez,Decision - Unanimous,OLD_FULL,1,1.0,3,0,0,True
7efca050bc7be8ac,Loopy Godinez,Julia Polastri,Loopy Godinez,Decision - Unanimous,DAMAGE_FIRST,1,1.0,2,1,0,True
9f66d450af690df5,MarQuel Mederos,Austin Hubbard,MarQuel Mederos,Decision - Split,SIG_ONLY,1,1.0,3,0,0,True
9f66d450af690df5,MarQuel Mederos,Austin Hubbard,MarQuel Mederos,Decision - Split,SIG_KD,1,1.0,3,0,0,True
9f66d450af690df5,MarQuel Mederos,Austin Hubbard,MarQuel Mederos,Decision - Split,SIG_KD_TD,1,1.0,3,0,0,True
9f66d450af690df5,MarQuel Mederos,Austin Hubbard,MarQuel Mederos,Decision - Split,SIG_KD_TD_CTRL,1,1.0,2,1,0,True
9f66d450af690df5,MarQuel Mederos,Austin Hubbard,MarQuel Mederos,Decision - Split,OLD_FULL,1,1.0,2,1,0,True
9f66d450af690df5,MarQuel Mederos,Austin Hubbard,MarQuel Mederos,Decision - Split,DAMAGE_FIRST,1,1.0,3,0,0,True
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,SIG_ONLY,1,1.0,3,0,0,True
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,SIG_KD,1,1.0,3,0,0,True
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,SIG_KD_TD,1,1.0,3,0,0,True
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,2,1,0,True
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,OLD_FULL,1,1.0,2,1,0,True
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,DAMAGE_FIRST,1,1.0,3,0,0,True
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,SIG_ONLY,1,1.0,2,1,0,True
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,SIG_KD,1,1.0,2,1,0,True
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,SIG_KD_TD,1,1.0,2,1,0,True
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,2,1,0,True
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,OLD_FULL,1,1.0,2,1,0,True
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,DAMAGE_FIRST,1,1.0,2,1,0,True
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,SIG_ONLY,0,0.0,0,4,1,True
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,SIG_KD,0,0.0,0,4,1,True
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,SIG_KD_TD,0,0.0,1,4,0,True
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,SIG_KD_TD_CTRL,0,0.0,1,4,0,True
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,OLD_FULL,0,0.0,1,4,0,True
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,DAMAGE_FIRST,0,0.0,1,4,0,True
96cc199d78732d11,Martin Buday,Uran Satybaldiev,Martin Buday,Decision - Unanimous,SIG_ONLY,1,1.0,3,0,0,True
96cc199d78732d11,Martin Buday,Uran Satybaldiev,Martin Buday,Decision - Unanimous,SIG_KD,1,1.0,3,0,0,True
