fight_id,path,side,fighter_name,duration,target_control,realized_control,free_seconds,sim_distance_attempted,sim_distance_landed,sim_clinch_attempted,sim_clinch_landed,sim_ground_attempted,sim_ground_landed,sim_td_attempted,sim_td_landed,sim_standing_attempted,sim_standing_landed,sim_qualified_control_inflicted_seconds
0f20c1d7c44fa5fe,0,red,Raul Rosas Jr.,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,21.0,17.0,0.0,0.0,0.0,0.0,900.0
0f20c1d7c44fa5fe,0,blue,Vince Morales,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0
0f20c1d7c44fa5fe,1,red,Raul Rosas Jr.,900.0,370.0,370.0,529.999999999999,977.0,411.0,120.0,76.0,42.0,35.0,221.0,92.0,1097.0,487.0,370.0
0f20c1d7c44fa5fe,1,blue,Vince Morales,900.0,370.0,370.0,529.999999999999,601.0,240.0,1.0,0.0,0.0,0.0,33.0,22.0,602.0,240.0,0.0
0f20c1d7c44fa5fe,2,red,Raul Rosas Jr.,900.0,250.0,250.0,650.0,1152.0,477.0,51.0,30.0,0.0,0.0,145.0,65.0,1203.0,507.0,250.0
0f20c1d7c44fa5fe,2,blue,Vince Morales,900.0,250.0,250.0,650.0,268.0,96.0,87.0,57.0,0.0,0.0,34.0,19.0,355.0,153.0,0.0
0f20c1d7c44fa5fe,3,red,Raul Rosas Jr.,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,103.0,81.0,0.0,0.0,0.0,0.0,850.0
0f20c1d7c44fa5fe,3,blue,Vince Morales,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,50.0
0f20c1d7c44fa5fe,4,red,Raul Rosas Jr.,900.0,480.0,480.0,420.0000000000011,901.0,379.0,11.0,6.0,28.0,16.0,234.0,94.0,912.0,385.0,480.0
0f20c1d7c44fa5fe,4,blue,Vince Morales,900.0,480.0,480.0,420.0000000000011,381.0,138.0,56.0,44.0,0.0,0.0,7.0,3.0,437.0,182.0,0.0
0f20c1d7c44fa5fe,5,red,Raul Rosas Jr.,900.0,570.0,570.0,329.9999999999981,719.0,317.0,34.0,23.0,57.0,46.0,35.0,14.0,753.0,340.0,570.0
0f20c1d7c44fa5fe,5,blue,Vince Morales,900.0,570.0,570.0,329.9999999999981,1282.0,474.0,32.0,26.0,0.0,0.0,14.0,5.0,1314.0,500.0,0.0
0f20c1d7c44fa5fe,6,red,Raul Rosas Jr.,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,520.0
0f20c1d7c44fa5fe,6,blue,Vince Morales,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0
0f20c1d7c44fa5fe,7,red,Raul Rosas Jr.,900.0,870.0,869.9168845562457,30.083115443754856,25.0,12.0,3.0,2.0,71.0,49.0,24.0,12.0,28.0,14.0,869.9168845562457
0f20c1d7c44fa5fe,7,blue,Vince Morales,900.0,870.0,869.9168845562457,30.083115443754856,33.0,11.0,2.0,1.0,6.0,4.0,0.0,0.0,35.0,12.0,0.0
0f20c1d7c44fa5fe,8,red,Raul Rosas Jr.,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,47.0,35.0,0.0,0.0,0.0,0.0,630.0
0f20c1d7c44fa5fe,8,blue,Vince Morales,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,270.0
0f20c1d7c44fa5fe,9,red,Raul Rosas Jr.,900.0,740.0,739.8577369547897,160.14226304521077,207.0,94.0,12.0,4.0,13.0,10.0,89.0,40.0,219.0,98.0,579.8577369547897
0f20c1d7c44fa5fe,9,blue,Vince Morales,900.0,740.0,739.8577369547897,160.14226304521077,195.0,83.0,4.0,0.0,0.0,0.0,0.0,0.0,199.0,83.0,160.0
0f20c1d7c44fa5fe,10,red,Raul Rosas Jr.,900.0,600.0,600.0,300.00000000000085,284.0,115.0,61.0,35.0,22.0,16.0,244.0,102.0,345.0,150.0,600.0
0f20c1d7c44fa5fe,10,blue,Vince Morales,900.0,600.0,600.0,300.00000000000085,508.0,210.0,8.0,3.0,0.0,0.0,22.0,10.0,516.0,213.0,0.0
0f20c1d7c44fa5fe,11,red,Raul Rosas Jr.,900.0,790.0,789.9720296011517,110.02797039884841,321.0,146.0,7.0,4.0,0.0,0.0,19.0,6.0,328.0,150.0,109.97202960115169
0f20c1d7c44fa5fe,11,blue,Vince Morales,900.0,790.0,789.9720296011517,110.02797039884841,266.0,101.0,21.0,11.0,0.0,0.0,3.0,0.0,287.0,112.0,680.0
0f20c1d7c44fa5fe,12,red,Raul Rosas Jr.,900.0,680.0,680.0,219.9999999999994,304.0,110.0,63.0,46.0,0.0,0.0,153.0,69.0,367.0,156.0,640.0
0f20c1d7c44fa5fe,12,blue,Vince Morales,900.0,680.0,680.0,219.9999999999994,408.0,144.0,41.0,28.0,41.0,30.0,20.0,6.0,449.0,172.0,40.0
0f20c1d7c44fa5fe,13,red,Raul Rosas Jr.,900.0,340.0,340.0,559.9999999999983,494.0,203.0,40.0,24.0,88.0,70.0,97.0,33.0,534.0,227.0,340.0
0f20c1d7c44fa5fe,13,blue,Vince Morales,900.0,340.0,340.0,559.9999999999983,1357.0,519.0,11.0,9.0,1.0,1.0,20.0,4.0,1368.0,528.0,0.0
0f20c1d7c44fa5fe,14,red,Raul Rosas Jr.,900.0,740.0,740.0,160.00000000000026,64.0,31.0,6.0,4.0,7.0,3.0,135.0,57.0,70.0,35.0,740.0
0f20c1d7c44fa5fe,14,blue,Vince Morales,900.0,740.0,740.0,160.00000000000026,166.0,63.0,1.0,0.0,0.0,0.0,24.0,13.0,167.0,63.0,0.0
0f20c1d7c44fa5fe,15,red,Raul Rosas Jr.,900.0,410.0,410.0,490.0000000000002,931.0,355.0,19.0,11.0,0.0,0.0,74.0,31.0,950.0,366.0,410.0
0f20c1d7c44fa5fe,15,blue,Vince Morales,900.0,410.0,410.0,490.0000000000002,574.0,220.0,21.0,13.0,43.0,32.0,85.0,39.0,595.0,233.0,0.0
0f20c1d7c44fa5fe,16,red,Raul Rosas Jr.,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,900.0
0f20c1d7c44fa5fe,16,blue,Vince Morales,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0f20c1d7c44fa5fe,17,red,Raul Rosas Jr.,900.0,210.0,210.0,690.0000000000011,2753.0,1213.0,28.0,17.0,54.0,41.0,125.0,55.0,2781.0,1230.0,200.0
0f20c1d7c44fa5fe,17,blue,Vince Morales,900.0,210.0,210.0,690.0000000000011,768.0,287.0,84.0,60.0,25.0,19.0,25.0,15.0,852.0,347.0,10.0
0f20c1d7c44fa5fe,18,red,Raul Rosas Jr.,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
0f20c1d7c44fa5fe,18,blue,Vince Morales,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0f20c1d7c44fa5fe,19,red,Raul Rosas Jr.,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
0f20c1d7c44fa5fe,19,blue,Vince Morales,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33e301872e2b5680,0,red,Brandon Moreno,1500.0,360.0,360.0,1139.9999999999986,192.0,83.0,0.0,0.0,6.0,5.0,4.0,2.0,192.0,83.0,360.0
33e301872e2b5680,0,blue,Steve Erceg,1500.0,360.0,360.0,1139.9999999999986,445.0,172.0,2.0,1.0,2.0,2.0,0.0,0.0,447.0,173.0,0.0
33e301872e2b5680,1,red,Brandon Moreno,1500.0,390.0,390.0,1110.000000000002,133.0,68.0,0.0,0.0,0.0,0.0,6.0,0.0,133.0,68.0,20.0
33e301872e2b5680,1,blue,Steve Erceg,1500.0,390.0,390.0,1110.000000000002,452.0,184.0,3.0,3.0,20.0,15.0,0.0,0.0,455.0,187.0,370.0
33e301872e2b5680,2,red,Brandon Moreno,1500.0,440.0,440.0,1060.0,252.0,121.0,1.0,1.0,12.0,9.0,5.0,2.0,253.0,122.0,440.0
33e301872e2b5680,2,blue,Steve Erceg,1500.0,440.0,440.0,1060.0,269.0,106.0,3.0,1.0,0.0,0.0,3.0,1.0,272.0,107.0,0.0
33e301872e2b5680,3,red,Brandon Moreno,1500.0,0.0,0.0,1500.0,389.0,173.0,9.0,7.0,26.0,17.0,7.0,3.0,398.0,180.0,0.0
33e301872e2b5680,3,blue,Steve Erceg,1500.0,0.0,0.0,1500.0,279.0,117.0,1.0,1.0,0.0,0.0,6.0,3.0,280.0,118.0,0.0
33e301872e2b5680,4,red,Brandon Moreno,1500.0,270.0,270.0,1229.9999999999986,173.0,81.0,6.0,5.0,29.0,18.0,0.0,0.0,179.0,86.0,240.0
33e301872e2b5680,4,blue,Steve Erceg,1500.0,270.0,270.0,1229.9999999999986,132.0,57.0,7.0,4.0,18.0,15.0,6.0,2.0,139.0,61.0,30.0
33e301872e2b5680,5,red,Brandon Moreno,1500.0,700.0,699.6434455743279,800.3565544256726,97.0,46.0,4.0,3.0,0.0,0.0,6.0,2.0,101.0,49.0,339.64344557432787
33e301872e2b5680,5,blue,Steve Erceg,1500.0,700.0,699.6434455743279,800.3565544256726,204.0,80.0,2.0,1.0,0.0,0.0,0.0,0.0,206.0,81.0,360.0
33e301872e2b5680,6,red,Brandon Moreno,1500.0,430.0,430.0,1070.0,134.0,59.0,0.0,0.0,2.0,1.0,0.0,0.0,134.0,59.0,430.0
33e301872e2b5680,6,blue,Steve Erceg,1500.0,430.0,430.0,1070.0,90.0,44.0,29.0,21.0,17.0,11.0,6.0,0.0,119.0,65.0,0.0
33e301872e2b5680,7,red,Brandon Moreno,1500.0,470.0,470.0,1030.0000000000002,86.0,30.0,25.0,20.0,2.0,2.0,6.0,3.0,111.0,50.0,470.0
33e301872e2b5680,7,blue,Steve Erceg,1500.0,470.0,470.0,1030.0000000000002,177.0,76.0,14.0,11.0,1.0,1.0,7.0,0.0,191.0,87.0,0.0
33e301872e2b5680,8,red,Brandon Moreno,1500.0,430.0,430.0,1069.999999999999,367.0,151.0,5.0,2.0,7.0,6.0,3.0,1.0,372.0,153.0,180.0
33e301872e2b5680,8,blue,Steve Erceg,1500.0,430.0,430.0,1069.999999999999,158.0,70.0,6.0,5.0,0.0,0.0,0.0,0.0,164.0,75.0,250.0
33e301872e2b5680,9,red,Brandon Moreno,1500.0,350.0,350.0,1150.0000000000005,357.0,158.0,3.0,2.0,16.0,14.0,14.0,5.0,360.0,160.0,350.0
33e301872e2b5680,9,blue,Steve Erceg,1500.0,350.0,350.0,1150.0000000000005,178.0,68.0,6.0,5.0,0.0,0.0,0.0,0.0,184.0,73.0,0.0
33e301872e2b5680,10,red,Brandon Moreno,1500.0,490.0,490.0,1009.9999999999994,255.0,99.0,0.0,0.0,3.0,2.0,0.0,0.0,255.0,99.0,490.0
33e301872e2b5680,10,blue,Steve Erceg,1500.0,490.0,490.0,1009.9999999999994,315.0,121.0,8.0,7.0,0.0,0.0,0.0,0.0,323.0,128.0,0.0
33e301872e2b5680,11,red,Brandon Moreno,1500.0,150.0,150.0,1349.9999999999995,110.0,52.0,1.0,1.0,0.0,0.0,8.0,4.0,111.0,53.0,150.0
33e301872e2b5680,11,blue,Steve Erceg,1500.0,150.0,150.0,1349.9999999999995,168.0,63.0,4.0,3.0,0.0,0.0,4.0,1.0,172.0,66.0,0.0
33e301872e2b5680,12,red,Brandon Moreno,1500.0,540.0,540.0,959.9999999999999,228.0,102.0,2.0,1.0,0.0,0.0,3.0,2.0,230.0,103.0,150.0
33e301872e2b5680,12,blue,Steve Erceg,1500.0,540.0,540.0,959.9999999999999,146.0,58.0,15.0,10.0,0.0,0.0,0.0,0.0,161.0,68.0,390.0
33e301872e2b5680,13,red,Brandon Moreno,1500.0,430.0,430.0,1070.0000000000023,228.0,103.0,3.0,2.0,1.0,0.0,4.0,1.0,231.0,105.0,430.0
33e301872e2b5680,13,blue,Steve Erceg,1500.0,430.0,430.0,1070.0000000000023,238.0,97.0,32.0,24.0,2.0,1.0,3.0,1.0,270.0,121.0,0.0
33e301872e2b5680,14,red,Brandon Moreno,1500.0,230.0,230.0,1269.9999999999995,254.0,115.0,1.0,1.0,19.0,16.0,9.0,3.0,255.0,116.0,230.0
33e301872e2b5680,14,blue,Steve Erceg,1500.0,230.0,230.0,1269.9999999999995,186.0,68.0,5.0,4.0,3.0,1.0,1.0,0.0,191.0,72.0,0.0
33e301872e2b5680,15,red,Brandon Moreno,1500.0,560.0,560.0,939.9999999999992,59.0,23.0,6.0,6.0,0.0,0.0,0.0,0.0,65.0,29.0,510.0
33e301872e2b5680,15,blue,Steve Erceg,1500.0,560.0,560.0,939.9999999999992,365.0,161.0,13.0,8.0,0.0,0.0,0.0,0.0,378.0,169.0,50.0
33e301872e2b5680,16,red,Brandon Moreno,1500.0,0.0,0.0,1500.0,161.0,60.0,3.0,2.0,0.0,0.0,6.0,1.0,164.0,62.0,0.0
33e301872e2b5680,16,blue,Steve Erceg,1500.0,0.0,0.0,1500.0,98.0,42.0,2.0,1.0,3.0,3.0,15.0,0.0,100.0,43.0,0.0
33e301872e2b5680,17,red,Brandon Moreno,1500.0,190.0,190.0,1310.000000000001,185.0,81.0,10.0,7.0,12.0,7.0,6.0,5.0,195.0,88.0,150.0
33e301872e2b5680,17,blue,Steve Erceg,1500.0,190.0,190.0,1310.000000000001,453.0,190.0,8.0,7.0,20.0,19.0,0.0,0.0,461.0,197.0,40.0
33e301872e2b5680,18,red,Brandon Moreno,1500.0,350.0,350.0,1150.0,266.0,111.0,3.0,3.0,0.0,0.0,9.0,2.0,269.0,114.0,0.0
33e301872e2b5680,18,blue,Steve Erceg,1500.0,350.0,350.0,1150.0,103.0,38.0,8.0,6.0,11.0,8.0,3.0,0.0,111.0,44.0,350.0
33e301872e2b5680,19,red,Brandon Moreno,1500.0,340.0,340.0,1160.0000000000005,265.0,111.0,8.0,4.0,0.0,0.0,9.0,4.0,273.0,115.0,340.0
