fight_id,path,side,fighter_name,duration,sim_standing_attempted,sim_standing_landed,sim_td_attempted,sim_td_landed,sim_ground_attempted,sim_ground_landed,sim_control,sim_total_control,sim_free_seconds
0f20c1d7c44fa5fe,0,red,Raul Rosas Jr.,900.0,0,0,36,17,6,4,900.0,900.0,0.0
0f20c1d7c44fa5fe,0,blue,Vince Morales,900.0,0,0,0,0,1,0,0.0,900.0,0.0
0f20c1d7c44fa5fe,1,red,Raul Rosas Jr.,900.0,80,29,9,4,30,21,500.0,500.0,400.0
0f20c1d7c44fa5fe,1,blue,Vince Morales,900.0,49,22,0,0,2,1,0.0,500.0,400.0
0f20c1d7c44fa5fe,2,red,Raul Rosas Jr.,900.0,0,0,10,5,23,14,900.0,900.0,0.0
0f20c1d7c44fa5fe,2,blue,Vince Morales,900.0,0,0,0,0,1,1,0.0,900.0,0.0
0f20c1d7c44fa5fe,3,red,Raul Rosas Jr.,900.0,10,4,50,18,1,1,820.0,820.0,80.0
0f20c1d7c44fa5fe,3,blue,Vince Morales,900.0,12,3,7,3,0,0,0.0,820.0,80.0
0f20c1d7c44fa5fe,4,red,Raul Rosas Jr.,900.0,0,0,11,5,0,0,620.0,900.0,0.0
0f20c1d7c44fa5fe,4,blue,Vince Morales,900.0,0,0,8,3,0,0,280.0,900.0,0.0
0f20c1d7c44fa5fe,5,red,Raul Rosas Jr.,900.0,47,21,13,3,11,7,610.0,610.0,290.0
0f20c1d7c44fa5fe,5,blue,Vince Morales,900.0,35,18,0,0,0,0,0.0,610.0,290.0
0f20c1d7c44fa5fe,6,red,Raul Rosas Jr.,900.0,25,10,22,12,147,107,720.0,720.0,180.0
0f20c1d7c44fa5fe,6,blue,Vince Morales,900.0,31,17,0,0,0,0,0.0,720.0,180.0
0f20c1d7c44fa5fe,7,red,Raul Rosas Jr.,900.0,86,37,20,5,84,59,440.0,440.0,460.0
0f20c1d7c44fa5fe,7,blue,Vince Morales,900.0,72,28,0,0,12,10,0.0,440.0,460.0
0f20c1d7c44fa5fe,8,red,Raul Rosas Jr.,900.0,35,17,30,14,0,0,680.0,680.0,220.0
0f20c1d7c44fa5fe,8,blue,Vince Morales,900.0,46,18,0,0,39,27,0.0,680.0,220.0
0f20c1d7c44fa5fe,9,red,Raul Rosas Jr.,900.0,42,16,19,5,0,0,580.0,600.0,300.0
0f20c1d7c44fa5fe,9,blue,Vince Morales,900.0,98,44,0,0,0,0,20.0,600.0,300.0
0f20c1d7c44fa5fe,10,red,Raul Rosas Jr.,900.0,18,3,16,8,37,31,810.0,810.0,90.0
0f20c1d7c44fa5fe,10,blue,Vince Morales,900.0,17,7,0,0,5,4,0.0,810.0,90.0
0f20c1d7c44fa5fe,11,red,Raul Rosas Jr.,900.0,85,33,20,4,0,0,510.0,520.0,380.0
0f20c1d7c44fa5fe,11,blue,Vince Morales,900.0,31,13,0,0,5,3,10.0,520.0,380.0
0f20c1d7c44fa5fe,12,red,Raul Rosas Jr.,900.0,0,0,14,8,107,74,900.0,900.0,0.0
0f20c1d7c44fa5fe,12,blue,Vince Morales,900.0,0,0,15,8,11,10,0.0,900.0,0.0
0f20c1d7c44fa5fe,13,red,Raul Rosas Jr.,900.0,0,0,9,3,24,20,900.0,900.0,0.0
0f20c1d7c44fa5fe,13,blue,Vince Morales,900.0,0,0,11,6,20,16,0.0,900.0,0.0
0f20c1d7c44fa5fe,14,red,Raul Rosas Jr.,900.0,0,0,21,13,31,24,900.0,900.0,0.0
0f20c1d7c44fa5fe,14,blue,Vince Morales,900.0,0,0,0,0,27,21,0.0,900.0,0.0
0f20c1d7c44fa5fe,15,red,Raul Rosas Jr.,900.0,109,54,9,4,29,24,440.0,440.0,460.0
0f20c1d7c44fa5fe,15,blue,Vince Morales,900.0,83,25,0,0,19,15,0.0,440.0,460.0
0f20c1d7c44fa5fe,16,red,Raul Rosas Jr.,900.0,153,65,22,4,3,3,330.0,330.0,570.0
0f20c1d7c44fa5fe,16,blue,Vince Morales,900.0,135,50,0,0,0,0,0.0,330.0,570.0
0f20c1d7c44fa5fe,17,red,Raul Rosas Jr.,900.0,198,87,2,0,18,14,0.0,0.0,900.0
0f20c1d7c44fa5fe,17,blue,Vince Morales,900.0,109,55,0,0,10,9,0.0,0.0,900.0
0f20c1d7c44fa5fe,18,red,Raul Rosas Jr.,900.0,14,6,22,6,4,4,850.0,850.0,50.0
0f20c1d7c44fa5fe,18,blue,Vince Morales,900.0,9,6,0,0,0,0,0.0,850.0,50.0
0f20c1d7c44fa5fe,19,red,Raul Rosas Jr.,900.0,99,48,42,24,0,0,530.0,530.0,370.0
0f20c1d7c44fa5fe,19,blue,Vince Morales,900.0,59,24,0,0,0,0,0.0,530.0,370.0
33e301872e2b5680,0,red,Brandon Moreno,1500.0,212,69,0,0,15,13,100.0,100.0,1400.0
33e301872e2b5680,0,blue,Steve Erceg,1500.0,230,90,0,0,1,1,0.0,100.0,1400.0
33e301872e2b5680,1,red,Brandon Moreno,1500.0,227,86,9,3,0,0,280.0,290.0,1210.0
33e301872e2b5680,1,blue,Steve Erceg,1500.0,147,75,9,2,23,20,10.0,290.0,1210.0
33e301872e2b5680,2,red,Brandon Moreno,1500.0,180,85,10,4,0,0,430.0,440.0,1060.0
33e301872e2b5680,2,blue,Steve Erceg,1500.0,181,75,0,0,29,22,10.0,440.0,1060.0
33e301872e2b5680,3,red,Brandon Moreno,1500.0,247,109,0,0,0,0,250.0,390.0,1110.0
33e301872e2b5680,3,blue,Steve Erceg,1500.0,242,101,0,0,1,0,140.0,390.0,1110.0
33e301872e2b5680,4,red,Brandon Moreno,1500.0,106,50,8,3,24,17,410.0,620.0,880.0
33e301872e2b5680,4,blue,Steve Erceg,1500.0,164,69,7,4,14,9,210.0,620.0,880.0
33e301872e2b5680,5,red,Brandon Moreno,1500.0,295,151,21,8,0,0,60.0,60.0,1440.0
33e301872e2b5680,5,blue,Steve Erceg,1500.0,458,182,6,0,10,7,0.0,60.0,1440.0
33e301872e2b5680,6,red,Brandon Moreno,1500.0,284,136,6,0,0,0,210.0,210.0,1290.0
33e301872e2b5680,6,blue,Steve Erceg,1500.0,310,129,0,0,0,0,0.0,210.0,1290.0
33e301872e2b5680,7,red,Brandon Moreno,1500.0,229,104,13,7,9,8,10.0,160.0,1340.0
33e301872e2b5680,7,blue,Steve Erceg,1500.0,254,108,10,3,13,8,150.0,160.0,1340.0
33e301872e2b5680,8,red,Brandon Moreno,1500.0,265,111,13,1,38,27,0.0,0.0,1500.0
33e301872e2b5680,8,blue,Steve Erceg,1500.0,306,121,3,0,0,0,0.0,0.0,1500.0
33e301872e2b5680,9,red,Brandon Moreno,1500.0,221,90,8,5,0,0,80.0,440.0,1060.0
33e301872e2b5680,9,blue,Steve Erceg,1500.0,211,92,0,0,0,0,360.0,440.0,1060.0
33e301872e2b5680,10,red,Brandon Moreno,1500.0,106,41,14,6,0,0,130.0,130.0,1370.0
33e301872e2b5680,10,blue,Steve Erceg,1500.0,334,136,0,0,2,2,0.0,130.0,1370.0
33e301872e2b5680,11,red,Brandon Moreno,1500.0,229,101,4,2,0,0,80.0,160.0,1340.0
33e301872e2b5680,11,blue,Steve Erceg,1500.0,220,98,6,1,0,0,80.0,160.0,1340.0
33e301872e2b5680,12,red,Brandon Moreno,1500.0,277,127,16,5,0,0,180.0,250.0,1250.0
33e301872e2b5680,12,blue,Steve Erceg,1500.0,179,74,13,2,0,0,70.0,250.0,1250.0
33e301872e2b5680,13,red,Brandon Moreno,1500.0,134,49,0,0,1,1,420.0,420.0,1080.0
33e301872e2b5680,13,blue,Steve Erceg,1500.0,243,107,0,0,0,0,0.0,420.0,1080.0
33e301872e2b5680,14,red,Brandon Moreno,1500.0,170,94,5,2,21,15,280.0,290.0,1210.0
33e301872e2b5680,14,blue,Steve Erceg,1500.0,205,88,5,2,12,12,10.0,290.0,1210.0
33e301872e2b5680,15,red,Brandon Moreno,1500.0,149,59,15,8,0,0,100.0,100.0,1400.0
33e301872e2b5680,15,blue,Steve Erceg,1500.0,362,144,0,0,0,0,0.0,100.0,1400.0
33e301872e2b5680,16,red,Brandon Moreno,1500.0,190,76,0,0,0,0,0.0,0.0,1500.0
33e301872e2b5680,16,blue,Steve Erceg,1500.0,169,63,5,2,0,0,0.0,0.0,1500.0
33e301872e2b5680,17,red,Brandon Moreno,1500.0,162,53,3,2,0,0,150.0,150.0,1350.0
33e301872e2b5680,17,blue,Steve Erceg,1500.0,366,140,0,0,6,4,0.0,150.0,1350.0
33e301872e2b5680,18,red,Brandon Moreno,1500.0,221,109,9,5,0,0,270.0,270.0,1230.0
33e301872e2b5680,18,blue,Steve Erceg,1500.0,263,106,3,0,42,33,0.0,270.0,1230.0
33e301872e2b5680,19,red,Brandon Moreno,1500.0,190,79,8,4,7,6,460.0,460.0,1040.0
33e301872e2b5680,19,blue,Steve Erceg,1500.0,214,92,0,0,0,0,0.0,460.0,1040.0
41cdbcc0f3635b8f,0,red,Christian Rodriguez,900.0,26,12,4,3,3,2,600.0,600.0,300.0
41cdbcc0f3635b8f,0,blue,Melquizael Costa,900.0,73,30,15,4,0,0,0.0,600.0,300.0
41cdbcc0f3635b8f,1,red,Christian Rodriguez,900.0,36,19,3,2,0,0,350.0,750.0,150.0
41cdbcc0f3635b8f,1,blue,Melquizael Costa,900.0,32,15,27,10,0,0,400.0,750.0,150.0
41cdbcc0f3635b8f,2,red,Christian Rodriguez,900.0,42,21,6,4,1,0,380.0,590.0,310.0
41cdbcc0f3635b8f,2,blue,Melquizael Costa,900.0,78,28,3,1,13,8,210.0,590.0,310.0
41cdbcc0f3635b8f,3,red,Christian Rodriguez,900.0,100,43,1,1,0,0,0.0,380.0,520.0
41cdbcc0f3635b8f,3,blue,Melquizael Costa,900.0,178,69,35,14,0,0,380.0,380.0,520.0
41cdbcc0f3635b8f,4,red,Christian Rodriguez,900.0,40,23,2,2,13,8,150.0,630.0,270.0
41cdbcc0f3635b8f,4,blue,Melquizael Costa,900.0,40,15,0,0,1,0,480.0,630.0,270.0
41cdbcc0f3635b8f,5,red,Christian Rodriguez,900.0,28,13,4,1,27,17,10.0,580.0,320.0
41cdbcc0f3635b8f,5,blue,Melquizael Costa,900.0,41,19,14,2,0,0,570.0,580.0,320.0
41cdbcc0f3635b8f,6,red,Christian Rodriguez,900.0,97,42,3,1,3,2,10.0,600.0,300.0
41cdbcc0f3635b8f,6,blue,Melquizael Costa,900.0,74,34,2,0,3,1,590.0,600.0,300.0
41cdbcc0f3635b8f,7,red,Christian Rodriguez,900.0,6,2,13,7,2,1,880.0,880.0,20.0
41cdbcc0f3635b8f,7,blue,Melquizael Costa,900.0,2,1,0,0,1,0,0.0,880.0,20.0
