event_date,red_fighter,blue_fighter,actual_winner,actual_side,actual_method,P_red_win,P_blue_win,P_red_DEC,P_red_KO_TKO,P_red_SUB,P_blue_DEC,P_blue_KO_TKO,P_blue_SUB,predicted_winner,predicted_winner_probability
2025-06-07,Ariane da Silva,Wang Cong,Wang Cong,blue,DEC,0.3,0.7,0.0,0.3,0.0,0.6,0.0,0.1,Wang Cong,0.7
2025-06-07,Mario Bautista,Patchy Mix,Mario Bautista,red,DEC,0.7999999999999999,0.2,0.7,0.1,0.0,0.2,0.0,0.0,Mario Bautista,0.7999999999999999
2025-06-07,Kelvin Gastelum,Joe Pyfer,Joe Pyfer,blue,DEC,0.1,0.9,0.0,0.1,0.0,0.7,0.1,0.1,Joe Pyfer,0.9
2025-06-07,Merab Dvalishvili,Sean O'Malley,Merab Dvalishvili,red,SUB,0.5,0.5,0.4,0.1,0.0,0.1,0.2,0.2,Merab Dvalishvili,0.5
2025-06-07,Khaos Williams,Andreas Gustafsson,Andreas Gustafsson,blue,DEC,0.6,0.4,0.5,0.1,0.0,0.2,0.1,0.1,Khaos Williams,0.6
2025-06-14,Cody Garbrandt,Raoni Barcelos,Raoni Barcelos,blue,DEC,0.2,0.8,0.2,0.0,0.0,0.1,0.7,0.0,Raoni Barcelos,0.8
2025-06-14,Phil Rowe,Ange Loosa,Phil Rowe,red,KO_TKO,0.3,0.7,0.2,0.1,0.0,0.7,0.0,0.0,Ange Loosa,0.7
2025-06-14,Ricky Simon,Cameron Smotherman,Ricky Simon,red,DEC,0.4,0.6,0.4,0.0,0.0,0.6,0.0,0.0,Cameron Smotherman,0.6
2025-06-14,Rose Namajunas,Miranda Maverick,Rose Namajunas,red,DEC,0.7,0.3,0.5,0.1,0.1,0.3,0.0,0.0,Rose Namajunas,0.7
2025-06-14,Jamey-Lyn Horth,Vanessa Demopoulos,Jamey-Lyn Horth,red,DEC,0.9,0.0999999999999999,0.8,0.0,0.1,0.0,0.0,0.1,Jamey-Lyn Horth,0.9
2025-06-14,Cody Durden,Jose Ochoa,Jose Ochoa,blue,KO_TKO,0.4,0.6,0.3,0.0,0.1,0.4,0.1,0.1,Jose Ochoa,0.6
2025-06-14,Kamaru Usman,Joaquin Buckley,Kamaru Usman,red,DEC,0.7,0.3,0.1,0.6,0.0,0.2,0.1,0.0,Kamaru Usman,0.7
2025-06-14,Edmen Shahbazyan,Andre Petroski,Edmen Shahbazyan,red,DEC,0.3,0.7,0.0,0.1,0.2,0.2,0.1,0.4,Andre Petroski,0.7
2025-06-14,Michael Chiesa,Court McGee,Michael Chiesa,red,DEC,0.5,0.5,0.0,0.4,0.1,0.3,0.0,0.2,Michael Chiesa,0.5
2025-06-14,Alonzo Menifield,Oumar Sy,Alonzo Menifield,red,DEC,0.6,0.4,0.3,0.3,0.0,0.3,0.1,0.0,Alonzo Menifield,0.6
2025-06-14,Malcolm Wellmaker,Kris Moutinho,Malcolm Wellmaker,red,KO_TKO,0.8,0.1999999999999999,0.6,0.2,0.0,0.0,0.2,0.0,Malcolm Wellmaker,0.8
2025-06-21,Jamahal Hill,Khalil Rountree Jr.,Khalil Rountree Jr.,blue,DEC,0.6,0.4,0.0,0.6,0.0,0.0,0.4,0.0,Jamahal Hill,0.6
2025-06-21,Muhammad Naimov,Bogdan Grad,Muhammad Naimov,red,DEC,0.5,0.5,0.4,0.1,0.0,0.3,0.1,0.1,Muhammad Naimov,0.5
2025-06-21,Irina Alekseeva,Klaudia Sygula,Klaudia Sygula,blue,DEC,0.7999999999999999,0.2,0.7,0.1,0.0,0.2,0.0,0.0,Irina Alekseeva,0.7999999999999999
2025-06-21,Tofiq Musayev,Myktybek Orolbai,Myktybek Orolbai,blue,SUB,0.3,0.7,0.2,0.1,0.0,0.6,0.0,0.1,Myktybek Orolbai,0.7
2025-06-21,Ismail Naurdiev,JunYong Park,JunYong Park,blue,DEC,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,Ismail Naurdiev,0.5
2025-06-21,Nazim Sadykhov,Nikolas Motta,Nazim Sadykhov,red,KO_TKO,0.4,0.6,0.0,0.4,0.0,0.2,0.4,0.0,Nikolas Motta,0.6
2025-06-21,Tagir Ulanbekov,Azat Maksum,Tagir Ulanbekov,red,DEC,0.6000000000000001,0.3999999999999999,0.4,0.1,0.1,0.2,0.1,0.1,Tagir Ulanbekov,0.6000000000000001
2025-06-21,Curtis Blaydes,Rizvan Kuniev,Curtis Blaydes,red,DEC,1.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,Curtis Blaydes,1.0
2025-06-21,Hamdy Abdelwahab,Mohammed Usman,Mohammed Usman,blue,DEC,0.2,0.8,0.1,0.0,0.1,0.4,0.3,0.1,Mohammed Usman,0.8
2025-06-21,Rafael Fiziev,Ignacio Bahamondes,Rafael Fiziev,red,DEC,0.1,0.9,0.1,0.0,0.0,0.5,0.3,0.1,Ignacio Bahamondes,0.9
2025-06-21,Seokhyeon Ko,Oban Elliott,Seokhyeon Ko,red,DEC,0.5,0.5,0.0,0.5,0.0,0.3,0.1,0.1,Seokhyeon Ko,0.5
2025-06-21,Daria Zhelezniakova,Melissa Mullins,Daria Zhelezniakova,red,DEC,0.5,0.5,0.4,0.0,0.1,0.3,0.1,0.1,Daria Zhelezniakova,0.5
2025-06-28,Jhonata Diniz,Alvin Hines,Jhonata Diniz,red,DEC,0.5,0.5,0.4,0.1,0.0,0.3,0.1,0.1,Jhonata Diniz,0.5
2025-06-28,Beneil Dariush,Renato Moicano,Beneil Dariush,red,DEC,0.5,0.5,0.0,0.5,0.0,0.1,0.1,0.3,Beneil Dariush,0.5
2025-06-28,Hyder Amil,Jose Delgado,Jose Delgado,blue,KO_TKO,0.7,0.3,0.3,0.4,0.0,0.2,0.0,0.1,Hyder Amil,0.7
2025-06-28,Ilia Topuria,Charles Oliveira,Ilia Topuria,red,KO_TKO,0.5,0.5,0.0,0.3,0.2,0.2,0.2,0.1,Ilia Topuria,0.5
2025-06-28,Viviane Araujo,Tracy Cortez,Tracy Cortez,blue,DEC,0.7000000000000001,0.2999999999999999,0.4,0.2,0.1,0.3,0.0,0.0,Viviane Araujo,0.7000000000000001
2025-06-28,Alexandre Pantoja,Kai Kara-France,Alexandre Pantoja,red,SUB,0.7999999999999999,0.2,0.1,0.4,0.3,0.0,0.2,0.0,Alexandre Pantoja,0.7999999999999999
2025-06-28,Jack Hermansson,Gregory Rodrigues,Gregory Rodrigues,blue,KO_TKO,0.4,0.6,0.0,0.4,0.0,0.2,0.4,0.0,Gregory Rodrigues,0.6
2025-06-28,Niko Price,Jacobe Smith,Jacobe Smith,blue,SUB,0.6000000000000001,0.3999999999999999,0.0,0.2,0.4,0.2,0.2,0.0,Niko Price,0.6000000000000001
2025-06-28,Terrance McKinney,Viacheslav Borshchev,Terrance McKinney,red,SUB,0.5,0.5,0.3,0.2,0.0,0.0,0.5,0.0,Terrance McKinney,0.5
2025-06-28,Payton Talbott,Felipe Lima,Payton Talbott,red,DEC,0.8,0.1999999999999999,0.6,0.0,0.2,0.1,0.0,0.1,Payton Talbott,0.8
2025-06-28,Brandon Royval,Joshua Van,Joshua Van,blue,DEC,0.5,0.5,0.2,0.2,0.1,0.3,0.2,0.0,Brandon Royval,0.5
2025-07-12,Derrick Lewis,Tallison Teixeira,Derrick Lewis,red,KO_TKO,0.4,0.6,0.1,0.3,0.0,0.6,0.0,0.0,Tallison Teixeira,0.6
2025-07-12,Fatima Kline,Melissa Martinez,Fatima Kline,red,KO_TKO,0.5,0.5,0.4,0.1,0.0,0.4,0.0,0.1,Fatima Kline,0.5
2025-07-12,Max Griffin,Chris Curtis,Chris Curtis,blue,DEC,0.6,0.4,0.5,0.1,0.0,0.1,0.3,0.0,Max Griffin,0.6
2025-07-12,Stephen Thompson,Gabriel Bonfim,Gabriel Bonfim,blue,DEC,0.9,0.0999999999999999,0.5,0.4,0.0,0.0,0.1,0.0,Stephen Thompson,0.9
2025-07-12,Lauren Murphy,Eduarda Moura,Eduarda Moura,blue,DEC,0.4,0.6,0.3,0.1,0.0,0.6,0.0,0.0,Eduarda Moura,0.6
2025-07-12,Vitor Petrino,Austen Lane,Vitor Petrino,red,SUB,0.5,0.5,0.1,0.3,0.1,0.4,0.1,0.0,Vitor Petrino,0.5
2025-07-12,Nate Landwehr,Morgan Charriere,Morgan Charriere,blue,KO_TKO,0.2,0.8,0.0,0.2,0.0,0.5,0.3,0.0,Morgan Charriere,0.8
2025-07-12,Kennedy Nzechukwu,Valter Walker,Valter Walker,blue,SUB,0.7000000000000001,0.2999999999999999,0.4,0.1,0.2,0.3,0.0,0.0,Kennedy Nzechukwu,0.7000000000000001
2025-07-12,Mitch Ramirez,Mike Davis,Mike Davis,blue,KO_TKO,0.7,0.3,0.6,0.0,0.1,0.1,0.2,0.0,Mitch Ramirez,0.7
2025-07-12,Junior Tafa,Tuco Tokkos,Tuco Tokkos,blue,SUB,0.6,0.4,0.5,0.1,0.0,0.3,0.1,0.0,Junior Tafa,0.6
2025-07-12,Jake Matthews,Chidi Njokuani,Jake Matthews,red,SUB,0.5,0.5,0.3,0.2,0.0,0.2,0.2,0.1,Jake Matthews,0.5
2025-07-12,Calvin Kattar,Steve Garcia,Steve Garcia,blue,DEC,0.8,0.1999999999999999,0.0,0.8,0.0,0.1,0.1,0.0,Calvin Kattar,0.8
2025-07-19,Adam Fugitt,Islam Dulatov,Islam Dulatov,blue,KO_TKO,0.3,0.7,0.2,0.1,0.0,0.4,0.3,0.0,Islam Dulatov,0.7
2025-07-19,Marvin Vettori,Brendan Allen,Brendan Allen,blue,DEC,0.6000000000000001,0.3999999999999999,0.2,0.3,0.1,0.4,0.0,0.0,Marvin Vettori,0.6000000000000001
2025-07-19,Max Holloway,Dustin Poirier,Max Holloway,red,DEC,0.8999999999999999,0.1,0.7,0.0,0.2,0.0,0.1,0.0,Max Holloway,0.8999999999999999
2025-07-26,Davey Grant,Da'Mon Blackshear,Davey Grant,red,DEC,0.2,0.8,0.1,0.1,0.0,0.4,0.2,0.2,Da'Mon Blackshear,0.8
2025-07-26,Martin Buday,Marcus Buchecha,Martin Buday,red,DEC,0.6,0.4,0.5,0.0,0.1,0.4,0.0,0.0,Martin Buday,0.6
2025-07-26,Mohammad Yahya,Steven Nguyen,Steven Nguyen,blue,KO_TKO,0.5,0.5,0.1,0.4,0.0,0.4,0.1,0.0,Mohammad Yahya,0.5
2025-07-26,Amanda Ribas,Tabatha Ricci,Tabatha Ricci,blue,KO_TKO,0.6,0.4,0.6,0.0,0.0,0.1,0.2,0.1,Amanda Ribas,0.6
2025-07-26,Shara Magomedov,Marc-Andre Barriault,Shara Magomedov,red,DEC,0.8,0.1999999999999999,0.5,0.3,0.0,0.0,0.1,0.1,Shara Magomedov,0.8
2025-07-26,Robert Whittaker,Reinier de Ridder,Reinier de Ridder,blue,DEC,0.8,0.1999999999999999,0.4,0.4,0.0,0.1,0.1,0.0,Robert Whittaker,0.8
