fight_id,event_date,year,red_fighter,blue_fighter,division,scheduled_rounds,actual_red_win,actual_method,actual_finish_round,actual_duration_seconds,historical_kd,historical_sub_attempts,red_win_probability,blue_win_probability,average_simulated_finish_time,simulated_nondecision_paths,simulated_finish_time_sum_seconds,simulated_total_kd,simulated_total_exposure_seconds,simulated_total_submission_attempts,simulated_paths_with_submission_attempt,simulated_total_path_count,simulated_standing_seconds,simulated_ground_seconds,kd_per_path,zero_kd_share,multi_kd_share,submission_attempts_per_path,ko_tko_probability,red_ko_tko_probability,blue_ko_tko_probability,sub_probability,red_sub_probability,blue_sub_probability,dec_probability,red_dec_probability,blue_dec_probability,sim_finish_r1_share,sim_finish_r1_count,sim_finish_r2_share,sim_finish_r2_count,sim_finish_r3_share,sim_finish_r3_count,sim_finish_r4_share,sim_finish_r4_count,sim_finish_r5_share,sim_finish_r5_count,red_td_attempts,red_td_completions,red_strike_attempts,red_strikes_landed,blue_td_attempts,blue_td_completions,blue_strike_attempts,blue_strikes_landed,simulated_strike_attempts_per_path,simulated_strikes_landed_per_path,simulated_takedown_attempts_per_path,simulated_takedowns_landed_per_path
32a8f38bd1d46e3e,2020-01-18,2020,Anthony Pettis,Diego Ferreira,lightweight,3,0,SUB,2,406.0,0.0,1.0,0.52,0.48,178.78034034919736,15,2681.70510523796,11,11681.70510523796,2,1,25,10029.542637662807,1652.1624675751532,0.44,0.64,0.08,0.08,0.56,0.4,0.16,0.04,0.04,0.0,0.4,0.08,0.32,0.7333333333333333,11,0.2,3,0.06666666666666667,1,0.0,0,0.0,0,0.84,0.32,63.2,29.72,2.16,0.72,86.8,32.6,150.0,62.32,3.0,1.04
36032308b7e86fd0,2020-01-18,2020,Holly Holm,Raquel Pennington,women's bantamweight,3,1,DEC,3,900.0,0.0,0.0,0.92,0.08,41.94288671553656,3,125.82866014660968,0,19925.82866014661,3,3,25,18724.02134914402,1201.8073110025825,0.0,1.0,0.0,0.12,0.12,0.08,0.04,0.0,0.0,0.0,0.88,0.84,0.04,1.0,3,0.0,0,0.0,0,0.0,0,0.0,0,1.56,0.44,111.08,42.32,2.72,0.56,76.4,27.56,187.48000000000002,69.88,4.28,1.0
5868c154789648f0,2020-01-18,2020,Andre Fili,Sodiq Yusuff,featherweight,3,0,DEC,3,900.0,0.0,1.0,0.68,0.32,335.1014582433861,4,1340.4058329735444,3,20240.40583297354,3,3,25,18343.583518193227,1896.8223147803126,0.12,0.88,0.0,0.12,0.12,0.08,0.04,0.04,0.04,0.0,0.84,0.56,0.28,0.75,3,0.0,0,0.25,1,0.0,0,0.0,0,2.52,1.08,126.84,48.48,1.96,0.44,112.64,49.28,239.48000000000002,97.75999999999999,4.48,1.52
63dd38f0dcc2ee88,2020-01-18,2020,Drew Dober,Nasrat Haqparast,lightweight,3,1,KO_TKO,1,70.0,1.0,0.0,0.68,0.32,,0,0.0,6,22500.0,2,2,25,21101.509809697218,1398.4901903027778,0.24,0.88,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68,0.32,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.84,0.6,183.08,62.4,1.52,0.4,137.28,59.24,320.36,121.64,5.359999999999999,1.0
702759500d47a059,2020-01-18,2020,Aleksei Oleinik,Maurice Greene,heavyweight,3,1,SUB,2,578.0,0.0,3.0,0.36,0.64,231.77923636968643,17,3940.2470182846696,18,11140.247018284668,6,3,25,10039.98327613915,1100.2637421455213,0.72,0.52,0.16,0.24,0.6,0.24,0.36,0.08,0.08,0.0,0.32,0.04,0.28,0.7647058823529411,13,0.17647058823529413,3,0.058823529411764705,1,0.0,0,0.0,0,1.92,0.68,59.0,23.8,0.56,0.32,70.2,27.08,129.2,50.879999999999995,2.48,1.0
760b5b16b4931a77,2020-01-18,2020,Roxanne Modafferi,Maycee Barber,women's flyweight,3,1,DEC,3,900.0,1.0,1.0,0.2,0.8,230.869455306571,4,923.477821226284,5,19823.477821226283,3,3,25,17702.472134565378,2121.00568666091,0.2,0.84,0.04,0.12,0.12,0.04,0.08,0.04,0.04,0.0,0.84,0.12,0.72,0.75,3,0.25,1,0.0,0,0.0,0,0.0,0,2.92,0.68,153.12,51.76,2.04,0.84,157.6,65.6,310.72,117.35999999999999,4.96,1.52
eed6c9aff2234b7a,2020-01-18,2020,Conor McGregor,Donald Cerrone,welterweight,5,1,KO_TKO,1,40.0,1.0,0.0,1.0,0.0,469.2085261625171,12,5630.502313950205,21,25130.502313950205,4,4,25,24253.7411506611,876.7611632891073,0.84,0.44,0.2,0.16,0.48,0.48,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.5,6,0.25,3,0.0,0,0.16666666666666666,2,0.08333333333333333,1,0.96,0.16,158.56,76.68,2.08,0.76,122.92,56.68,281.48,133.36,3.04,0.92
037d2f426c916ffc,2020-01-25,2020,Curtis Blaydes,Junior Dos Santos,heavyweight,5,1,KO_TKO,2,366.0,0.0,0.0,0.08,0.92,498.84959142573626,25,12471.239785643405,19,12471.239785643405,1,1,25,10812.174572248286,1659.0652133951219,0.76,0.32,0.04,0.04,1.0,0.08,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.4,10,0.28,7,0.12,3,0.12,3,0.08,2,3.56,1.12,51.92,18.96,0.0,0.0,64.32,29.92,116.24,48.88,3.56,1.12
2ef54419defb2364,2020-01-25,2020,Rafael Dos Anjos,Michael Chiesa,welterweight,3,0,DEC,3,900.0,0.0,0.0,0.48,0.52,420.3329660655087,5,2101.6648303275433,2,20101.664830327543,12,9,25,15044.703893426637,5056.960936900901,0.08,0.92,0.0,0.48,0.08,0.0,0.08,0.12,0.04,0.08,0.8,0.44,0.36,0.4,2,0.4,2,0.2,1,0.0,0,0.0,0,2.44,0.92,86.16,39.6,4.76,2.12,99.68,34.04,185.84,73.64,7.199999999999999,3.04
79161bde28636128,2020-01-25,2020,Sara McMann,Lina Lansberg,women's bantamweight,3,1,DEC,3,900.0,0.0,1.0,0.88,0.12,,0,0.0,3,22500.0,5,4,25,18093.766771920695,4406.233228079308,0.12,0.88,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.88,0.12,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.8,1.84,128.04,40.56,0.56,0.28,87.04,34.2,215.07999999999998,74.76,4.359999999999999,2.12
