k,window,rows,fights,total_ll,mean_ll,mae_seconds
0.5,validation_2022_2023,1277,772,-7507.1718575993145,-5.878756348942298,94.90276293701876
0.5,holdout_2024plus,1459,911,-8651.31501774142,-5.9296196146274305,96.87231682194995
1.0,validation_2022_2023,1277,772,-7426.250545941852,-5.81538805477044,91.83447735869737
1.0,holdout_2024plus,1459,911,-8525.89716202857,-5.843658095975717,93.59823629737943
2.0,validation_2022_2023,1277,772,-7369.447544022172,-5.77090645577304,88.74174752826032
2.0,holdout_2024plus,1459,911,-8448.38713036255,-5.790532645896196,90.03465610722611
3.0,validation_2022_2023,1277,772,-7348.049589865999,-5.75415003121848,87.08767579655041
3.0,holdout_2024plus,1459,911,-8421.167452494066,-5.771876252566186,88.11644553142492
5.0,validation_2022_2023,1277,772,-7332.279332025656,-5.741800573238572,85.60330289672983
5.0,holdout_2024plus,1459,911,-8401.598159317964,-5.7584634402453485,86.04552714567171
8.0,validation_2022_2023,1277,772,-7326.870354819362,-5.737564882395741,84.75299261114961
8.0,holdout_2024plus,1459,911,-8394.823105066513,-5.753819811560324,84.81197608597337
12.0,validation_2022_2023,1277,772,-7327.455514163468,-5.738023112109215,84.53762501394942
12.0,holdout_2024plus,1459,911,-8395.364839018952,-5.754191116531152,84.37512877607398
20.0,validation_2022_2023,1277,772,-7332.7013801195,-5.742131072920516,84.7687886271302
20.0,holdout_2024plus,1459,911,-8401.726619489255,-5.758551486970017,84.56732502431271
