sigma_retention,sigma_escape,window,rows,fights,total_ll,mean_ll,mae_seconds
0.0,0.0,validation_2022_2023,1277,772,-7371.71176431804,-5.77267953353018,88.25040347542699
0.0,0.15,validation_2022_2023,1277,772,-7361.42235179805,-5.764622045260807,87.06484432275927
0.0,0.3,validation_2022_2023,1277,772,-7351.846916068663,-5.757123661760895,85.83571717975592
0.0,0.45,validation_2022_2023,1277,772,-7355.943524537273,-5.760331655863174,86.0066023233644
0.0,0.6,validation_2022_2023,1277,772,-7369.744896001552,-5.77113930775376,86.89119964640965
0.0,0.8,validation_2022_2023,1277,772,-7393.961626239946,-5.790103074581007,88.53297912672336
0.0,1.0,validation_2022_2023,1277,772,-7417.294537074715,-5.808374735375658,90.21346319065803
0.15,0.0,validation_2022_2023,1277,772,-7358.57970005446,-5.76239600630733,86.71231097173934
0.15,0.15,validation_2022_2023,1277,772,-7349.862800057354,-5.755569929567232,85.60031880271816
0.15,0.3,validation_2022_2023,1277,772,-7342.108510684517,-5.74949765911082,84.42886985917258
0.15,0.45,validation_2022_2023,1277,772,-7346.837410693413,-5.753200791459212,84.49776848902486
0.15,0.6,validation_2022_2023,1277,772,-7360.627490341804,-5.76399960089413,85.35883148068764
0.15,0.8,validation_2022_2023,1277,772,-7384.537140435448,-5.782722897756812,86.99635776312961
0.15,1.0,validation_2022_2023,1277,772,-7407.519795947385,-5.800720278737185,88.68729541501246
0.3,0.0,validation_2022_2023,1277,772,-7350.611933136457,-5.756156564711399,85.86204226838088
0.3,0.15,validation_2022_2023,1277,772,-7343.649875586576,-5.750704679394343,84.64229585884718
0.3,0.3,validation_2022_2023,1277,772,-7338.380693116368,-5.7465784597622305,83.31924383301026
0.3,0.45,validation_2022_2023,1277,772,-7344.494872410205,-5.75136638403305,83.29840367460746
0.3,0.6,validation_2022_2023,1277,772,-7358.942150528908,-5.762679835966256,84.17205875926064
0.3,0.8,validation_2022_2023,1277,772,-7383.289996888809,-5.781746277908229,85.85756055036212
0.3,1.0,validation_2022_2023,1277,772,-7406.504558807483,-5.799925261399752,87.70849094928774
0.45,0.0,validation_2022_2023,1277,772,-7358.19092966353,-5.7620915659072285,86.2854899075205
0.45,0.15,validation_2022_2023,1277,772,-7351.971858287277,-5.757221502182676,85.1044363557715
0.45,0.3,validation_2022_2023,1277,772,-7348.072436954181,-5.75416792243867,83.82328270125912
0.45,0.45,validation_2022_2023,1277,772,-7355.145305817466,-5.759706582472565,83.78261889825517
0.45,0.6,validation_2022_2023,1277,772,-7370.147601613351,-5.771454660621262,84.71033495042555
0.45,0.8,validation_2022_2023,1277,772,-7394.927065286191,-5.790859095760525,86.53353187300108
0.45,1.0,validation_2022_2023,1277,772,-7418.412356911751,-5.809250083721027,88.51861131317484
0.6,0.0,validation_2022_2023,1277,772,-7374.001721989658,-5.77447276584938,87.50223454134198
0.6,0.15,validation_2022_2023,1277,772,-7368.07331478575,-5.7698303169817935,86.34032628662028
0.6,0.3,validation_2022_2023,1277,772,-7364.944328148788,-5.767380053366319,85.09256216799587
0.6,0.45,validation_2022_2023,1277,772,-7372.632761426443,-5.773400752878969,85.19291423256463
0.6,0.6,validation_2022_2023,1277,772,-7387.99470628482,-5.785430466941911,86.20373611467019
0.6,0.8,validation_2022_2023,1277,772,-7413.026420859742,-5.80503243606871,88.2296319528979
0.6,1.0,validation_2022_2023,1277,772,-7436.66740012264,-5.823545340738168,90.55422889222883
0.8,0.0,validation_2022_2023,1277,772,-7398.9854070489255,-5.794037123765799,89.3249620173693
0.8,0.15,validation_2022_2023,1277,772,-7393.27322243629,-5.78956399564314,88.22277425336593
0.8,0.3,validation_2022_2023,1277,772,-7390.867214561452,-5.787679886109203,87.0455765888182
0.8,0.45,validation_2022_2023,1277,772,-7399.145052569928,-5.794162139835496,87.43231204584202
0.8,0.6,validation_2022_2023,1277,772,-7414.830530908928,-5.806445208229388,88.69898629201454
0.8,0.8,validation_2022_2023,1277,772,-7440.052087316604,-5.82619583971543,91.21102326608025
0.8,1.0,validation_2022_2023,1277,772,-7463.810260933504,-5.844800517567348,93.99800209105565
1.0,0.0,validation_2022_2023,1277,772,-7422.16700408203,-5.81219029293816,91.05430458514839
1.0,0.15,validation_2022_2023,1277,772,-7416.602729369362,-5.807832990892218,89.94689836073132
1.0,0.3,validation_2022_2023,1277,772,-7414.740524574372,-5.8063747255868225,89.1004498089273
1.0,0.45,validation_2022_2023,1277,772,-7423.458426320654,-5.813201586782031,89.5921777118122
1.0,0.6,validation_2022_2023,1277,772,-7439.382032435251,-5.825671129549923,91.19012369428351
1.0,0.8,validation_2022_2023,1277,772,-7464.741894916373,-5.845530066496768,94.0846241969589
1.0,1.0,validation_2022_2023,1277,772,-7488.598029923264,-5.864211456478672,97.03451576111406
