sigma_retention,sigma_escape,c,window,rows,fights,total_ll,mean_ll,mae_seconds
0.3,0.3,0.0,validation_2022_2023,1277,772,-7317.1501750342995,-5.729953151945419,83.31924383301026
0.3,0.3,0.0,holdout_2024plus,1459,911,-8394.01043593417,-5.75326280735721,83.40406536002017
0.3,0.3,0.25,validation_2022_2023,1277,772,-7321.783409209467,-5.733581369780319,83.31924383301026
0.3,0.3,0.25,holdout_2024plus,1459,911,-8398.9560795348,-5.756652556226731,83.40406536002017
0.3,0.3,0.5,validation_2022_2023,1277,772,-7326.979610992186,-5.737650439304766,83.31924383301026
0.3,0.3,0.5,holdout_2024plus,1459,911,-8404.715170423791,-5.760599842648246,83.40406536002017
0.3,0.3,0.75,validation_2022_2023,1277,772,-7332.549153930606,-5.742011866821148,83.31924383301026
0.3,0.3,0.75,holdout_2024plus,1459,911,-8410.998740443782,-5.764906607569419,83.40406536002017
0.3,0.3,1.0,validation_2022_2023,1277,772,-7338.380693116368,-5.7465784597622305,83.31924383301026
0.3,0.3,1.0,holdout_2024plus,1459,911,-8417.64364495713,-5.769461031499061,83.40406536002017
0.3,0.3,1.25,validation_2022_2023,1277,772,-7344.402589900117,-5.751294118950757,83.31924383301026
0.3,0.3,1.25,holdout_2024plus,1459,911,-8424.547552425101,-5.774192976302332,83.40406536002017
