rho,sigma,beta,rows,fights,total_ll,mean_ll
0.005,0.0,-5.342321300885031,1802,906,-1144.040112173739,-0.6348724262895333
0.005,0.15,-5.342321300885031,1802,906,-1141.4412521836528,-0.6334302176379871
0.005,0.25,-5.342321300885031,1802,906,-1137.2736393065002,-0.6311174468959491
0.005,0.35,-5.342321300885031,1802,906,-1131.997702027863,-0.6281896237668496
0.005,0.5,-5.342321300885031,1802,906,-1124.0770773454256,-0.6237941605690486
0.005,0.7,-5.342321300885031,1802,906,-1118.0694629740776,-0.6204603013174682
0.005,0.9,-5.342321300885031,1802,906,-1118.5440379314373,-0.6207236614491883
0.01,0.0,-5.250079830905459,1802,906,-1138.0357008614108,-0.6315403445401836
0.01,0.15,-5.250079830905459,1802,906,-1135.940529301799,-0.6303776522207541
0.01,0.25,-5.250079830905459,1802,906,-1132.6063816282544,-0.6285274037892644
0.01,0.35,-5.250079830905459,1802,906,-1128.446666437467,-0.6262190157810583
0.01,0.5,-5.250079830905459,1802,906,-1122.3932007702751,-0.6228597118591982
0.01,0.7,-5.250079830905459,1802,906,-1118.4690651861622,-0.6206820561521433
0.01,0.9,-5.250079830905459,1802,906,-1120.4520814069397,-0.62178250910485
0.02,0.0,-5.092599161296608,1802,906,-1142.3665930527277,-0.6339437253344771
0.02,0.15,-5.092599161296608,1802,906,-1140.6988212417148,-0.6330182137856353
0.02,0.25,-5.092599161296608,1802,906,-1138.0861067684132,-0.6315683167416277
0.02,0.35,-5.092599161296608,1802,906,-1134.9250618783158,-0.6298141297881885
0.02,0.5,-5.092599161296608,1802,906,-1130.668696569269,-0.6274521068641893
0.02,0.7,-5.092599161296608,1802,906,-1128.9500169374592,-0.6264983445823857
0.02,0.9,-5.092599161296608,1802,906,-1132.565280703158,-0.6285045952847713
0.05,0.0,-4.764681513417408,1802,906,-1174.190929163421,-0.6516042892138851
0.05,0.15,-4.764681513417408,1802,906,-1172.9589034980263,-0.6509205901764852
0.05,0.25,-4.764681513417408,1802,906,-1171.0927509353019,-0.6498849894202563
0.05,0.35,-4.764681513417408,1802,906,-1168.987013852553,-0.6487164338804401
0.05,0.5,-4.764681513417408,1802,906,-1166.711465475677,-0.6474536434382225
0.05,0.7,-4.764681513417408,1802,906,-1167.6531164552457,-0.6479762022504139
0.05,0.9,-4.764681513417408,1802,906,-1173.2905447489472,-0.6511046308262748
0.1,0.0,-4.417736808606692,1802,906,-1221.4834121269705,-0.6778487303701279
0.1,0.15,-4.417736808606692,1802,906,-1220.5021336943603,-0.6773041807404885
0.1,0.25,-4.417736808606692,1802,906,-1219.068469106219,-0.6765085844096665
0.1,0.35,-4.417736808606692,1802,906,-1217.577827101906,-0.6756813690909578
0.1,0.5,-4.417736808606692,1802,906,-1216.464198102277,-0.6750633729757364
0.1,0.7,-4.417736808606692,1802,906,-1219.0138772036644,-0.6764782892362178
0.1,0.9,-4.417736808606692,1802,906,-1225.8851104770447,-0.6802914042602912
