c,window,rows,fights,total_ll,mean_ll
0.0,validation_2022_2023,1802,906,-1125.7833745630678,-0.6247410513668523
0.0,holdout_2024plus,2162,1094,-1343.4336254648465,-0.6213846556266635
0.25,validation_2022_2023,1802,906,-1122.8287176724116,-0.6231013971545014
0.25,holdout_2024plus,2162,1094,-1340.5234746645542,-0.6200386099281009
0.5,validation_2022_2023,1802,906,-1120.5589665545544,-0.6218418238371556
0.5,holdout_2024plus,2162,1094,-1338.3431375953621,-0.6190301283974848
0.75,validation_2022_2023,1802,906,-1118.9762815529466,-0.6209635302735552
0.75,holdout_2024plus,2162,1094,-1336.8758867241747,-0.6183514739704786
1.0,validation_2022_2023,1802,906,-1118.0694629740776,-0.6204603013174682
1.0,holdout_2024plus,2162,1094,-1336.098338108242,-0.6179918307623691
1.25,validation_2022_2023,1802,906,-1117.8120940883628,-0.6203174772965387
1.25,holdout_2024plus,2162,1094,-1335.9786446319895,-0.6179364683774234
