event_date,red,blue,red_odds,blue_odds,source,source_date
2026-06-06,Bruno Silva,Edgar Chairez,-120,100,UFC event page,2026-06-06
2026-06-06,Brendan Allen,Edmen Shahbazyan,-185,145,UFC event page,2026-06-06
2026-06-06,Jordan Leavitt,Joanderson Brito,145,-185,UFC event page,2026-06-06
2026-06-06,Fares Ziam,Tom Nolan,-340,250,UFC event page,2026-06-06
2026-06-06,Belal Muhammad,Gabriel Bonfim,-115,-110,UFC event page,2026-06-06
2026-06-06,Matt Schnell,Alessandro Costa,310,-440,UFC event page,2026-06-06
2026-06-06,Priscila Cachoeira,Chelsea Chandler,105,-125,UFC event page,2026-06-06
2026-06-06,Ketlen Souza,Ariane Carnelossi,-330,240,UFC event page,2026-06-06
2026-06-14,Bo Nickal,Kyle Daukaus,-340,270,bet365 News US,2026-06-11
2026-06-14,Diego Lopes,Steve Garcia,-155,130,bet365 News US,2026-06-11
2026-06-14,Josh Hokit,Derrick Lewis,-425,325,bet365 News US,2026-06-11
2026-06-14,Alex Pereira,Ciryl Gane,-115,-105,bet365 News US,2026-06-11
2026-06-14,Sean O'Malley,Aiemann Zahabi,-425,325,bet365 News US,2026-06-11
2026-06-14,Ilia Topuria,Justin Gaethje,-600,450,bet365 News US,2026-06-11
2026-06-14,Mauricio Ruffy,Michael Chandler,-750,525,bet365 News US,2026-06-11
2026-06-20,Andre Lima,Kevin Borjas,-600,450,bet365 News US,2026-06-18
2026-06-20,Manel Kape,Kyoji Horiguchi,-155,130,bet365 News US,2026-06-18
2026-06-20,Allan Nascimento,Mitch Raposo,-200,165,bet365 News US,2026-06-18
2026-06-20,Vinicius Oliveira,Andre Fili,-280,230,bet365 News US,2026-06-18
2026-06-20,Gaston Bolanos,Michael Aswell Jr.,350,-450,bet365 News US,2026-06-18
2026-06-20,Hyder Amil,Christian Rodriguez,155,-185,bet365 News US,2026-06-18
2026-06-20,Ion Cutelaba,Navajo Stirling,250,-310,bet365 News US,2026-06-18
2026-06-20,Karol Rosa,Luana Santos,-125,105,bet365 News US,2026-06-18
2026-06-27,Shara Magomedov,Michel Pereira,-350,275,bet365 News US,2026-06-25
2026-06-27,Abus Magomedov,Michal Oleksiejczuk,-115,-105,bet365 News US,2026-06-25
2026-06-27,Nursulton Ruziboev,Andrey Pulyaev,-225,185,bet365 News US,2026-06-25
2026-06-27,Asu Almabayev,Charles Johnson,-250,205,bet365 News US,2026-06-25
2026-06-27,Bekzat Almakhan,Jean Matsumoto,130,-155,bet365 News US,2026-06-25
2026-06-27,Rafael Fiziev,Manuel Torres,-115,-105,bet365 News US,2026-06-25
2026-06-27,Ikram Aliskerov,Brunno Ferreira,-275,225,bet365 News US,2026-06-25
2026-07-11,Benoit Saint Denis,Paddy Pimblett,-140,120,bet365 News US,2026-07-10
2026-07-11,Alessandro Costa,Cody Durden,-250,205,bet365 News US,2026-07-10
2026-07-11,Nikita Krylov,Robert Whittaker,115,-135,bet365 News US,2026-07-10
2026-07-11,King Green,Terrance McKinney,120,-145,bet365 News US,2026-07-10
2026-07-11,Brandon Royval,Lone'er Kavanagh,180,-220,bet365 News US,2026-07-10
2026-07-11,Cory Sandhagen,Mario Bautista,-135,115,bet365 News US,2026-07-10
2026-07-11,Tracy Cortez,Wang Cong,-110,-110,bet365 News US,2026-07-10
2026-07-11,Cody Garbrandt,Adrian Yanez,325,-425,bet365 News US,2026-07-10
2026-07-11,Conor McGregor,Max Holloway,175,-210,bet365 News US,2026-07-10
2026-07-18,Jared Cannonier,Christian Leroy Duncan,290,-370,bet365 News US,2026-07-17
2026-07-18,Tabatha Ricci,Fatima Kline,375,-500,bet365 News US,2026-07-17
2026-07-18,Dricus Du Plessis,Kamaru Usman,-245,200,bet365 News US,2026-07-17
