paths,p_red_win,p_blue_win,p_ko_tko,p_sub,p_dec,mean_finish_round,mean_red_sig_att,mean_red_sig_landed,mean_red_td_att,mean_red_td_landed,mean_red_control_seconds,mean_red_ground_control_seconds,mean_red_clinch_control_seconds,mean_red_sub_att,mean_red_reversals,mean_red_knockdowns_scored,mean_red_distance_segments,mean_red_clinch_segments,mean_red_ground_segments,mean_red_distance_occupancy,mean_red_clinch_occupancy,mean_red_ground_occupancy,mean_blue_sig_att,mean_blue_sig_landed,mean_blue_td_att,mean_blue_td_landed,mean_blue_control_seconds,mean_blue_ground_control_seconds,mean_blue_clinch_control_seconds,mean_blue_sub_att,mean_blue_reversals,mean_blue_knockdowns_scored,mean_blue_distance_segments,mean_blue_clinch_segments,mean_blue_ground_segments,mean_blue_distance_occupancy,mean_blue_clinch_occupancy,mean_blue_ground_occupancy,td_success_rate,bout_id,event_date,red_name,blue_name,red_fighter_id,blue_fighter_id,red_age,blue_age,scheduled_rounds,actual_red_win,winner_correct,winner_brier
10,0.5,0.5,0.6,0.1,0.3,1.4285714285714286,61.5,38.0,0.5,0.3,42.0,38.0,4.0,0.3,0.1,0.1,31.9,3.3,6.5,0.7649880095923262,0.07913669064748202,0.15587529976019185,81.1,34.0,0.9,0.4,56.0,27.0,29.0,0.1,0.1,0.5,31.9,3.3,6.5,0.7649880095923262,0.07913669064748202,0.15587529976019185,0.5,32a8f38bd1d46e3e,2020-01-18,Anthony Pettis,Diego Ferreira,cbb682f5fcc44bfc,f53d4f21d1b5f2dc,32.97467488021903,34.997946611909654,3,0,0,0.25
10,0.7,0.3,0.1,0.2,0.7,2.3333333333333335,100.6,40.6,1.0,0.3,79.0,38.0,41.0,0.1,0.2,0.0,45.2,15.8,17.9,0.5728770595690748,0.20025348542458807,0.2268694550063371,86.5,34.8,4.3,1.5,258.0,141.0,117.0,0.3,0.0,0.0,45.2,15.8,17.9,0.5728770595690748,0.20025348542458807,0.2268694550063371,0.339622641509434,36032308b7e86fd0,2020-01-18,Holly Holm,Raquel Pennington,634e2fb70bde3fd5,fc169c387b4b465d,38.25325119780972,31.367556468172484,3,1,1,0.09000000000000002
10,0.5,0.5,0.2,0.1,0.7,1.3333333333333333,160.3,62.5,1.8,0.8,123.0,115.0,8.0,0.3,0.1,0.2,54.1,0.8,17.8,0.7441540577716643,0.011004126547455296,0.24484181568088034,112.0,68.5,1.4,0.6,63.0,63.0,0.0,0.1,0.1,0.1,54.1,0.8,17.8,0.7441540577716643,0.011004126547455296,0.24484181568088034,0.43749999999999994,5868c154789648f0,2020-01-18,Andre Fili,Sodiq Yusuff,8fd808923cffff82,94426bb170c88115,29.56605065023956,26.666666666666668,3,0,0,0.25
10,0.2,0.8,0.1,0.1,0.8,2.5,101.8,33.8,2.6,0.7,160.0,52.0,108.0,0.2,0.1,0.2,55.8,13.7,13.7,0.670673076923077,0.16466346153846156,0.16466346153846156,105.1,55.1,2.7,1.0,114.0,85.0,29.0,0.1,0.0,0.1,55.8,13.7,13.7,0.670673076923077,0.16466346153846156,0.16466346153846156,0.320754716981132,63dd38f0dcc2ee88,2020-01-18,Drew Dober,Nasrat Haqparast,519e4fe37ce9ff75,b7b84ccd221be298,31.247091033538673,24.407939767282684,3,1,0,0.6400000000000001
10,0.5,0.5,0.4,0.1,0.5,1.6,65.0,33.9,2.6,1.1,209.0,165.0,44.0,0.3,0.2,0.5,34.8,8.6,19.3,0.5550239234449761,0.1371610845295056,0.3078149920255184,75.3,35.0,1.4,0.4,70.0,28.0,42.0,0.2,0.2,0.3,34.8,8.6,19.3,0.5550239234449761,0.1371610845295056,0.3078149920255184,0.375,702759500d47a059,2020-01-18,Aleksei Oleinik,Maurice Greene,98c23cb6da5b3352,068f8a189a47fea6,42.57905544147844,33.53867214236824,3,1,1,0.25
10,0.2,0.8,0.4,0.2,0.4,1.6666666666666667,99.7,26.2,1.7,0.9,86.0,81.0,5.0,0.1,0.1,0.0,41.8,3.8,15.0,0.6897689768976898,0.06270627062706272,0.24752475247524755,73.2,35.8,1.4,0.6,102.0,69.0,33.0,0.3,0.1,0.5,41.8,3.8,15.0,0.6897689768976898,0.06270627062706272,0.24752475247524755,0.48387096774193555,760b5b16b4931a77,2020-01-18,Roxanne Modafferi,Maycee Barber,4498b382c65a7faa,6a740daf1b279661,37.31690622861054,21.67008898015058,3,1,0,0.6400000000000001
10,0.6,0.4,0.9,0.0,0.1,1.2222222222222223,57.9,34.3,0.8,0.5,31.0,24.0,7.0,0.0,0.0,0.5,26.9,1.4,6.7,0.7685714285714286,0.04,0.19142857142857142,79.7,49.8,0.7,0.2,50.0,43.0,7.0,0.0,0.1,0.1,26.9,1.4,6.7,0.7685714285714286,0.04,0.19142857142857142,0.4666666666666666,eed6c9aff2234b7a,2020-01-18,Conor McGregor,Donald Cerrone,f4c49976c75c5ab2,1d00756835ca67c9,31.512662559890487,36.80766598220397,5,1,1,0.16000000000000003
10,0.4,0.6,0.5,0.1,0.4,2.0,69.5,34.9,8.2,2.9,447.0,414.0,33.0,0.1,0.1,0.0,34.0,3.7,45.3,0.40963855421686746,0.04457831325301205,0.5457831325301205,78.0,43.7,0.8,0.5,43.0,39.0,4.0,0.2,0.0,0.6,34.0,3.7,45.3,0.40963855421686746,0.04457831325301205,0.5457831325301205,0.37777777777777777,037d2f426c916ffc,2020-01-25,Curtis Blaydes,Junior Dos Santos,fa6796c55d6c5440,63def5a5662a6917,28.933607118412045,35.98631074606434,5,1,0,0.36
10,0.3,0.7,0.0,0.6,0.4,2.1666666666666665,67.4,39.5,1.7,0.6,86.0,74.0,12.0,0.4,0.1,0.0,36.0,2.8,32.7,0.5034965034965035,0.03916083916083916,0.4573426573426574,60.9,24.3,4.7,2.3,269.0,253.0,16.0,0.6,0.1,0.1,36.0,2.8,32.7,0.5034965034965035,0.03916083916083916,0.4573426573426574,0.45312499999999994,2ef54419defb2364,2020-01-25,Rafael Dos Anjos,Michael Chiesa,6a2f7c151031653d,c58f51dedb310998,35.24709103353867,32.134154688569474,3,0,1,0.09
10,0.6,0.4,0.1,0.2,0.7,1.0,41.2,19.3,5.1,2.7,277.0,253.0,24.0,0.3,0.0,0.0,16.5,17.0,35.9,0.23775216138328528,0.24495677233429392,0.5172910662824207,36.5,20.7,2.5,0.8,251.0,105.0,146.0,0.2,0.1,0.0,16.5,17.0,35.9,0.23775216138328528,0.24495677233429392,0.5172910662824207,0.46052631578947373,79161bde28636128,2020-01-25,Sara McMann,Lina Lansberg,7be74a12d7352df2,2eeaefbfc7f9fcff,39.3347022587269,37.869952087611225,3,1,1,0.16000000000000003
