name,min_implied_probability,max_implied_probability,validation_rows,avg_implied_probability,avg_model_probability,actual_win_rate,raw_delta,smoothed_delta,calibrated_avg_probability,used_bucket_calibrator,fallback_used
8,0.0,0.1,1,0.09090909090909091,0.21813605928627577,0.0,0.0009833961000076386,0.0009833961000076386,0.21715266318626814,False,True
1020,0.1,0.2,61,0.16197914280415313,0.34141834290922424,0.08196721311475409,0.25945112979447016,0.24228242830668345,0.09913591460254079,True,False
2030,0.2,0.3,188,0.2544016410705015,0.41007268490557813,0.20212765957446807,0.20794502533111006,0.20469702631348435,0.20537565859209378,True,False
3040,0.3,0.4,308,0.3533563028000601,0.4453949767452991,0.30194805194805197,0.14344692479724713,0.13583003810340577,0.30956493864189333,True,False
4050,0.4,0.5,278,0.4442808167211481,0.4729417091426951,0.4244604316546763,0.04848127748801884,0.05739350339258155,0.4155482057501136,True,False
5060,0.5,0.6,261,0.5496927792046024,0.5102373307319072,0.5210727969348659,-0.01083546620295861,-0.02474229615216518,0.5349796268840724,True,False
6070,0.6,0.7,348,0.6487799596864953,0.5408871369759043,0.6666666666666666,-0.12577952969076234,-0.10339260916820084,0.6442797461441051,True,False
7080,0.7,0.8,229,0.7447923546503877,0.5824485430601516,0.7336244541484717,-0.15117591108832007,-0.16272540730410812,0.7451739503642597,True,False
8090,0.8,0.9,109,0.8411432853943263,0.6212664198986765,0.8440366972477065,-0.22277027734903,-0.19890548859546,0.8201719084941365,True,False
90100,0.9,1.0,18,0.9154141059694962,0.6929947521956588,1.0,0.0009833961000076386,0.0009833961000076386,0.6920113560956511,False,True
