bucket_type,bucket,bets,win_rate,flat_profit,flat_roi
edge,"(0.0, 0.05]",332,0.46686746987951805,-2461.6396630692807,-0.07414577298401448
edge,"(0.05, 0.1]",345,0.4260869565217391,-4408.249865976372,-0.12777535843409774
edge,"(0.1, 0.15]",281,0.3807829181494662,-2618.503606755522,-0.09318518173507195
edge,"(0.15, 0.2]",207,0.38164251207729466,-310.0088500448484,-0.014976272949026492
edge,"(0.2, 10.0]",372,0.34946236559139787,1729.8247754233075,0.04650066600600289
confidence,"(0.5, 0.6]",1343,0.3708116157855547,-8802.321274964423,-0.06554222840628758
confidence,"(0.6, 0.7]",194,0.6185567010309279,733.7440645417065,0.03782185899699518
odds,"(-10000.001, -300.0]",45,0.8888888888888888,554.7618718921877,0.12328041597604172
odds,"(-150.0, 100.0]",151,0.5629139072847682,497.1570092680816,0.032924305249541826
odds,"(-300.0, -150.0]",200,0.71,1452.5039084170146,0.07262519542085073
odds,"(100.0, 200.0]",604,0.39403973509933776,-1828.0,-0.030264900662251657
odds,"(200.0, 500.0]",463,0.23110151187904968,-5635.0,-0.12170626349892008
odds,"(500.0, 10000.0]",74,0.08108108108108109,-3110.0,-0.42027027027027025
