fighter_id,fighter_name,fighter_fight_number,fighter_age,career_ko_loss_number,fight_date,event_name,fight_id,division,opponent_id,opponent_name,method,finish_round,match_time_sec,days_to_next_fight,next_fight_date,next_event_name,next_fight_id,next_division,next_opponent_id,next_opponent_name,next_method,next_finish_round,next_match_time_sec,won_next_fight,lost_next_fight,next_fight_was_ko_tko,next_fight_lost_by_ko_tko,layoff_bucket,age_bucket,career_ko_loss_bucket
4123fd4dcc1fe937,David Terrell,2,27.07460643394935,1,2005-02-05,UFC 51: Super Saturday,7cfc8649d07b704c,middleweight,8f2d9ee27f206f1f,Evan Tanner,KO/TKO,1,275,434.0,2006-04-15,UFC 59: Reality Check,fdafa20b7ec8cb44,middleweight,3410cf010558dc8b,Scott Smith,Submission,1.0,188.0,True,False,False,False,366-540,<30,1
d814f5192e58fb2f,Drew Fickett,1,25.14715947980835,1,2005-02-05,UFC 51: Super Saturday,e8196de20c4a969a,welterweight,f57a8a52ca401ed9,Nick Diaz,KO/TKO,1,280,182.0,2005-08-06,UFC Fight Night 1,7acca0910edd7023,welterweight,d1a1314976c50bef,Josh Neer,Submission,1.0,95.0,True,False,False,False,181-270,<30,1
a7f4d0902bb64092,James Irvin,1,26.401095140314855,1,2005-02-05,UFC 51: Super Saturday,48189cad0c11ff63,heavyweight,56b8b24f65f9f057,Mike Kyle,KO/TKO,1,115,196.0,2005-08-20,UFC 54: Boiling Point,42957e04417af1d8,light heavyweight,6a92caba39b64752,Terry Martin,KO/TKO,2.0,309.0,True,False,True,False,181-270,<30,1
27fc9218a3653e3c,Justin Eilers,2,26.60917180013689,1,2005-02-05,UFC 51: Super Saturday,c91ef06766009965,heavyweight,f0abbb6f3444dae7,Paul Buentello,KO/TKO,1,214,119.0,2005-06-04,UFC 53: Heavy Hitters,a507bfa374885a25,interim heavyweight,3738e68d2261e60f,Andrei Arlovski,KO/TKO,1.0,250.0,False,True,True,True,0-120,<30,1
63b65af1c5cb02cb,Ken Shamrock,11,41.158110882956876,2,2005-04-09,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,c50a3025d1519fc8,light heavyweight,d897897060f10a3a,Rich Franklin,KO/TKO,1,162,455.0,2006-07-08,UFC 61: Bitter Rivals,ee6000812e2b9f9d,light heavyweight,2f732dd9210d301f,Tito Ortiz,KO/TKO,1.0,78.0,False,True,True,True,366-540,35+,2
cb139171ed1b69fe,Kenny Florian,1,28.870636550308006,1,2005-04-09,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,d172d88fbeb8c6a8,ultimate fighter 1 middleweight tournament,82e7929bf6c2b689,Diego Sanchez,KO/TKO,1,169,119.0,2005-08-06,UFC Fight Night 1,c2c000a37a89b82f,welterweight,e361e5c858af6ff1,Alex Karalexis,TKO - Doctor's Stoppage,2.0,472.0,True,False,False,False,0-120,<30,1
0aa92558424ced9e,Randy Couture,14,41.817932922655714,3,2005-04-16,UFC 52: Couture vs Liddell 2,2ae8623ef4156105,light heavyweight,a390eb8a9b2df298,Chuck Liddell,KO/TKO,1,126,126.0,2005-08-20,UFC 54: Boiling Point,093ef5ab2081cf65,light heavyweight,2ee09ec2a0695eb9,Mike van Arsdale,Submission,3.0,652.0,True,False,False,False,121-180,35+,3+
da97d6c97d09c030,Charles McCarthy,1,24.826830937713893,1,2005-06-04,UFC 53: Heavy Hitters,e5261884b0a0ed39,middleweight,22e47b53e4ceb27c,David Loiseau,KO/TKO,2,430,525.0,2006-11-11,The Ultimate Fighter: The Comeback Finale,cf1f2322c4b8bc64,middleweight,ea3ef6206c7907d5,Gideon Ray,Submission,1.0,283.0,True,False,False,False,366-540,<30,1
27fc9218a3653e3c,Justin Eilers,3,26.934976043805612,2,2005-06-04,UFC 53: Heavy Hitters,a507bfa374885a25,interim heavyweight,3738e68d2261e60f,Andrei Arlovski,KO/TKO,1,250,245.0,2006-02-04,UFC 57: Liddell vs Couture 3,235e4c69d5d945e8,heavyweight,fa315e6c77eee106,Brandon Vera,KO/TKO,1.0,85.0,False,True,True,True,181-270,<30,2
7b6e40a73b567072,Shonie Carter,5,33.086926762491444,2,2005-06-04,UFC 53: Heavy Hitters,ca3230227ee700b7,middleweight,52cae54377b433b7,Nate Quarry,KO/TKO,1,157,557.0,2006-12-13,UFC Fight Night: Sanchez vs Riggs,a5155aef1093048b,welterweight,b7d524c77c27389b,Marcus Davis,Decision - Unanimous,3.0,900.0,False,True,False,False,541+,30-34,2
