date,event,file,rows_2026_event,unique_fights,total_rows_file
2026-01-24,UFC 324: Gaethje vs. Pimblett,v5_frozen_logit020_combined_ledger.csv,3,3,120
2026-01-24,UFC 324: Gaethje vs. Pimblett,v5_frozen_logit020_later_ledger.csv,3,3,120
2026-01-24,UFC 324: Gaethje vs. Pimblett,ufc_324_method_freshrolling_v1.csv,66,11,66
2026-01-24,UFC 324: Gaethje vs. Pimblett,ufc_324_moneyline_freshrolling_v1.csv,22,11,22
2026-01-24,UFC 324: Gaethje vs. Pimblett,v5_historical_2025_to_20260328_positive_edge_fights.csv,11,11,505
2026-01-24,UFC 324: Gaethje vs. Pimblett,v5_profit_weighted_classifier_2025_to_20260328.csv,11,11,505
2026-01-24,UFC 324: Gaethje vs. Pimblett,v5_roi_meta_xgboost_2025_to_20260328_predictions.csv,11,11,505
2026-01-24,UFC 324: Gaethje vs. Pimblett,xgboost_market_offset_v3_test_predictions.csv,22,11,1010
2026-01-24,UFC 324: Gaethje vs. Pimblett,xgboost_market_offset_v4_capacity_test_predictions.csv,22,11,1010
2026-01-24,UFC 324: Gaethje vs. Pimblett,xgboost_market_offset_v5_feature_reduction_test_predictions.csv,22,11,1010
2026-01-24,UFC 324: Gaethje vs. Pimblett,xgboost_market_offset_v7_trajectory_reduction_test_predictions.csv,22,11,1010
2026-01-24,UFC 324: Gaethje vs. Pimblett,xgboost_market_offset_v8_context_test_predictions.csv,22,11,1010
2026-01-24,UFC 324: Gaethje vs. Pimblett,xgboost_market_residual_v1_test_predictions.csv,66,11,2966
2026-01-24,UFC 324: Gaethje vs. Pimblett,xgboost_market_residual_v2_diffs_test_predictions.csv,22,11,1010
2026-01-24,UFC 324: Gaethje vs. Pimblett,xgboost_v5_exact_reproduction_test_predictions.csv,22,11,1010
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,v5_frozen_logit020_combined_ledger.csv,4,4,120
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,v5_frozen_logit020_later_ledger.csv,4,4,120
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,ufc_325_method_freshrolling_v1.csv,78,13,78
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,ufc_325_moneyline_freshrolling_v1.csv,26,13,26
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,v5_historical_2025_to_20260328_positive_edge_fights.csv,13,13,505
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,v5_profit_weighted_classifier_2025_to_20260328.csv,13,13,505
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,v5_roi_meta_xgboost_2025_to_20260328_predictions.csv,13,13,505
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,xgboost_market_offset_v3_test_predictions.csv,26,13,1010
