fight_id,event_name,fight_display,refresh_timestamp,red_fighter,blue_fighter,v5_model_p_red,predicted_side,bet_fighter,bet_slug,model_probability,normalized_market_probability,raw_implied_probability,american_odds,decimal_odds,actual_winner,actual_method,target,won,stake_units,profit_units
e9f389ba3a1e33c4,UFC 329: McGregor vs. Holloway 2,Cody Garbrandt vs Adrian Yanez,2026-07-10 20:36:17.559163+00:00,Cody Garbrandt,Adrian Yanez,0.2436831465155028,blue,Adrian Yanez,blue_ko,0.4089284895768265,0.4334957397927423,0.5121951219512195,-105.0,1.9523809523809523,Adrian Yanez,KO/TKO,3,1,1.0,0.9523809523809523
7ecb154439aca0f9,UFC Fight Night: Medic vs. Rodriguez,Vlasto Cepo vs Gilbert Urbina,2026-07-31 21:20:50.686938+00:00,Vlasto Cepo,Gilbert Urbina,0.7829594415539757,red,Vlasto Cepo,red_ko,0.6670624021587006,0.5952220636160414,0.7142857142857143,-250.0,1.4,Gilbert Urbina,KO/TKO,3,0,1.0,-1.0
f1bce0c9a3fa4bcb,UFC Fight Night: Medic vs. Rodriguez,Oban Elliott vs Michael Oliveira,2026-07-31 21:20:50.686938+00:00,Oban Elliott,Michael Oliveira,0.2118587910186894,blue,Michael Oliveira,blue_ko,0.5627409971482653,0.4969754369922018,0.5833333333333334,-140.0,1.7142857142857144,Michael Oliveira,KO/TKO,3,1,1.0,0.7142857142857144
4ace64aa144389c5,UFC Fight Night: Ankalaev vs. Guskov,Magomed Zaynukov vs Damian Rzepecki,2026-07-24 20:31:56.149697+00:00,Magomed Zaynukov,Damian Rzepecki,0.7321445692117894,red,Magomed Zaynukov,red_dec,0.4283301766904497,0.3424320870334568,0.4166666666666667,140.0,2.4,Magomed Zaynukov,Decision - Unanimous,2,1,1.0,1.4
bbd05484f8c8d739,UFC Fight Night: Hernandez vs. Rodrigues,Chris Padilla vs Nasrat Haqparast,2026-08-21 20:39:18.694686+00:00,Chris Padilla,Nasrat Haqparast,0.5580817045183738,red,Chris Padilla,red_dec,0.3501266154992439,0.271925059174277,0.32786885245901637,205.0,3.05,Chris Padilla,Submission,1,0,1.0,-1.0
012c307c9d446c4d,UFC Fight Night: Fiziev vs. Torres,Shara Magomedov vs Michel Pereira,2026-06-26 23:21:05.564609+00:00,Shara Magomedov,Michel Pereira,0.8009307210873123,red,Shara Magomedov,red_dec,0.4323979217757661,0.3878062594395033,0.45454545454545453,120.0,2.2,Shara Magomedov,Decision - Unanimous,2,1,1.0,1.2000000000000002
f44ab9e9e4a89735,UFC Fight Night: Gamrot vs. Salkilld,Ty Miller vs Billy Ray Goff,2026-08-07 20:54:02.712432+00:00,Billy Ray Goff,Ty Miller,0.2184724279523935,blue,Ty Miller,blue_ko,0.3964194261128733,0.3964087101391463,0.47619047619047616,110.0,2.1,Ty Miller,KO/TKO,3,1,1.0,1.1
fb77b08a90b92d5b,UFC Fight Night: Hernandez vs. Rodrigues,Anthony Hernandez vs Gregory Rodrigues,2026-08-21 20:39:18.694686+00:00,Anthony Hernandez,Gregory Rodrigues,0.707269936275651,red,Anthony Hernandez,red_sub,0.2567409433756487,0.2654288949570564,0.31746031746031744,215.0,3.15,Gregory Rodrigues,Decision - Unanimous,5,0,1.0,-1.0
13380a8d6cdbb381,UFC Fight Night: Gamrot vs. Salkilld,Diyar Nurgozhay vs Bruno Lopes,2026-08-07 20:54:02.712432+00:00,Diyar Nurgozhay,Bruno Lopes,0.6288545233562007,red,Diyar Nurgozhay,red_ko,0.4487850659387022,0.3707470511140235,0.4444444444444444,125.0,2.25,Diyar Nurgozhay,KO/TKO,0,1,1.0,1.25
35985895d4ef321e,UFC Fight Night: Fiziev vs. Torres,Abus Magomedov vs Michal Oleksiejczuk,2026-06-26 23:21:05.564609+00:00,Abus Magomedov,Michal Oleksiejczuk,0.535851696973766,red,Abus Magomedov,red_sub,0.2578869991482816,0.2586422867482036,0.3076923076923077,225.0,3.25,Abus Magomedov,Submission,1,1,1.0,2.25
701c97405da76603,UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs Kamaru Usman,2026-07-17 20:16:59.459648+00:00,Dricus Du Plessis,Kamaru Usman,0.6745095114533409,red,Dricus Du Plessis,red_dec,0.3478436887006661,0.3148958421445215,0.37735849056603776,165.0,2.65,Dricus Du Plessis,Decision - Unanimous,2,1,1.0,1.65
7765e5e779dd7dc9,UFC 329: McGregor vs. Holloway 2,Nikita Krylov vs Robert Whittaker,2026-07-10 20:36:17.559163+00:00,Nikita Krylov,Robert Whittaker,0.5076095132034574,red,Nikita Krylov,red_dec,0.226919234526134,0.1843234845149264,0.2222222222222222,350.0,4.5,Robert Whittaker,KO/TKO,3,0,1.0,-1.0
4eff5a845db17572,UFC Fight Night: Du Plessis vs. Usman,Jared Cannonier vs Christian Leroy Duncan,2026-07-17 20:16:59.459648+00:00,Jared Cannonier,Christian Leroy Duncan,0.2186704357840142,blue,Christian Leroy Duncan,blue_dec,0.4131034630150924,0.3840716657713813,0.45454545454545453,120.0,2.2,Christian Leroy Duncan,Decision - Unanimous,5,1,1.0,1.2000000000000002
e79e4d13546d2360,UFC 330: Makhachev vs. Machado Garry,Vicente Luque vs Tresean Gore,2026-08-14 20:42:43.693741+00:00,Vicente Luque,Tresean Gore,0.470828544711792,blue,Tresean Gore,blue_dec,0.2118457041851377,0.1637402157816797,0.2,400.0,5.0,Tresean Gore,Decision - Unanimous,5,1,1.0,4.0
989760fa75321d69,UFC 329: McGregor vs. Holloway 2,Conor McGregor vs Max Holloway,2026-07-10 20:36:17.559163+00:00,Conor McGregor,Max Holloway,0.3179765036989904,blue,Max Holloway,blue_ko,0.4885654712785718,0.4653541293786756,0.5555555555555556,-125.0,1.8,Max Holloway,KO/TKO,3,1,1.0,0.8
a10deecfb8558335,UFC Fight Night: Gamrot vs. Salkilld,Mateusz Gamrot vs Quillan Salkilld,2026-08-07 20:54:02.712432+00:00,Mateusz Gamrot,Quillan Salkilld,0.459601387439649,blue,Quillan Salkilld,blue_dec,0.2170414072119657,0.1641393823110726,0.2,400.0,5.0,Quillan Salkilld,Submission,4,0,1.0,-1.0
a122306d0ce5fbfb,UFC Fight Night: Ankalaev vs. Guskov,Ismael Bonfim vs Axel Sola,2026-07-24 20:31:56.149697+00:00,Ismael Bonfim,Axel Sola,0.3722726187039852,blue,Axel Sola,blue_ko,0.3031733319575529,0.3287671232876712,0.4,150.0,2.5,Axel Sola,Submission,4,0,1.0,-1.0
d83294b031502177,UFC Fight Night: Fiziev vs. Torres,Ikram Aliskerov vs Brunno Ferreira,2026-06-26 23:21:05.564609+00:00,Ikram Aliskerov,Brunno Ferreira,0.714622877691677,red,Ikram Aliskerov,red_ko,0.3965125434295625,0.3883495145631067,0.47619047619047616,110.0,2.1,Ikram Aliskerov,Decision - Unanimous,2,0,1.0,-1.0
64829a32c78ab656,UFC Fight Night: Gamrot vs. Salkilld,Louie Sutherland vs Jose Montanha,2026-08-07 20:54:02.712432+00:00,Louie Sutherland,Jose Montanha,0.6176294401387786,red,Louie Sutherland,red_dec,0.2903043403837803,0.2185782407302114,0.26666666666666666,275.0,3.75,Jose Montanha,Submission,4,0,1.0,-1.0
5e7f4ba1210f433d,UFC Fight Night: Fiziev vs. Torres,Nursulton Ruziboev vs Andrey Pulyaev,2026-06-26 23:21:05.564609+00:00,Nursulton Ruziboev,Andrey Pulyaev,0.683654465903303,red,Nursulton Ruziboev,red_dec,0.33456742267708,0.2616076982181405,0.31746031746031744,215.0,3.15,Nursulton Ruziboev,Submission,1,0,1.0,-1.0
a6873fd459587d17,UFC Fight Night: Hernandez vs. Rodrigues,Terrance Chatman vs Anthony Wint,2026-08-21 20:39:18.694686+00:00,Anthony Wint,Terrance Chatman,0.8724569316035277,red,Anthony Wint,red_ko,0.6469605856700996,0.6514262593566661,0.7777777777777778,-350.0,1.2857142857142856,Anthony Wint,Submission,1,0,1.0,-1.0
1162a74e3604c488,UFC 329: McGregor vs. Holloway 2,Ryan Gandra vs Zach Reese,2026-07-10 20:36:17.559163+00:00,Ryan Gandra,Zach Reese,0.5999153937202867,red,Ryan Gandra,red_ko,0.4538163184981942,0.4236333642842255,0.5121951219512195,-105.0,1.9523809523809523,Ryan Gandra,KO/TKO,0,1,1.0,0.9523809523809523
