market_type,card,date,fight_id,fighter,market_key,odds,market_fair_p,model_p,edge,won,matches_ml_predicted_winner,min_prior_fights,cold_start,cold_start_fighters,fighter_prior_fights,cold_start_eligible,eligible,eligibility_reason,ml_predicted_winner,ml_winner_p,ml_winner_match
method,Freedom 250,2026-06-14,00e8d4b961a65d21,Bo Nickal,win_by_ko_tko_dq,205.0,0.2743624722365904,0.3929781317710876,0.1186156595344972,1,True,6.0,False,,Bo Nickal:6 | Kyle Daukaus:8,True,True,eligible,Bo Nickal,0.7654616,True
method,Freedom 250,2026-06-14,127ba4a1ccb3d4a6,Diego Lopes,win_by_ko_tko_dq,265.0,0.230363052287103,0.2879490852355957,0.0575860329484926,1,True,9.0,False,,Steve Garcia:10 | Diego Lopes:9,True,True,eligible,Diego Lopes,0.5065041,True
method,Freedom 250,2026-06-14,127ba4a1ccb3d4a6,Diego Lopes,win_by_submission,425.0,0.1601571696853193,0.1849435269832611,0.0247863572979418,0,True,9.0,False,,Steve Garcia:10 | Diego Lopes:9,True,True,eligible,Diego Lopes,0.5065041,True
method,Freedom 250,2026-06-14,30cdb851f6c63444,Josh Hokit,win_by_decision,600.0,0.1194098120111769,0.1418046802282333,0.0223948682170563,0,True,3.0,False,,Josh Hokit:3 | Derrick Lewis:31,True,True,eligible,Josh Hokit,0.8229615,True
method,Freedom 250,2026-06-14,30cdb851f6c63444,Josh Hokit,win_by_ko_tko_dq,-110.0,0.4378359773743156,0.5786570906639099,0.1408211132895943,1,True,3.0,False,,Josh Hokit:3 | Derrick Lewis:31,True,True,eligible,Josh Hokit,0.8229615,True
method,Freedom 250,2026-06-14,30cdb851f6c63444,Josh Hokit,win_by_submission,250.0,0.2388196240223539,0.2608281373977661,0.0220085133754121,0,True,3.0,False,,Josh Hokit:3 | Derrick Lewis:31,True,True,eligible,Josh Hokit,0.8229615,True
method,Freedom 250,2026-06-14,5727d5be8c373346,Ciryl Gane,win_by_decision,250.0,0.2405121522676194,0.266859233379364,0.0263470811117446,0,True,12.0,False,,Ciryl Gane:12 | Alex Pereira:12,True,True,eligible,Ciryl Gane,0.647314,True
method,Freedom 250,2026-06-14,60de0423ae6ed097,Sean O'Malley,win_by_decision,105.0,0.4101737456432607,0.4348804056644439,0.0247066600211832,0,True,10.0,False,,Aiemann Zahabi:10 | Sean O'Malley:14,True,True,eligible,Sean O'Malley,0.86872584,True
method,Freedom 250,2026-06-14,7208e40818401e88,Ilia Topuria,win_by_decision,1200.0,0.0646866081809534,0.1280408352613449,0.0633542270803915,0,True,9.0,False,,Ilia Topuria:9 | Justin Gaethje:15,True,True,eligible,Ilia Topuria,0.8656716,True
method,Vegas 119,2026-06-20,3b4803afa824fea3,Mitch Raposo,win_by_decision,260.0,0.2454203851573508,0.3106938600540161,0.0652734748966652,1,True,3.0,False,,Mitch Raposo:3 | Allan Nascimento:5,True,True,eligible,Mitch Raposo,0.5337233543395996,True
method,Vegas 119,2026-06-20,8b809ba1880aded0,Michael Aswell Jr.,win_by_ko_tko_dq,190.0,0.298806086208177,0.3202119767665863,0.0214058905584092,0,True,3.0,False,,Michael Aswell Jr.:3 | Gaston Bolanos:4,True,True,eligible,Michael Aswell Jr.,0.7794514894485474,True
method,Vegas 119,2026-06-20,afc021700481ac4e,Navajo Stirling,win_by_ko_tko_dq,105.0,0.4084714812553079,0.5444040298461914,0.1359325485908835,1,True,19.0,False,,Ion Cutelaba:19,True,True,eligible,Navajo Stirling,0.6863335967063904,True
method,Baku,2026-06-27,809814f03ff3140c,Nazim Sadykhov,win_by_decision,265.0,0.2293068368066615,0.2583194971084595,0.0290126603017979,0,True,2.0,False,,Matheus Camilo:2 | Nazim Sadykhov:5,True,True,eligible,Nazim Sadykhov,0.5122377276420593,True
method,UFC 329,2026-07-11,130b325610c54a64,Benoit Saint Denis,win_by_decision,500.0,0.1292480115690527,0.1597483158111572,0.0305003042421044,0,True,8.0,False,,Paddy Pimblett:8 | Benoit Saint Denis:12,True,True,eligible,Benoit Saint Denis,0.565440833568573,True
method,UFC 329,2026-07-11,7765e5e779dd7dc9,Nikita Krylov,win_by_ko_tko_dq,300.0,0.1943009304757982,0.264590322971344,0.0702893924955457,0,True,21.0,False,,Nikita Krylov:21 | Robert Whittaker:24,True,True,eligible,Nikita Krylov,0.5026230812072754,True
method,UFC 329,2026-07-11,989760fa75321d69,Max Holloway,win_by_decision,250.0,0.2413812227763533,0.3328777253627777,0.0914965025864243,0,True,14.0,False,,Max Holloway:32 | Conor McGregor:14,True,True,eligible,Max Holloway,0.7561987638473511,True
method,UFC 329,2026-07-11,989760fa75321d69,Max Holloway,win_by_ko_tko_dq,105.0,0.4121142827888959,0.4511475563049316,0.0390332735160357,1,True,14.0,False,,Max Holloway:32 | Conor McGregor:14,True,True,eligible,Max Holloway,0.7561987638473511,True
method,UFC 329,2026-07-11,a26ea74f2e908842,King Green,win_by_ko_tko_dq,300.0,0.1923330502708433,0.2155775278806686,0.0232444776098253,1,True,13.0,False,,Terrance McKinney:13 | King Green:28,True,True,eligible,King Green,0.5279808044433594,True
method,UFC 329,2026-07-11,c572daedf2012a49,Cory Sandhagen,win_by_decision,160.0,0.3033367037411527,0.323488175868988,0.0201514721278353,0,True,14.0,False,,Cory Sandhagen:16 | Mario Bautista:14,True,True,eligible,Cory Sandhagen,0.5425441861152649,True
method,Oklahoma City,2026-07-18,410e6b9e01660b35,Alden Coria,win_by_decision,265.0,0.2385063247311103,0.2914952933788299,0.0529889686477196,1,True,2.0,False,,Stewart Nicoll:3 | Alden Coria:2,True,True,eligible,Alden Coria,0.8488122820854187,True
method,Oklahoma City,2026-07-18,52ddf20a10890b41,Fatima Kline,win_by_decision,-172.0,0.5441064169092318,0.6257866621017456,0.0816802451925138,1,True,4.0,False,,Fatima Kline:4 | Tabatha Ricci:11,True,True,eligible,Fatima Kline,0.8514427542686462,True
method,Oklahoma City,2026-07-18,701c97405da76603,Dricus Du Plessis,win_by_decision,175.0,0.3120029078227846,0.3386216461658478,0.0266187383430631,1,True,10.0,False,,Dricus Du Plessis:10 | Kamaru Usman:19,True,True,eligible,Dricus Du Plessis,0.6121181845664978,True
method,Oklahoma City,2026-07-18,f2abca7379982d4f,Chase Hooper,win_by_decision,310.0,0.211840062495802,0.2777414619922638,0.0659013994964617,0,True,2.0,False,,Chase Hooper:13 | Mitch Ramirez:2,True,True,eligible,Chase Hooper,0.8328332304954529,True
method,Abu Dhabi,2026-07-25,9009ec7b91f2be14,Magomed Ankalaev,win_by_decision,420.0,0.16483264481015,0.2026079893112182,0.0377753445010682,0,True,5.0,False,,Magomed Ankalaev:14 | Bogdan Guskov:5,True,True,eligible,Magomed Ankalaev,0.8382949233055115,True
method,Abu Dhabi,2026-07-25,a122306d0ce5fbfb,Axel Sola,win_by_decision,263.0,0.236958737792292,0.2929496169090271,0.055990879116735,0,True,2.0,False,,Axel Sola:2 | Ismael Bonfim:5,True,True,eligible,Axel Sola,0.6707494854927063,True
method,Abu Dhabi,2026-07-25,f6e6b004f07363e9,Sam Patterson,win_by_decision,423.0,0.1639824272072078,0.215697169303894,0.0517147420966861,0,True,6.0,False,,Santiago Ponzinibbio:20 | Sam Patterson:6,True,True,eligible,Sam Patterson,0.8326351046562195,True
method,Belgrade,2026-08-01,0c3c835e681972d3,Navajo Stirling,win_by_ko_tko_dq,240.0,0.257530889596717,0.3513376414775848,0.0938067518808678,1,True,5.0,False,,Jan Blachowicz:20 | Navajo Stirling:5,True,True,eligible,Navajo Stirling,0.7870509028434753,True
method,Belgrade,2026-08-01,0c3c835e681972d3,Navajo Stirling,win_by_decision,105.0,0.4271244022579696,0.4610678851604461,0.0339434829024765,0,True,5.0,False,,Jan Blachowicz:20 | Navajo Stirling:5,True,True,eligible,Navajo Stirling,0.7870509028434753,True
method,Belgrade,2026-08-01,13aa6688d0538095,Bogdan Grad,win_by_decision,190.0,0.3033435769617492,0.3761744797229767,0.0728309027612274,0,True,3.0,False,,Dennis Buzukja:5 | Bogdan Grad:3,True,True,eligible,Bogdan Grad,0.6688804030418396,True
