market_type,threshold,cards,bets,wins,losses,win_rate,flat_total_risk,flat_profit,flat_roi,flat_end_bankroll,flat_max_drawdown,kelly_total_risk,kelly_profit,kelly_roi_on_staked,kelly_end_bankroll,kelly_return_on_start_bankroll,kelly_max_drawdown
moneyline,0.02,5,41,26,15,0.6341463414634146,410.0,19.627107678410017,0.047870994337585404,519.6271076784101,0.04060086597609097,453.25887690038394,77.90651017588414,0.17188082604945037,577.9065101758843,0.15581302035176847,0.009065951852418081
moneyline,0.03,5,35,22,13,0.6285714285714286,350.0,6.698536249838586,0.019138674999538818,506.6985362498386,0.04640235741274622,449.3874185648896,75.72169477886197,0.1684998102988237,575.7216947788621,0.1514433895577243,0.010246832792845937
moneyline,0.05,5,20,12,8,0.6,200.0,10.26368933176751,0.05131844665883755,510.26368933176747,0.02213566451642999,375.3580051059472,71.90036863749103,0.19155144597807816,571.900368637491,0.1438007372749821,0.0033888620338100085
moneyline,0.075,5,8,7,1,0.875,80.0,47.39961093758562,0.5924951367198202,547.3996109375856,0.0,237.94656615159545,132.23723634838655,0.5557434111662631,632.2372363483865,0.26447447269677316,0.0
moneyline,0.1,5,5,4,1,0.8,50.0,39.92857142857143,0.7985714285714286,539.9285714285714,0.0,131.35098666931367,104.97987138006366,0.7992316924452091,604.9798713800636,0.2099597427601272,0.0
method,0.02,5,47,18,29,0.3829787234042553,470.0,173.29577167019028,0.36871440780891546,673.2957716701903,0.0642476454698109,128.5359594448261,55.915787081377125,0.4350205757430777,555.9157870813772,0.11183157416275424,0.054787159522188385
method,0.03,5,30,13,17,0.43333333333333335,300.0,146.70486257928118,0.4890162085976039,646.7048625792812,0.03161600919738449,125.08953060772454,59.51233931458162,0.4757579553256922,559.5123393145817,0.11902467862916333,0.04867201145251063
method,0.05,5,17,8,9,0.47058823529411764,170.0,60.904862579281186,0.35826389752518345,560.9048625792813,0.02040906749669072,105.59202594240126,42.05490451369522,0.3982772765117272,542.0549045136952,0.0841098090273904,0.0416661282717199
method,0.075,5,6,4,2,0.6666666666666666,60.0,25.904862579281186,0.43174770965468645,525.9048625792813,0.0262660346116658,57.72844522456801,37.152774582161484,0.6435782990107283,537.1527745821617,0.07430554916432341,0.029560181529420637
method,0.1,5,3,3,0,1.0,30.0,40.09090909090909,1.3363636363636364,540.0909090909091,0.0,41.36644809350932,53.51477171322018,1.2936757729899708,553.5147717132203,0.10702954342644055,0.0
