card,date,fight_id,fighter,american_odds,fair_market_p,model_p,prob_edge,logit_residual,won,pnl_units,cum_profit_units
Freedom 250,2026-06-14,00e8d4b961a65d21,Bo Nickal,-305.0,0.7220792588780237,0.7654616,0.04338234112197625,0.22806078285783604,1,0.32786885245901637,0.32786885245901637
Freedom 250,2026-06-14,127ba4a1ccb3d4a6,Steve Garcia,120.0,0.4365079365079364,0.4877237,0.05121576349206358,0.2062316208729985,0,-1.0,-0.6721311475409837
Freedom 250,2026-06-14,30cdb851f6c63444,Josh Hokit,-410.0,0.771505376344086,0.8229615,0.05145612365591401,0.31971123719528394,1,0.24390243902439024,-0.42822870851659345
Freedom 250,2026-06-14,5727d5be8c373346,Ciryl Gane,-112.0,0.5043297540699688,0.647314,0.14298424593003112,0.589933901756144,1,0.8928571428571429,0.46462843434054946
Freedom 250,2026-06-14,60de0423ae6ed097,Sean O'Malley,-440.0,0.7819063004846527,0.86872584,0.08681953951534727,0.6129294974198833,1,0.22727272727272727,0.6919011616132767
Freedom 250,2026-06-14,7208e40818401e88,Ilia Topuria,-470.0,0.7913616398243045,0.8656716,0.07430996017569547,0.5300654364527164,0,-1.0,-0.30809883838672325
Vegas 119,2026-06-20,17d31249c9ab18af,Andre Lima,-625.0,0.827123695976155,0.8843174576759338,0.057193761699778856,0.4685884551667012,0,-1.0,-1.3080988383867234
Vegas 119,2026-06-20,3b4803afa824fea3,Mitch Raposo,140.0,0.4003612281757977,0.5337233543395996,0.1333621261638019,0.5390587404188795,1,1.4,0.09190116161327655
Vegas 119,2026-06-20,571a3eabff5c7ba7,Vinicius Oliveira,-290.0,0.7135512302607419,0.755476713180542,0.04192548291980014,0.21534388149208394,1,0.3448275862068966,0.4367287478201731
Vegas 119,2026-06-20,6658fe4531c86674,Levan Chokheli,-360.0,0.7508125677139762,0.7893742918968201,0.03856172418284387,0.21820724277963777,1,0.2777777777777778,0.7145065255979509
Vegas 119,2026-06-20,aaec28fa3c0c576d,Christian Rodriguez,-198.0,0.6369041816941223,0.6843646168708801,0.0474604351767578,0.21195068331561617,1,0.5050505050505051,1.219557030648456
Vegas 119,2026-06-20,b23a1a5d35eb438a,Luana Santos,-105.0,0.4891657638136511,0.544291615486145,0.0551258516724939,0.22097579302656378,1,0.9523809523809523,2.1719379830294083
Vegas 119,2026-06-20,e4849375d1949c74,Murtazali Magomedov,-325.0,0.7335423197492164,0.7743521332740784,0.040809813524862015,0.22038119149181523,1,0.3076923076923077,2.4796302907217163
Baku,2026-06-27,012c307c9d446c4d,Shara Magomedov,-425.0,0.774798927613941,0.8156833052635193,0.04088437764957831,0.25176083892305257,1,0.23529411764705882,2.714924408368775
Baku,2026-06-27,5e7f4ba1210f433d,Andrey Pulyaev,154.0,0.3775334481388264,0.5014510154724121,0.12391756733358572,0.5058348040233678,0,-1.0,1.7149244083687751
Baku,2026-06-27,809814f03ff3140c,Matheus Camilo,150.0,0.3790849673202614,0.4990256428718567,0.11994067555159527,0.4895364476080587,1,1.5,3.214924408368775
Baku,2026-06-27,ae0a91c8f92f4758,Bekzat Almakhan,140.0,0.3932584269662921,0.4524968862533569,0.05923845928706478,0.2430487181001507,0,-1.0,2.214924408368775
Baku,2026-06-27,d83294b031502177,Brunno Ferreira,205.0,0.3089598352214212,0.3554200232028961,0.04646018798147494,0.2096880104462704,0,-1.0,1.2149244083687751
UFC 329,2026-07-11,118c25bda9392140,Elisha Ellison,900.0,0.096045197740113,0.149601012468338,0.053555814728225015,0.5042266680834895,0,-1.0,0.21492440836877513
UFC 329,2026-07-11,930317fde9dbc55e,Luke Riley,-225.0,0.6636481241914618,0.7090601921081543,0.0454120679166925,0.21122980592047536,1,0.4444444444444444,0.6593688528132196
UFC 329,2026-07-11,989760fa75321d69,Max Holloway,-265.0,0.6957699520733487,0.7561987638473511,0.06042881177400239,0.3047160441344029,1,0.37735849056603776,1.0367273433792574
UFC 329,2026-07-11,9e00ee7644774e18,Farid Basharat,-675.0,0.8370993168681029,0.8733301162719727,0.03623079940386975,0.2939272504086965,1,0.14814814814814814,1.1848754915274056
Oklahoma City,2026-07-18,3bd159c1bed14700,Austin Bashi,-125.0,0.5324675324675325,0.6204532980918884,0.0879857656243559,0.3614195576575484,0,-1.0,0.18487549152740557
Oklahoma City,2026-07-18,410e6b9e01660b35,Stewart Nicoll,675.0,0.1238223418573351,0.1748261749744415,0.051003833117106406,0.4049191984455389,0,-1.0,-0.8151245084725944
Oklahoma City,2026-07-18,46d800ce45fdd3e6,Felipe Franco,120.0,0.4365079365079364,0.548930823802948,0.1124228872950116,0.45169840960779717,1,1.2,0.3848754915274055
Oklahoma City,2026-07-18,4eff5a845db17572,Christian Leroy Duncan,-395.0,0.7659021045164341,0.851331889629364,0.08542978511292987,0.5597707017470381,1,0.25316455696202533,0.6380400484894309
Oklahoma City,2026-07-18,52ddf20a10890b41,Fatima Kline,-470.0,0.7913616398243045,0.8514427542686462,0.06008111444434172,0.41280925409306835,1,0.2127659574468085,0.8508060059362393
