fighter_a,fighter_b,book_id,book,source_url
Alexander Volkanovski,Diego Lopes,21,FanDuel,https://www.bestfightodds.com/events/ufc-3971
Benoit Saint Denis,Dan Hooker,21,FanDuel,https://www.bestfightodds.com/events/ufc-3971
Mauricio Ruffy,Rafael Fiziev,21,FanDuel,https://www.bestfightodds.com/events/ufc-3971
Tai Tuivasa,Tallison Teixeira,21,FanDuel,https://www.bestfightodds.com/events/ufc-3971
Jamie Mullarkey,Quillan Salkilld,21,FanDuel,https://www.bestfightodds.com/events/ufc-3971
Billy Elekana,Junior Tafa,21,FanDuel,https://www.bestfightodds.com/events/ufc-3971
Cam Rowston,Cody Brundage,21,FanDuel,https://www.bestfightodds.com/events/ufc-3971
Jacob Malkoun,Torrez Finney,21,FanDuel,https://www.bestfightodds.com/events/ufc-3971
Jonathan Micallef,Oban Elliott,21,FanDuel,https://www.bestfightodds.com/events/ufc-3971
Kaan Ofli,Yizha,21,FanDuel,https://www.bestfightodds.com/events/ufc-3971
Dom Mar Fan,Kim Sang Wook,23,BetMGM,https://www.bestfightodds.com/events/ufc-3971
Keiichiro Nakamura,Sebastian Szalay,21,FanDuel,https://www.bestfightodds.com/events/ufc-3971
Lawrence Lui,Sulangrangbo,21,FanDuel,https://www.bestfightodds.com/events/ufc-3971
