fight_id,fighter,side,market_key,american_odds,fair_market_p,model_p,edge,actual_hit,mapped_predictors,total_predictors
05bc7a042156b6f6,Muhammad Said,blue,win_by_ko_tko_dq,380,0.17708867630154354,0.22460590302944183,0.04751722672789829,1,346,399
05bc7a042156b6f6,Muhammad Said,blue,win_by_submission,1000,0.07727505874976445,0.03800307959318161,-0.03927197915658284,0,346,399
05bc7a042156b6f6,Muhammad Said,blue,win_by_decision,460,0.1517902939727516,0.19733662903308868,0.04554633506033709,0,346,399
05bc7a042156b6f6,Dustin Jacoby,red,win_by_ko_tko_dq,184,0.29930480501669326,0.2410489022731781,-0.058255902743515164,0,346,399
05bc7a042156b6f6,Dustin Jacoby,red,win_by_submission,2200,0.036957636793365604,0.013779881410300732,-0.023177755383064873,0,346,399
05bc7a042156b6f6,Dustin Jacoby,red,win_by_decision,230,0.2575835291658815,0.34711983799934387,0.08953630883346236,0,346,399
3859314324918eeb,Nurullo Aliev,red,win_by_ko_tko_dq,400,0.16419283354935818,0.16152101755142212,-0.002671815997936061,0,346,399
3859314324918eeb,Nurullo Aliev,red,win_by_submission,1000,0.07463310615879917,0.06209760904312134,-0.012535497115677835,0,346,399
3859314324918eeb,Nurullo Aliev,red,win_by_decision,100,0.41048208387339546,0.3689277470111847,-0.04155433686221077,1,346,399
3859314324918eeb,Mike Davis,blue,win_by_ko_tko_dq,600,0.1172805953923987,0.11185959726572037,-0.005420998126678331,0,346,399
3859314324918eeb,Mike Davis,blue,win_by_submission,750,0.09658401973491658,0.060537390410900116,-0.03604662932401646,0,346,399
3859314324918eeb,Mike Davis,blue,win_by_decision,500,0.13682736129113182,0.14988930523395538,0.013061943942823562,0,346,399
3ac870d6e7d323b7,Magomed Tuchalov,red,win_by_ko_tko_dq,-257,0.6241203644933575,0.4075779616832733,-0.2165424028100842,0,346,399
3ac870d6e7d323b7,Magomed Tuchalov,red,win_by_submission,700,0.1083710944183505,0.11430469900369644,0.005933604585345947,0,346,399
3ac870d6e7d323b7,Magomed Tuchalov,red,win_by_decision,750,0.10199632415844752,0.11389728635549545,0.011900962197047935,1,346,399
3ac870d6e7d323b7,Brendson Ribeiro,blue,win_by_ko_tko_dq,1000,0.078815341395164,0.08430278301239014,0.005487441617226141,0,346,399
3ac870d6e7d323b7,Brendson Ribeiro,blue,win_by_submission,1900,0.0433484377673402,0.019420860335230827,-0.023927577432109375,0,346,399
3ac870d6e7d323b7,Brendson Ribeiro,blue,win_by_decision,1900,0.0433484377673402,0.0730179101228714,0.029669472355531197,0,346,399
4ace64aa144389c5,Magomed Zaynukov,red,win_by_ko_tko_dq,220,0.26862860078567313,0.2253051996231079,-0.04332340116256522,0,346,399
4ace64aa144389c5,Magomed Zaynukov,red,win_by_submission,900,0.08596115225141542,0.045985691249370575,-0.03997546100204484,0,346,399
4ace64aa144389c5,Magomed Zaynukov,red,win_by_decision,150,0.34384460900566166,0.3576253652572632,0.013780756251601523,1,346,399
4ace64aa144389c5,Damian Rzepecki,blue,win_by_ko_tko_dq,950,0.08186776404896705,0.08822496235370636,0.006357198304739312,0,346,399
4ace64aa144389c5,Damian Rzepecki,blue,win_by_submission,750,0.10113076735460635,0.08164458721876144,-0.01948618013584491,0,346,399
4ace64aa144389c5,Damian Rzepecki,blue,win_by_decision,625,0.11856710655367643,0.12878963351249695,0.010222526958820519,0,346,399
532340708f0500bd,Abdul Hussein,blue,win_by_ko_tko_dq,233,0.2593135032443429,0.2896867096424103,0.0303732063980674,0,346,399
532340708f0500bd,Abdul Hussein,blue,win_by_submission,195,0.2927165985775125,0.22116020321846008,-0.0715563953590524,1,346,399
532340708f0500bd,Abdul Hussein,blue,win_by_decision,250,0.24671827594390336,0.30420851707458496,0.0574902411306816,0,346,399
532340708f0500bd,Cody Gibson,red,win_by_ko_tko_dq,1150,0.06908111726429295,0.06302835047245026,-0.00605276679184269,0,346,399
532340708f0500bd,Cody Gibson,red,win_by_submission,1300,0.06167956898597584,0.022580338642001152,-0.03909923034397469,0,346,399
532340708f0500bd,Cody Gibson,red,win_by_decision,1125,0.07049093598397238,0.09559053927659988,0.025099603292627504,0,346,399
5ffb251c6ea48b65,Rizvan Kuniev,red,win_by_ko_tko_dq,205,0.28362599907875297,0.3081023097038269,0.024476310625073938,1,346,399
5ffb251c6ea48b65,Rizvan Kuniev,red,win_by_submission,850,0.09105887338844175,0.043672218918800354,-0.047386654469641395,0,346,399
5ffb251c6ea48b65,Rizvan Kuniev,red,win_by_decision,155,0.3392389400745869,0.31710880994796753,-0.022130130126619352,0,346,399
5ffb251c6ea48b65,Tyrell Fortune,blue,win_by_ko_tko_dq,750,0.10177168202237608,0.09867583215236664,-0.0030958498700094372,0,346,399
5ffb251c6ea48b65,Tyrell Fortune,blue,win_by_submission,2800,0.029829630937592985,0.012065199203789234,-0.01776443173380375,0,346,399
5ffb251c6ea48b65,Tyrell Fortune,blue,win_by_decision,460,0.1544748744982494,0.22165842354297638,0.06718354904472698,0,346,399
61280e5644189c61,Abubakar Vagaev,red,win_by_ko_tko_dq,510,0.1423183352149529,0.09297393262386322,-0.04934440259108969,0,346,399
61280e5644189c61,Abubakar Vagaev,red,win_by_submission,1150,0.06945134758489703,0.04376176372170448,-0.025689583863192547,0,346,399
61280e5644189c61,Abubakar Vagaev,red,win_by_decision,-118,0.4699116407693721,0.4994147717952728,0.029503131025900742,1,346,399
61280e5644189c61,Saygid Izagakhmaev,blue,win_by_ko_tko_dq,1400,0.05787612298741419,0.07122772186994553,0.013351598882531339,0,346,399
61280e5644189c61,Saygid Izagakhmaev,blue,win_by_submission,500,0.14469030746853545,0.12320785969495773,-0.021482447773577718,0,346,399
61280e5644189c61,Saygid Izagakhmaev,blue,win_by_decision,650,0.11575224597482837,0.17814728617668152,0.062395040201853144,0,346,399
9009ec7b91f2be14,Magomed Ankalaev,red,win_by_ko_tko_dq,-157,0.523616230439714,0.4437144994735718,-0.07990173096614217,1,346,399
9009ec7b91f2be14,Magomed Ankalaev,red,win_by_submission,750,0.10083879447209178,0.0465107336640358,-0.05432806080805598,0,346,399
9009ec7b91f2be14,Magomed Ankalaev,red,win_by_decision,420,0.16483264481015003,0.20260798931121826,0.03777534450106823,0,346,399
9009ec7b91f2be14,Bogdan Guskov,blue,win_by_ko_tko_dq,600,0.12244710757325429,0.12123151868581772,-0.0012155888874365722,0,346,399
9009ec7b91f2be14,Bogdan Guskov,blue,win_by_submission,2500,0.032966528962030006,0.013279909268021584,-0.019686619694008423,0,346,399
9009ec7b91f2be14,Bogdan Guskov,blue,win_by_decision,1450,0.05529869374276,0.04979955777525902,-0.005499135967500984,0,346,399
a122306d0ce5fbfb,Axel Sola,blue,win_by_ko_tko_dq,180,0.3072000779235786,0.29574868083000183,-0.011451397093576787,0,346,399
a122306d0ce5fbfb,Axel Sola,blue,win_by_submission,975,0.08001490401730418,0.03877859190106392,-0.041236312116240265,1,346,399
a122306d0ce5fbfb,Axel Sola,blue,win_by_decision,263,0.23695873779229204,0.2929496169090271,0.05599087911673506,0,346,399
a122306d0ce5fbfb,Ismael Bonfim,red,win_by_ko_tko_dq,468,0.15143665813134155,0.14254702627658844,-0.00888963185475311,0,346,399
a122306d0ce5fbfb,Ismael Bonfim,red,win_by_submission,1050,0.07479654071182783,0.03246414661407471,-0.04233239409775312,0,346,399
a122306d0ce5fbfb,Ismael Bonfim,red,win_by_decision,475,0.14959308142365565,0.1707584410905838,0.021165359666928146,0,346,399
c36cd04f8f560f0a,Ramazonbek Temirov,blue,win_by_ko_tko_dq,240,0.2515632849115395,0.13164971768856049,-0.11991356722297902,1,346,399
c36cd04f8f560f0a,Ramazonbek Temirov,blue,win_by_submission,1950,0.041722691156060206,0.01840953901410103,-0.023313152141959177,0,346,399
c36cd04f8f560f0a,Ramazonbek Temirov,blue,win_by_decision,310,0.20861345578030102,0.2540706396102905,0.045457183829989506,0,346,399
c36cd04f8f560f0a,Steve Erceg,red,win_by_ko_tko_dq,850,0.09003317565255096,0.08813025057315826,-0.0019029250793927005,0,346,399
c36cd04f8f560f0a,Steve Erceg,red,win_by_submission,875,0.08772463268710094,0.06377217918634415,-0.023952453500756796,0,346,399
c36cd04f8f560f0a,Steve Erceg,red,win_by_decision,167,0.3203427598124473,0.29003700613975525,-0.03030575367269206,0,346,399
d7070ab1b2144f8d,Valter Walker,red,win_by_ko_tko_dq,600,0.12431559858911136,0.1185290738940239,-0.005786524695087461,0,346,399
d7070ab1b2144f8d,Valter Walker,red,win_by_submission,163,0.3308780190584713,0.26019006967544556,-0.07068794938302575,1,346,399
d7070ab1b2144f8d,Valter Walker,red,win_by_decision,435,0.16265592338762233,0.16786298155784607,0.005207058170223738,0,346,399
d7070ab1b2144f8d,Thomas Petersen,blue,win_by_ko_tko_dq,475,0.15134072871717905,0.1555347591638565,0.00419403044667746,0,346,399
d7070ab1b2144f8d,Thomas Petersen,blue,win_by_submission,2100,0.039554963187444524,0.013485138304531574,-0.02606982488291295,0,346,399
d7070ab1b2144f8d,Thomas Petersen,blue,win_by_decision,355,0.19125476706017133,0.2654246687889099,0.07416990172873858,0,346,399
f6e6b004f07363e9,Sam Patterson,blue,win_by_ko_tko_dq,104,0.42040592857534176,0.34638598561286926,-0.0740199429624725,1,346,399
f6e6b004f07363e9,Sam Patterson,blue,win_by_submission,335,0.19715588374567752,0.12916702032089233,-0.06798886342478519,0,346,399
f6e6b004f07363e9,Sam Patterson,blue,win_by_decision,423,0.16398242720720788,0.21569716930389404,0.05171474209668617,0,346,399
f6e6b004f07363e9,Santiago Ponzinibbio,red,win_by_ko_tko_dq,700,0.10720351178671216,0.11493803560733795,0.007734523820625797,0,346,399
f6e6b004f07363e9,Santiago Ponzinibbio,red,win_by_submission,2800,0.029573382561851626,0.012621425092220306,-0.01695195746963132,0,346,399
f6e6b004f07363e9,Santiago Ponzinibbio,red,win_by_decision,950,0.08167886612320925,0.09216529875993729,0.010486432636728035,0,346,399
