URL	https://www.bestfightodds.com/events/ufc-belgrade-4285
STATUS	200	BYTES	1380067
0	
1	44217 Daniel Rodriguez
2	Uros Medic
3	Over 1½ rounds
4	Under 1½ rounds
5	Over 2½ rounds
6	Under 2½ rounds
7	Over 3½ rounds
8	Under 3½ rounds
9	Over 4½ rounds
10	Under 4½ rounds
11	Fight goes to decision
12	Fight doesn't go to decision
13	Fight starts round 2
14	Fight won't start round 2
15	Fight starts round 3
16	Fight won't start round 3
17	Fight starts round 4
18	Fight won't start round 4
19	Fight starts round 5
20	Fight won't start round 5
21	Fight is a draw
22	Fight is not a draw
23	Rodriguez wins by TKO/KO
24	Any other result
25	Medic wins by TKO/KO
26	Any other result
27	Rodriguez wins by submission
28	Any other result
29	Medic wins by submission
30	Any other result
31	Rodriguez wins inside distance
32	Not Rodriguez inside distance
33	Medic wins inside distance
34	Not Medic inside distance
35	Rodriguez wins by decision
36	Not Rodriguez by decision
37	Medic wins by decision
38	Not Medic by decision
39	Rodriguez wins in round 1
40	Any other result
41	Medic wins in round 1
42	Any other result
43	Rodriguez wins in round 2
44	Any other result
45	Medic wins in round 2
46	Any other result
47	Rodriguez wins in round 3
48	Any other result
49	Medic wins in round 3
50	Any other result
51	Rodriguez wins in round 4
52	Any other result
53	Medic wins in round 4
54	Any other result
55	Rodriguez wins in round 5
56	Any other result
57	Medic wins in round 5
58	Any other result
59	Rodriguez wins by unanimous decision
60	Any other result
61	Medic wins by unanimous decision
62	Any other result
63	Rodriguez wins by split/majority decision
64	Any other result
65	Medic wins by split/majority decision
66	Any other result
67	Fight ends in round 1
68	Fight doesn't end in round 1
69	Fight ends in round 1
70	Fight doesn't end in round 1
71	Fight ends in round 2
72	Fight doesn't end in round 2
73	Fight ends in round 2
74	Fight doesn't end in round 2
75	Fight ends in round 3
76	Fight doesn't end in round 3
77	Fight ends in round 3
78	Fight doesn't end in round 3
79	Fight ends in round 4
80	Fight doesn't end in round 4
81	Fight ends in round 4
82	Fight doesn't end in round 4
83	Fight ends in round 5
84	Fight doesn't end in round 5
85	Fight ends in round 5
86	Fight doesn't end in round 5
87	Rodriguez (scorecards = no action)
88	Medic (scorecards = no action)
89	Medic (scorecards = no action)
90	Rodriguez (scorecards = no action)
91	Rodriguez wins by TKO/KO in round 1
92	Any other result
93	Medic wins by TKO/KO in round 1
94	Any other result
95	Rodriguez wins by submission in round 1
96	Any other result
97	Medic wins by submission in round 1
98	Any other result
99	Rodriguez wins by TKO/KO in round 2
100	Any other result
101	Medic wins by TKO/KO in round 2
102	Any other result
103	Rodriguez wins by TKO/KO in round 3
104	Any other result
105	Medic wins by TKO/KO in round 3
106	Any other result
107	Rodriguez wins by TKO/KO in round 4
108	Any other result
109	Medic wins by TKO/KO in round 4
110	Any other result
111	Rodriguez wins by TKO/KO in round 5
112	Any other result
113	Medic wins by TKO/KO in round 5
114	Any other result
115	Rodriguez wins by submission in round 2
116	Any other result
117	Medic wins by submission in round 2
118	Any other result
119	Rodriguez wins by submission in round 3
120	Any other result
121	Medic wins by submission in round 3
122	Any other result
123	Rodriguez wins by submission in round 4
124	Any other result
125	Medic wins by submission in round 4
126	Any other result
127	Rodriguez wins by submission in round 5
128	Any other result
129	Medic wins by submission in round 5
130	Any other result
131	Either fighter wins by TKO/KO
132	Any other result
133	Either fighter wins by submission
134	Any other result
135	Rodriguez wins in round 1 or 2
136	Any other result
137	Medic wins in round 1 or 2
138	Any other result
139	Rodriguez wins in round 3 or 4
140	Any other result
141	Medic wins in round 3 or 4
142	Any other result
143	Fight ends in round 1 or 2
144	Any other result
145	Fight ends in round 3 or 4
146	Any other result
147	Fight ends in final round or goes to decision
148	Any other result
149	Fight ends in final round or goes to decision
150	Any other result
151	Rodriguez wins in final round or by decision
152	Any other result
153	Medic wins in final round or by decision
154	Any other result
155	Fight ends in TKO/KO/DQ in round 1
156	Any other result
157	Fight ends in TKO/KO/DQ in round 2
158	Any other result
159	Fight ends in TKO/KO/DQ in round 3
160	Any other result
161	Fight ends in TKO/KO/DQ in round 4
162	Any other result
163	Fight ends in TKO/KO/DQ in round 5
164	Any other result
165	Fight ends in submission in round 1
166	Any other result
167	Fight ends in submission in round 2
168	Any other result
169	Fight ends in submission in round 3
170	Any other result
171	Fight ends in submission in round 4
172	Any other result
173	Fight ends in submission in round 5
174	Any other result
175	44218 Jan Blachowicz
176	Navajo Stirling
177	Over 1½ rounds
178	Under 1½ rounds
179	Over 2½ rounds
180	Under 2½ rounds
181	Fight goes to decision
182	Fight doesn't go to decision
183	Fight starts round 2
184	Fight won't start round 2
185	Fight starts round 3
186	Fight won't start round 3
187	Fight is a draw
188	Fight is not a draw
189	Blachowicz wins by TKO/KO
190	Any other result
191	Stirling wins by TKO/KO
192	Any other result
193	Blachowicz wins by submission
194	Any other result
195	Stirling wins by submission
196	Any other result
197	Blachowicz wins inside distance
198	Not Blachowicz inside distance
199	Stirling wins inside distance
200	Not Stirling inside distance
201	Blachowicz wins by decision
202	Not Blachowicz by decision
203	Stirling wins by decision
204	Not Stirling by decision
205	Blachowicz wins in round 1
206	Any other result
207	Stirling wins in round 1
208	Any other result
209	Blachowicz wins in round 2
210	Any other result
211	Stirling wins in round 2
212	Any other result
213	Blachowicz wins in round 3
214	Any other result
215	Stirling wins in round 3
216	Any other result
217	Fight ends in round 1
218	Fight doesn't end in round 1
219	Fight ends in round 1
220	Fight doesn't end in round 1
221	Fight ends in round 1
222	Fight doesn't end in round 1
223	Fight ends in round 2
224	Fight doesn't end in round 2
225	Fight ends in round 2
226	Fight doesn't end in round 2
227	Fight ends in round 2
228	Fight doesn't end in round 2
229	Fight ends in round 3
230	Fight doesn't end in round 3
231	Fight ends in round 3
232	Fight doesn't end in round 3
233	Fight ends in round 3
234	Fight doesn't end in round 3
235	Blachowicz (scorecards = no action)
236	Stirling (scorecards = no action)
237	Stirling (scorecards = no action)
238	Blachowicz (scorecards = no action)
239	Blachowicz wins by TKO/KO in round 1
240	Any other result
241	Stirling wins by TKO/KO in round 1
242	Any other result
243	Blachowicz wins by submission in round 1
244	Any other result
245	Stirling wins by submission in round 1
246	Any other result
247	Blachowicz wins by TKO/KO in round 2
248	Any other result
249	Stirling wins by TKO/KO in round 2
250	Any other result
251	Blachowicz wins by TKO/KO in round 3
252	Any other result
253	Stirling wins by TKO/KO in round 3
254	Any other result
255	Blachowicz wins by submission in round 2
256	Any other result
257	Stirling wins by submission in round 2
258	Any other result
259	Blachowicz wins by submission in round 3
260	Any other result
261	Stirling wins by submission in round 3
262	Any other result
263	Either fighter wins by TKO/KO
264	Any other result
265	Either fighter wins by submission
266	Any other result
267	Blachowicz wins in round 1 or 2
268	Any other result
269	Stirling wins in round 1 or 2
270	Any other result
271	Fight ends in round 1 or 2
272	Any other result
273	Fight ends in final round or goes to decision
274	Any other result
275	Fight ends in final round or goes to decision
276	Any other result
277	Fight ends in final round or goes to decision
278	Any other result
279	Blachowicz wins in final round or by decision
280	Any other result
281	Stirling wins in final round or by decision
282	Any other result
283	Fight ends in TKO/KO/DQ in round 1
284	Any other result
285	Fight ends in TKO/KO/DQ in round 2
286	Any other result
287	Fight ends in TKO/KO/DQ in round 3
288	Any other result
289	Fight ends in submission in round 1
290	Any other result
291	Fight ends in submission in round 2
292	Any other result
293	Fight ends in submission in round 3
294	Any other result
295	44219 Aleksandar Rakic
296	Marcin Tybura
297	Over 1½ rounds
298	Under 1½ rounds
299	Over 2½ rounds
300	Under 2½ rounds
301	Fight goes to decision
302	Fight doesn't go to decision
303	Fight starts round 2
304	Fight won't start round 2
305	Fight starts round 3
306	Fight won't start round 3
307	Fight is a draw
308	Fight is not a draw
309	Rakic wins by TKO/KO
310	Any other result
311	Tybura wins by TKO/KO
312	Any other result
313	Rakic wins by submission
314	Any other result
315	Tybura wins by submission
316	Any other result
317	Rakic wins inside distance
318	Not Rakic inside distance
319	Tybura wins inside distance
320	Not Tybura inside distance
321	Rakic wins by decision
322	Not Rakic by decision
323	Tybura wins by decision
324	Not Tybura by decision
325	Rakic wins in round 1
326	Any other result
327	Tybura wins in round 1
328	Any other result
329	Rakic wins in round 2
330	Any other result
331	Tybura wins in round 2
332	Any other result
333	Rakic wins in round 3
334	Any other result
335	Tybura wins in round 3
336	Any other result
337	Fight ends in round 1
338	Fight doesn't end in round 1
339	Fight ends in round 1
340	Fight doesn't end in round 1
341	Fight ends in round 1
342	Fight doesn't end in round 1
343	Fight ends in round 2
344	Fight doesn't end in round 2
345	Fight ends in round 2
346	Fight doesn't end in round 2
347	Fight ends in round 2
348	Fight doesn't end in round 2
349	Fight ends in round 3
350	Fight doesn't end in round 3
351	Fight ends in round 3
352	Fight doesn't end in round 3
353	Fight ends in round 3
354	Fight doesn't end in round 3
355	Rakic (scorecards = no action)
356	Tybura (scorecards = no action)
357	Tybura (scorecards = no action)
358	Rakic (scorecards = no action)
359	Rakic wins by TKO/KO in round 1
360	Any other result
361	Tybura wins by TKO/KO in round 1
362	Any other result
363	Rakic wins by submission in round 1
364	Any other result
365	Tybura wins by submission in round 1
366	Any other result
367	Rakic wins by TKO/KO in round 2
368	Any other result
369	Tybura wins by TKO/KO in round 2
370	Any other result
371	Rakic wins by TKO/KO in round 3
372	Any other result
373	Tybura wins by TKO/KO in round 3
374	Any other result
375	Rakic wins by submission in round 2
376	Any other result
377	Tybura wins by submission in round 2
378	Any other result
379	Rakic wins by submission in round 3
380	Any other result
381	Tybura wins by submission in round 3
382	Any other result
383	Either fighter wins by TKO/KO
384	Any other result
385	Either fighter wins by submission
386	Any other result
387	Rakic wins in round 1 or 2
388	Any other result
389	Tybura wins in round 1 or 2
390	Any other result
391	Fight ends in round 1 or 2
392	Any other result
393	Fight ends in final round or goes to decision
394	Any other result
395	Fight ends in final round or goes to decision
396	Any other result
397	Fight ends in final round or goes to decision
398	Any other result
399	Rakic wins in final round or by decision
400	Any other result
401	Tybura wins in final round or by decision
402	Any other result
403	Fight ends in TKO/KO/DQ in round 1
404	Any other result
405	Fight ends in TKO/KO/DQ in round 2
406	Any other result
407	Fight ends in TKO/KO/DQ in round 3
408	Any other result
409	Fight ends in submission in round 1
410	Any other result
411	Fight ends in submission in round 2
412	Any other result
413	Fight ends in submission in round 3
414	Any other result
415	44221 Gilbert Urbina
416	Vlasto Cepo
417	Over 1½ rounds
418	Under 1½ rounds
419	Over 2½ rounds
420	Under 2½ rounds
421	Fight goes to decision
422	Fight doesn't go to decision
423	Fight starts round 2
424	Fight won't start round 2
425	Fight starts round 3
426	Fight won't start round 3
427	Fight is a draw
428	Fight is not a draw
429	Urbina wins by TKO/KO
430	Any other result
431	Cepo wins by TKO/KO
432	Any other result
433	Urbina wins by submission
434	Any other result
435	Cepo wins by submission
436	Any other result
437	Urbina wins inside distance
438	Not Urbina inside distance
439	Cepo wins inside distance
440	Not Cepo inside distance
441	Urbina wins by decision
442	Not Urbina by decision
443	Cepo wins by decision
444	Not Cepo by decision
445	Urbina wins in round 1
446	Any other result
447	Cepo wins in round 1
448	Any other result
449	Urbina wins in round 2
450	Any other result
451	Cepo wins in round 2
452	Any other result
453	Urbina wins in round 3
454	Any other result
455	Cepo wins in round 3
456	Any other result
457	Fight ends in round 1
458	Fight doesn't end in round 1
459	Fight ends in round 1
460	Fight doesn't end in round 1
461	Fight ends in round 1
462	Fight doesn't end in round 1
463	Fight ends in round 2
464	Fight doesn't end in round 2
465	Fight ends in round 2
466	Fight doesn't end in round 2
467	Fight ends in round 2
468	Fight doesn't end in round 2
469	Fight ends in round 3
470	Fight doesn't end in round 3
471	Fight ends in round 3
472	Fight doesn't end in round 3
473	Fight ends in round 3
474	Fight doesn't end in round 3
475	Urbina (scorecards = no action)
476	Cepo (scorecards = no action)
477	Cepo (scorecards = no action)
478	Urbina (scorecards = no action)
479	Urbina wins by TKO/KO in round 1
480	Any other result
481	Cepo wins by TKO/KO in round 1
482	Any other result
483	Urbina wins by submission in round 1
484	Any other result
485	Cepo wins by submission in round 1
486	Any other result
487	Urbina wins by TKO/KO in round 2
488	Any other result
489	Cepo wins by TKO/KO in round 2
490	Any other result
491	Urbina wins by TKO/KO in round 3
492	Any other result
493	Cepo wins by TKO/KO in round 3
494	Any other result
495	Urbina wins by submission in round 2
496	Any other result
497	Cepo wins by submission in round 2
498	Any other result
499	Urbina wins by submission in round 3
500	Any other result
501	Cepo wins by submission in round 3
502	Any other result
503	Either fighter wins by TKO/KO
504	Any other result
505	Either fighter wins by submission
506	Any other result
507	Urbina wins in round 1 or 2
508	Any other result
509	Cepo wins in round 1 or 2
510	Any other result
511	Fight ends in round 1 or 2
512	Any other result
513	Fight ends in final round or goes to decision
514	Any other result
515	Fight ends in final round or goes to decision
516	Any other result
517	Fight ends in final round or goes to decision
518	Any other result
519	Urbina wins in final round or by decision
520	Any other result
521	Cepo wins in final round or by decision
522	Any other result
523	Fight ends in TKO/KO/DQ in round 1
524	Any other result
525	Fight ends in TKO/KO/DQ in round 2
526	Any other result
527	Fight ends in TKO/KO/DQ in round 3
528	Any other result
529	Fight ends in submission in round 1
530	Any other result
531	Fight ends in submission in round 2
532	Any other result
533	Fight ends in submission in round 3
534	Any other result
535	44220 Dusko Todorovic
536	Robert Valentin
537	Over 1½ rounds
538	Under 1½ rounds
539	Over 2½ rounds
540	Under 2½ rounds
541	Fight goes to decision
542	Fight doesn't go to decision
543	Fight starts round 2
544	Fight won't start round 2
545	Fight starts round 3
546	Fight won't start round 3
547	Fight is a draw
548	Fight is not a draw
549	Todorovic wins by TKO/KO
550	Any other result
551	Valentin wins by TKO/KO
552	Any other result
553	Todorovic wins by submission
554	Any other result
555	Valentin wins by submission
556	Any other result
557	Todorovic wins inside distance
558	Not Todorovic inside distance
559	Valentin wins inside distance
560	Not Valentin inside distance
561	Todorovic wins by decision
562	Not Todorovic by decision
563	Valentin wins by decision
564	Not Valentin by decision
565	Todorovic wins in round 1
566	Any other result
567	Valentin wins in round 1
568	Any other result
569	Todorovic wins in round 2
570	Any other result
571	Valentin wins in round 2
572	Any other result
573	Todorovic wins in round 3
574	Any other result
575	Valentin wins in round 3
576	Any other result
577	Fight ends in round 1
578	Fight doesn't end in round 1
579	Fight ends in round 1
580	Fight doesn't end in round 1
581	Fight ends in round 1
582	Fight doesn't end in round 1
583	Fight ends in round 2
584	Fight doesn't end in round 2
585	Fight ends in round 2
586	Fight doesn't end in round 2
587	Fight ends in round 2
588	Fight doesn't end in round 2
589	Fight ends in round 3
590	Fight doesn't end in round 3
591	Fight ends in round 3
592	Fight doesn't end in round 3
593	Fight ends in round 3
594	Fight doesn't end in round 3
595	Todorovic (scorecards = no action)
596	Valentin (scorecards = no action)
597	Valentin (scorecards = no action)
598	Todorovic (scorecards = no action)
599	Todorovic wins by TKO/KO in round 1
600	Any other result
601	Valentin wins by TKO/KO in round 1
602	Any other result
603	Todorovic wins by submission in round 1
604	Any other result
605	Valentin wins by submission in round 1
606	Any other result
