fighter_a,fighter_b,table_index,book_id,book,source_url
Daniel Rodriguez,Uros Medic,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Jan Blachowicz,Navajo Stirling,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Aleksandar Rakic,Marcin Tybura,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Gilbert Urbina,Vlasto Cepo,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Dusko Todorovic,Robert Valentin,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Milos Janicic,Noah Gugnon,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Ludovit Klein,Tofiq Musayev,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Michael Oliveira,Oban Elliott,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Borislav Nikolic,Mark Vologdin,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Bogdan Grad,Dennis Buzukia,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Kyle Prepolec,Mateusz Rebecki,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Hailey Cowan,Nina Milosevic,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Alexander Poppeck,Jovan Leka,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
Marina Spasic,Stephanie Luciano,1,21,FanDuel,https://www.bestfightodds.com/events/ufc-belgrade-4285
