fighter_a,fighter_b,book_id,book,source_url
Joselyne Edwards,Nora Cornolle,21,FanDuel,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
Punahele Soriano,Ramiz Brahimaj,21,FanDuel,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
Jean-Paul Lebosnoyani,Phil Rowe,21,FanDuel,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
Jordan Leavitt,Yadier Del Valle,21,FanDuel,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
Carli Judice,Juliana Miller,21,FanDuel,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
Geoff Neal,Uros Medic,21,FanDuel,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
Anthony Hernandez,Sean Strickland,21,FanDuel,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
Dan Ige,Melquizael Costa,21,FanDuel,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
Ante Delija,Serghei Spivac,21,FanDuel,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
Jacobe Smith,Josiah Harrell,21,FanDuel,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
Michel Pereira,Zach Reese,25,BetRivers,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
Carlos Leal,Chidi Njokuani,21,FanDuel,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
Alden Coria,Luis Gurule,21,FanDuel,https://www.bestfightodds.com/events/ufc-houston-4044;https://www.bestfightodds.com/events/ufc-3996
