fighter_a,fighter_b,book_id,book,source_url
Lerone Murphy,Movsar Evloev,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
Luke Riley,Michael Aswell,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
Michael Page,Sam Patterson,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
Austen Lane,Iwo Baraniewski,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
Christian Leroy Duncan,Roman Dolidze,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
Danny Silva,Kurtis Campbell,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
Axel Sola,Mason Jones,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
Losene Keita,Nathaniel Wood,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
Felipe Franco,Mario Pinto,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
Antonio Trocoli,Mantas Kondratavicius,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
Brando Pericic,Louie Sutherland,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
Abdul-Kareem Al-Selwady,Shem Rock,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
Ravena Oliveira,Shanelle Dyer,21,FanDuel,https://www.bestfightodds.com/events/ufc-london-4081
