fighter_a,fighter_b,book_id,book,source_url
Brandon Moreno,Lone'er Kavanagh,21,FanDuel,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
David Martinez,Marlon Vera,21,FanDuel,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
Daniel Zellhuber,King Green,21,FanDuel,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
Edgar Chairez,Felipe Bunes,21,FanDuel,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
Imanol Rodriguez,Kevin Borjas,21,FanDuel,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
Angel Pacheco,Santiago Luna,21,FanDuel,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
Jose Daniel Medina,Ryan Gandra,25,BetRivers,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
Ailin Perez,Macy Chiasson,21,FanDuel,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
Cristian Quinonez,Kris Moutinho,21,FanDuel,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
Douglas Silva de Andrade,Javier Reyes,21,FanDuel,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
Ernesta Kareckaite,Regina Tarin,21,FanDuel,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
Erik Silva,Francis Marshall,21,FanDuel,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
Damian Pinas,Wes Schultz,21,FanDuel,https://www.bestfightodds.com/events/ufc-mexico-4052;https://www.bestfightodds.com/events/ufc-mexico-4053
