fight_id,fighter,side,american_odds,fair_market_p,model_p,edge,actual_win,r_pre_fights,b_pre_fights,cold_start,mapped_predictors,total_predictors
c6a85b67fdd2ef3d,Damian Pinas,red,-240,0.6777862016679302,0.6863815784454346,0.008595376777504327,1,0.0,0.0,True,351,432
c6a85b67fdd2ef3d,Wes Schultz,blue,198,0.3222137983320697,0.31442007422447205,-0.007793724107597655,0,0.0,0.0,True,351,432
c40b934d2666e351,Ailin Perez,red,-180,0.6183206106870229,0.5770339369773865,-0.04128667370963646,1,6.0,13.0,False,351,432
c40b934d2666e351,Macy Chiasson,blue,152,0.38167938931297707,0.44470927119255066,0.06302988187957359,0,6.0,13.0,False,351,432
81f3d28d30d17378,Daniel Zellhuber,red,-360,0.7532188841201718,0.7148029208183289,-0.03841596330184294,0,6.0,26.0,False,351,432
81f3d28d30d17378,King Green,blue,290,0.24678111587982832,0.2562287151813507,0.009447599301522391,1,6.0,26.0,False,351,432
7df505d8260ba680,Edgar Chairez,red,-270,0.7001620745542949,0.6663156747817993,-0.033846399772495595,1,4.0,3.0,False,351,432
7df505d8260ba680,Felipe Bunes,blue,220,0.299837925445705,0.31915345788002014,0.019315532434315164,0,4.0,3.0,False,351,432
6154ee95d3f4fc32,Douglas Silva de Andrade,red,194,0.3279666070363745,0.2700016498565674,-0.0579649571798071,0,13.0,0.0,True,351,432
6154ee95d3f4fc32,Javier Reyes,blue,-230,0.6720333929636256,0.7194831371307373,0.047449744167111674,1,13.0,0.0,True,351,432
581292ffe5b09344,Erik Silva,red,570,0.14343623323978796,0.19210897386074066,0.0486727406209527,0,2.0,5.0,False,351,432
581292ffe5b09344,Francis Marshall,blue,-820,0.8565637667602121,0.8099797368049622,-0.046584029955249906,1,2.0,5.0,False,351,432
44d58943ac8e47e1,Regina Tarin,red,116,0.44548474781032915,0.5735659003257751,0.128081152515446,1,0.0,2.0,True,351,432
44d58943ac8e47e1,Ernesta Kareckaite,blue,-136,0.5545152521896708,0.4527011215686798,-0.10181413062099098,0,0.0,2.0,True,351,432
3b76a00f5d0400eb,Santiago Luna,red,-770,0.849948258020007,0.8084045648574829,-0.04154369316252404,1,1.0,1.0,True,351,432
3b76a00f5d0400eb,Angel Pacheco,blue,540,0.1500517419799931,0.17672611773014069,0.026674375750147583,0,1.0,1.0,True,351,432
36d12b31957e94db,Marlon Vera,red,265,0.2630773936983787,0.2514793872833252,-0.011598006415053486,0,25.0,2.0,False,351,432
36d12b31957e94db,David Martinez,blue,-330,0.7369226063016213,0.7774285674095154,0.04050596110789406,1,25.0,2.0,False,351,432
25ab195cefbce1d0,Cristian Quinonez,red,-560,0.8152295632698767,0.8553615808486938,0.040132017578817125,1,3.0,3.0,False,351,432
25ab195cefbce1d0,Kris Moutinho,blue,420,0.18477043673012317,0.12021015584468842,-0.06456028088543475,0,3.0,3.0,False,351,432
15068d7b095ca9bd,Imanol Rodriguez,red,-530,0.7981416212752324,0.8401068449020386,0.041965223626806214,1,0.0,4.0,True,351,432
15068d7b095ca9bd,Kevin Borjas,blue,370,0.2018583787247677,0.16293194890022278,-0.03892642982454492,0,0.0,4.0,True,351,432
1330b5c21269fe92,Brandon Moreno,red,-198,0.6386477179027017,0.6447478532791138,0.006100135376412075,0,17.0,3.0,False,351,432
1330b5c21269fe92,Lone'er Kavanagh,blue,166,0.36135228209729836,0.3290243446826935,-0.03232793741460488,1,17.0,3.0,False,351,432
45ec0c5f19c9adbe,Ryan Gandra,red,-715,0.840352595494613,0.8684287071228027,0.02807611162818968,1,0.0,3.0,True,351,432
45ec0c5f19c9adbe,Jose Daniel Medina,blue,500,0.15964740450538684,0.1505533903837204,-0.009094014121666438,0,0.0,3.0,True,351,432
