fight_id,fighter,opponent,side,american_odds,market_source,fighter_state_found,fight_cold_start,fair_market_p,v5_model_p,edge,selected_feature_count
paris_v5_20260905_01,Salahdine Parnasse,Dan Hooker,blue,-550,UFC 2026-08-31,False,True,0.8088235294117646,0.7958616304448668,-0.012961898966897811,51
paris_v5_20260905_01,Dan Hooker,Salahdine Parnasse,red,400,UFC 2026-08-31,True,True,0.19117647058823528,0.2041383695551332,0.012961898966897922,51
paris_v5_20260905_02,Axel Sola,Fares Ziam,blue,135,UFC 2026-08-31,True,False,0.4088050314465409,0.3783812295571327,-0.030423801889408186,51
paris_v5_20260905_02,Fares Ziam,Axel Sola,red,-160,UFC 2026-08-31,True,False,0.5911949685534592,0.6216187704428673,0.030423801889408075,51
paris_v5_20260905_03,Nursulton Ruziboev,Michael Page,blue,140,UFC 2026-08-31,True,False,0.39823008849557523,0.32781682978956916,-0.07041325870600607,51
paris_v5_20260905_03,Michael Page,Nursulton Ruziboev,red,-170,UFC 2026-08-31,True,False,0.6017699115044248,0.6721831702104308,0.07041325870600601,51
paris_v5_20260905_04,Punahele Soriano,Daniil Donchenko,blue,185,UFC 2026-08-31,True,False,0.33635187580853815,0.27440000254525143,-0.061951873263286716,51
paris_v5_20260905_04,Daniil Donchenko,Punahele Soriano,red,-225,UFC 2026-08-31,True,False,0.6636481241914618,0.7255999974547486,0.06195187326328677,51
paris_v5_20260905_05,Felipe Lima,Morgan Charriere,blue,-185,UFC 2026-08-31,True,False,0.6233894945490586,0.6896890661348078,0.06629957158574928,51
paris_v5_20260905_05,Morgan Charriere,Felipe Lima,red,155,UFC 2026-08-31,True,False,0.37661050545094155,0.3103109338651921,-0.06629957158574945,51
paris_v5_20260905_06,Muhammad Naimov,Losene Keita,blue,275,UFC 2026-08-31,True,False,0.2553191489361702,0.21653808202645597,-0.038781066909714224,51
paris_v5_20260905_06,Losene Keita,Muhammad Naimov,red,-350,UFC 2026-08-31,True,False,0.7446808510638298,0.783461917973544,0.03878106690971428,51
paris_v5_20260905_07,Ryan Spann,Mario Pinto,blue,210,UFC,True,False,0.30874785591766724,0.23568357741966994,-0.07306427849799729,51
paris_v5_20260905_07,Mario Pinto,Ryan Spann,red,-260,UFC,True,False,0.6912521440823327,0.7643164225803301,0.07306427849799735,51
paris_v5_20260905_08,Trevor Peek,Kurtis Campbell,blue,270,UFC,True,False,0.2591283863368669,0.20002668453287564,-0.05910170180399127,51
paris_v5_20260905_08,Kurtis Campbell,Trevor Peek,red,-340,UFC,True,False,0.740871613663133,0.7999733154671244,0.059101701803991324,51
paris_v5_20260905_09,Modestas Bukauskas,Oumar Sy,blue,160,UFC 2026-08-31,True,False,0.3698979591836735,0.32654075406723104,-0.04335720511644248,51
paris_v5_20260905_09,Oumar Sy,Modestas Bukauskas,red,-190,UFC 2026-08-31,True,False,0.6301020408163266,0.673459245932769,0.043357205116442366,51
paris_v5_20260905_10,Mairon Santos,Nathaniel Wood,blue,-130,UFC 2026-08-31,True,False,0.5427435387673957,0.5647005966218865,0.02195705785449087,51
paris_v5_20260905_10,Nathaniel Wood,Mairon Santos,red,110,UFC 2026-08-31,True,False,0.4572564612326044,0.4352994033781134,-0.02195705785449098,51
paris_v5_20260905_11,Fabia Sintes,Michael Aljarouj,blue,130,UFC,False,True,0.4170073589533933,0.3972765355772493,-0.019730823376144013,51
paris_v5_20260905_11,Michael Aljarouj,Fabia Sintes,red,-155,UFC,False,True,0.5829926410466066,0.6027234644227507,0.01973082337614407,51
paris_v5_20260905_12,Klaudia Sygula,Nora Cornolle,blue,110,UFC,True,False,0.4572564612326044,0.4567338351470096,-0.0005226260855947795,51
paris_v5_20260905_12,Nora Cornolle,Klaudia Sygula,red,-130,UFC,True,False,0.5427435387673957,0.5432661648529904,0.000522626085594724,51
paris_v5_20260905_13,Luis Felipe Dias,Matthieu Letho Duclos,blue,100,UFC 2026-08-31,True,True,0.4782608695652174,0.45790818144907186,-0.020352688116145545,51
paris_v5_20260905_13,Matthieu Letho Duclos,Luis Felipe Dias,red,-120,UFC 2026-08-31,False,True,0.5217391304347826,0.5420918185509281,0.020352688116145545,51
paris_v5_20260905_14,Sofia Montenegro,Delphine Benouaich,blue,145,UFC 2026-08-31,False,True,0.39076376554174075,0.37148342253007705,-0.019280343011663703,51
paris_v5_20260905_14,Delphine Benouaich,Sofia Montenegro,red,-175,UFC 2026-08-31,False,True,0.6092362344582594,0.628516577469923,0.019280343011663592,51
