fighter_a,fighter_b,book_id,book,source_url
Israel Adesanya,Joe Pyfer,25,BetRivers,https://www.bestfightodds.com/events/ufc-seattle-4018
Alexa Grasso,Maycee Barber,25,BetRivers,https://www.bestfightodds.com/events/ufc-seattle-4018
Michael Chiesa,Niko Price,25,BetRivers,https://www.bestfightodds.com/events/ufc-seattle-4018
Julian Erosa,Lerryan Douglas,25,BetRivers,https://www.bestfightodds.com/events/ufc-seattle-4018
Mansur Abdul-Malik,Yousri Belgaroui,25,BetRivers,https://www.bestfightodds.com/events/ufc-seattle-4018
Kyle Nelson,Terrance McKinney,25,BetRivers,https://www.bestfightodds.com/events/ufc-seattle-4018
Ignacio Bahamondes,Tofiq Musayev,25,BetRivers,https://www.bestfightodds.com/events/ufc-seattle-4018
Marcin Tybura,Tyrell Fortune,25,BetRivers,https://www.bestfightodds.com/events/ufc-seattle-4018
Bruno Lopes,Navajo Stirling,25,BetRivers,https://www.bestfightodds.com/events/ufc-seattle-4018
Alexia Thainara,Bruna Brasil,25,BetRivers,https://www.bestfightodds.com/events/ufc-seattle-4018
