fighter_a,fighter_b,book_id,book,source_url
Josh Emmett,Kevin Vallejos,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-114-4080
Amanda Lemos,Gillian Robertson,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-114-4080
Andre Fili,Jose Delgado,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-114-4080
Harry Hardwick,Marwan Rahiki,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-114-4080
Ion Cutelaba,Oumar Sy,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-114-4080
Bruno Silva,Charles Johnson,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-114-4080
Chris Curtis,Myktybek Orolbai,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-114-4080
Steven Asplund,Vitor Petrino,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-114-4080
Elijah Smith,Suyoung You,25,BetRivers,https://www.bestfightodds.com/events/ufc-vegas-114-4080
Bolaji Oki,Manoel Sousa,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-114-4080
Brad Tavares,Eryk Anders,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-114-4080
Hecher Sosa,Luan Lacerda,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-114-4080
Piera Rodriguez,Sam Hughes,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-114-4080
