fighter_a,fighter_b,book_id,book,source_url
Chris Duncan,Renato Moicano,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-115-4107
Abdul Rakhman Yakhyaev,Brendson Ribeiro,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-115-4107
Tabatha Ricci,Virna Jandiroba,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-115-4107
Ethyn Ewing,Rafael Estevam,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-115-4107
Manolo Zecchini,Tommy McMillen,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-115-4107
Jose Delano,Robert Ruchala,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-115-4107
Guilherme Pat,Thomas Petersen,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-115-4107
Alessandro Costa,Stewart Nicoll,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-115-4107
Darrius Flowers,Lando Vannata,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-115-4107
Alice Pereira,Hailey Cowan,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-115-4107
Dione Barbosa,Melissa Gatto,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-115-4107
Dakota Hope,Kai Kamaka III,21,FanDuel,https://www.bestfightodds.com/events/ufc-vegas-115-4107
