threshold,threshold_pct,bets,wins,losses,win_rate,profit_units,roi
0.0,0.0,73,44,29,0.6027397260273972,-3.1364296822523636,-0.0429647901678406
0.005,0.5,64,40,24,0.625,0.0728483327974625,0.0011382551999603516
0.01,1.0,59,37,22,0.6271186440677966,0.9284038883530177,0.01573565912462742
0.015,1.5,50,32,18,0.64,0.3374762756972167,0.006749525513944334
0.02,2.0,40,27,13,0.675,1.3596974602078906,0.03399243650519727
0.025,2.5,30,22,8,0.7333333333333333,4.710492060180264,0.1570164020060088
0.03,3.0,28,20,8,0.7142857142857143,4.392845001356735,0.15688732147702625
0.035,3.5000000000000004,20,14,6,0.7,4.295014609673697,0.21475073048368487
0.04,4.0,15,12,3,0.8,6.739459054118142,0.4492972702745428
0.045,4.5,13,11,2,0.8461538461538461,7.4763011593813005,0.575100089183177
0.05,5.0,8,7,1,0.875,5.96090197625859,0.7451127470323238
0.055,5.5,8,7,1,0.875,5.96090197625859,0.7451127470323238
0.06,6.0,4,3,1,0.75,1.7987155963302754,0.44967889908256886
0.065,6.5,3,2,1,0.6666666666666666,0.5587155963302753,0.18623853211009178
0.07,7.000000000000001,3,2,1,0.6666666666666666,0.5587155963302753,0.18623853211009178
0.075,7.5,1,0,1,0.0,-1.0,-1.0
0.08,8.0,0,0,0,,0.0,
0.085,8.5,0,0,0,,0.0,
0.09,9.0,0,0,0,,0.0,
0.095,9.5,0,0,0,,0.0,
0.1,10.0,0,0,0,,0.0,
