period,edge_bucket,bets,wins,losses,win_rate,profit_units,roi,avg_edge,avg_market_p,avg_v5_p
2025_to_2026_03_28,0-1%,106,72,34,0.6792452830188679,34.20238955815795,0.3226640524354523,0.004730062187222266,0.5290336216049656,0.533763683792188
2025_to_2026_03_28,1-2%,99,52,47,0.5252525252525253,-15.763859770223524,-0.1592309067699346,0.014916916773698547,0.559934330572906,0.5748512473466044
2025_to_2026_03_28,2-3%,106,76,30,0.7169811320754716,15.953388891903604,0.15050366879154342,0.0253265045673474,0.6186310249398912,0.6439575295072387
2025_to_2026_03_28,3-4%,78,48,30,0.6153846153846154,-3.639876829895227,-0.04666508756275932,0.034568363905299014,0.5948248706829063,0.6293932345882054
2025_to_2026_03_28,4-5%,60,39,21,0.65,6.444426159032616,0.10740710265054361,0.04515993612095815,0.5794445357033087,0.6246044718242671
2025_to_2026_03_28,5-6%,25,13,12,0.52,-2.2103416688570796,-0.08841366675428318,0.05447797944603222,0.5018701739833735,0.5563481534294058
2025_to_2026_03_28,6-7.5%,14,10,4,0.7142857142857143,4.337910919868518,0.30985077999060845,0.06558909992133108,0.5305502845486813,0.5961393844700125
2025_to_2026_03_28,7.5-10%,12,5,7,0.4166666666666667,-3.118302752594601,-0.25985856271621677,0.08436914035420524,0.5016873984413697,0.5860565387955751
2025_to_2026_03_28,10%+,5,5,0,1.0,6.01176571920758,1.202353143841516,0.14018761557006346,0.4811642356607376,0.6213518512308012
2025,0-1%,84,57,27,0.6785714285714286,32.34294577363812,0.3850350687337872,0.004832022043261711,0.513651342477803,0.5184833645210647
2025,1-2%,77,41,36,0.5324675324675324,-13.16795438975603,-0.17101239467215623,0.014847986100748192,0.5737484990656396,0.5885964851663879
2025,2-3%,83,59,24,0.7108433734939759,13.676700397326542,0.16477952285935593,0.025332505856667055,0.6076944538098539,0.633026959666521
2025,3-4%,54,34,20,0.6296296296296297,0.12865128220431377,0.0023824311519317362,0.03503978801131057,0.5920777224197411,0.6271175104310517
2025,4-5%,49,31,18,0.6326530612244898,6.147387758787096,0.12545689303647137,0.04509933161677614,0.5653172574222082,0.6104165890389844
2025,5-6%,19,10,9,0.5263157894736842,-1.5857902153168633,-0.08346264291141385,0.05454574632885755,0.5075842688438538,0.5621300151727112
2025,6-7.5%,14,10,4,0.7142857142857143,4.337910919868518,0.30985077999060845,0.06558909992133108,0.5305502845486813,0.5961393844700125
2025,7.5-10%,9,4,5,0.4444444444444444,-1.6559371611967517,-0.18399301791075018,0.08146814231229658,0.49412146710704064,0.5755896094193373
2025,10%+,3,3,0,1.0,4.270370370370371,1.423456790123457,0.135890590373278,0.4511939539689098,0.5870845443421878
2026_Jan_Mar,0-1%,22,15,7,0.6818181818181818,1.8594437845198248,0.0845201720236284,0.004340760918708018,0.5877659600904956,0.5921067210092037
2026_Jan_Mar,1-2%,22,11,11,0.5,-2.595905380467496,-0.1179956991121589,0.0151581741290248,0.5115847408483374,0.5267429149773623
2026_Jan_Mar,2-3%,23,17,6,0.7391304347826086,2.2766884945770594,0.0989864562859591,0.025304847740672157,0.6580977816265476,0.6834026293672197
2026_Jan_Mar,3-4%,24,14,10,0.5833333333333334,-3.768528112099541,-0.1570220046708142,0.03350765966677302,0.6010059542750285,0.6345136139418015
2026_Jan_Mar,4-5%,11,8,3,0.7272727272727273,0.2970384002455182,0.027003490931410745,0.045429901639587204,0.6423751389554847,0.6878050405950721
2026_Jan_Mar,5-6%,6,3,3,0.5,-0.6245514535402176,-0.1040919089233696,0.05426338431708532,0.4837755402585197,0.5380389245756051
2026_Jan_Mar,6-7.5%,0,0,0,,0.0,,,,
2026_Jan_Mar,7.5-10%,3,1,2,0.3333333333333333,-1.4623655913978495,-0.4874551971326165,0.09307213447993128,0.5243851924443568,0.6174573269242881
2026_Jan_Mar,10%+,2,2,0,1.0,1.7413953488372091,0.8706976744186046,0.1466331533652416,0.5261196581984794,0.6727528115637211
