period,analysis,market_p_bucket,edge_bucket,bets,wins,losses,win_rate,profit_units,roi,avg_market_p,avg_v5_p,avg_edge
2025_to_2026_03_28,market_probability,<30%,ALL,57,14,43,0.24561403508771928,3.0000000000000004,0.05263157894736843,0.2325678950000217,0.2506146132095209,0.018046718209499175
2025_to_2026_03_28,market_probability,30-40%,ALL,67,29,38,0.43283582089552236,13.389999999999999,0.1998507462686567,0.34745858390688755,0.3790756583871905,0.03161707448030297
2025_to_2026_03_28,market_probability,40-50%,ALL,56,31,25,0.5535714285714286,10.165791855203622,0.1815319974143504,0.4478659675320272,0.4789740964423075,0.031108128910280204
2025_to_2026_03_28,market_probability,50-60%,ALL,77,52,25,0.6753246753246753,11.827063108033476,0.15359822218225294,0.5581851223520938,0.5905469207090197,0.03236179835692581
2025_to_2026_03_28,market_probability,60-70%,ALL,105,67,38,0.638095238095238,-7.3684019467726145,-0.07017525663592966,0.6568846637912852,0.6872178394032091,0.030333175611923956
2025_to_2026_03_28,market_probability,70-80%,ALL,81,68,13,0.8395061728395061,5.8582585214458005,0.07232417927710864,0.7503821916472548,0.7776508738155856,0.027268682168330786
2025_to_2026_03_28,market_probability,80%+,ALL,62,59,3,0.9516129032258065,5.344788688689544,0.086206269172412,0.8435290427036081,0.8642967317380282,0.020767689034419935
2025_to_2026_03_28,market_x_edge,<30%,0-2%,37,9,28,0.24324324324324326,3.1999999999999993,0.08648648648648646,0.2334178190095492,0.24197662284440632,0.008558803834857104
2025_to_2026_03_28,market_x_edge,<30%,2-4%,14,3,11,0.21428571428571427,-2.0999999999999996,-0.14999999999999997,0.23989356858727567,0.2708733004631174,0.030979731875841666
2025_to_2026_03_28,market_x_edge,<30%,4-6%,6,2,4,0.3333333333333333,1.9000000000000004,0.3166666666666667,0.2102334585710095,0.25661195020266897,0.04637849163165941
2025_to_2026_03_28,market_x_edge,<30%,6-7.5%,0,0,0,,0.0,,,,
2025_to_2026_03_28,market_x_edge,<30%,7.5%+,0,0,0,,0.0,,,,
2025_to_2026_03_28,market_x_edge,30-40%,0-2%,28,13,15,0.4642857142857143,7.52,0.26857142857142857,0.34416154278715166,0.35412277450057467,0.00996123171342299
2025_to_2026_03_28,market_x_edge,30-40%,2-4%,20,9,11,0.45,4.9799999999999995,0.24899999999999997,0.35630425726143966,0.38447729068887593,0.0281730334274362
2025_to_2026_03_28,market_x_edge,30-40%,4-6%,10,3,7,0.3,-1.2899999999999998,-0.12899999999999998,0.34104603872772776,0.38907313801198457,0.04802709928425687
2025_to_2026_03_28,market_x_edge,30-40%,6-7.5%,3,1,2,0.3333333333333333,-0.24,-0.08,0.346860993512442,0.4116439349755656,0.06478294146312354
2025_to_2026_03_28,market_x_edge,30-40%,7.5%+,6,3,3,0.5,2.4200000000000004,0.4033333333333334,0.3443455684463031,0.4445704045169352,0.10022483607063204
2025_to_2026_03_28,market_x_edge,40-50%,0-2%,20,11,9,0.55,3.5415384615384617,0.17707692307692308,0.4499558536045294,0.46100859229112723,0.011052738686597816
2025_to_2026_03_28,market_x_edge,40-50%,2-4%,19,11,8,0.5789473684210527,4.5634690799396695,0.24018258315471944,0.44676493076338153,0.4773883065530593,0.03062337578967769
2025_to_2026_03_28,market_x_edge,40-50%,4-6%,14,7,7,0.5,0.5607843137254904,0.0400560224089636,0.4484466428993949,0.49785031551074105,0.04940367261134614
2025_to_2026_03_28,market_x_edge,40-50%,6-7.5%,1,1,0,1.0,1.34,1.34,0.4110112789141655,0.4728198815921399,0.0618086026779744
2025_to_2026_03_28,market_x_edge,40-50%,7.5%+,2,1,1,0.5,0.15999999999999992,0.07999999999999996,0.4517895728464967,0.544637715848016,0.0928481430015193
2025_to_2026_03_28,market_x_edge,50-60%,0-2%,27,17,10,0.6296296296296297,2.3722406208929563,0.08786076373677616,0.5504305013680654,0.5601666025040265,0.009736101135961121
2025_to_2026_03_28,market_x_edge,50-60%,2-4%,23,15,8,0.6521739130434783,2.85074669930332,0.12394550866536175,0.5639964147258361,0.5937996164861463,0.029803201760310236
2025_to_2026_03_28,market_x_edge,50-60%,4-6%,17,12,5,0.7058823529411765,2.923817506053865,0.17198926506199208,0.559572675382223,0.6085182928617167,0.04894561747949367
2025_to_2026_03_28,market_x_edge,50-60%,6-7.5%,6,6,0,1.0,4.437590791817297,0.7395984653028829,0.5542818715818317,0.6201453527912645,0.0658634812094326
2025_to_2026_03_28,market_x_edge,50-60%,7.5%+,4,2,2,0.5,-0.7573325100339612,-0.1893331275084903,0.5770716586226126,0.6561350881019159,0.07906342947930345
2025_to_2026_03_28,market_x_edge,60-70%,0-2%,38,25,13,0.6578947368421053,-2.1403717533728384,-0.05632557245717996,0.665616191528035,0.676437866506125,0.010821674978090034
2025_to_2026_03_28,market_x_edge,60-70%,2-4%,41,25,16,0.6097560975609756,-4.489890558636042,-0.10950952582039128,0.6567013784584473,0.6850625610047723,0.028361182546324765
2025_to_2026_03_28,market_x_edge,60-70%,4-6%,18,12,6,0.6666666666666666,-0.2388848690915253,-0.01327138161619585,0.6475739285722031,0.6967327300892068,0.049158801517003775
2025_to_2026_03_28,market_x_edge,60-70%,6-7.5%,4,2,2,0.5,-1.1996798719487796,-0.2999199679871949,0.6626046236847638,0.7293318948284376,0.06672727114367362
2025_to_2026_03_28,market_x_edge,60-70%,7.5%+,4,3,1,0.75,0.700425106276569,0.17510627656914224,0.6119921735461421,0.7267881219972713,0.11479594845112918
2025_to_2026_03_28,market_x_edge,70-80%,0-2%,26,22,4,0.8461538461538461,2.129676484127014,0.08191063400488516,0.752073137788931,0.7599926518484293,0.007919514059498074
2025_to_2026_03_28,market_x_edge,70-80%,2-4%,38,32,6,0.8421052631578947,2.45850962350988,0.06469762167131263,0.7541556008463967,0.7837134659910991,0.02955786514470248
2025_to_2026_03_28,market_x_edge,70-80%,4-6%,16,13,3,0.8125,0.899702043438537,0.05623137771490856,0.741811314637379,0.7873595688021873,0.045548254164808136
2025_to_2026_03_28,market_x_edge,70-80%,6-7.5%,0,0,0,,0.0,,,,
2025_to_2026_03_28,market_x_edge,70-80%,7.5%+,1,1,0,1.0,0.3703703703703704,0.3703703703703704,0.7001620745542949,0.8510470225065139,0.1508849479522189
2025_to_2026_03_28,market_x_edge,80%+,0-2%,29,27,2,0.9310344827586207,1.8154459747488292,0.06260158533616653,0.8458628498567095,0.8555701120449469,0.009707262188237307
2025_to_2026_03_28,market_x_edge,80%+,2-4%,29,29,0,1.0,4.05067721789155,0.13967852475488104,0.8428797544581595,0.871515610097905,0.02863585563974553
2025_to_2026_03_28,market_x_edge,80%+,4-6%,4,3,1,0.75,-0.5213345039508341,-0.13033362598770853,0.8313162806231247,0.8752278564037581,0.04391157578063339
2025_to_2026_03_28,market_x_edge,80%+,6-7.5%,0,0,0,,0.0,,,,
2025_to_2026_03_28,market_x_edge,80%+,7.5%+,0,0,0,,0.0,,,,
2025,market_probability,<30%,ALL,44,12,32,0.2727272727272727,8.599999999999998,0.1954545454545454,0.23252451673230787,0.25004905742222444,0.017524540689916563
2025,market_probability,30-40%,ALL,59,25,34,0.423728813559322,10.359999999999998,0.175593220338983,0.34714037710928236,0.37918311934268784,0.03204274223340537
2025,market_probability,40-50%,ALL,38,25,13,0.6578947368421053,15.545791855203618,0.4090997856632531,0.44836114117308346,0.47937687509824284,0.03101573392515931
2025,market_probability,50-60%,ALL,68,47,21,0.6911764705882353,12.206611208044238,0.17950898835359175,0.5582399483856831,0.5911098259970845,0.03286987761140124
2025,market_probability,60-70%,ALL,77,46,31,0.5974025974025974,-10.230910362731745,-0.13286896574976292,0.6572199204043329,0.6856544016072397,0.028434481202906696
