period,threshold,threshold_pct,bets,wins,losses,win_rate,profit_units,roi
2025_to_2026_03_28,0.0,0.0,505,320,185,0.6336633663366337,42.21750022659984,0.08359901034970266
2025_to_2026_03_28,0.005,0.5,447,279,168,0.6241610738255033,18.076895578542462,0.04044048227861848
2025_to_2026_03_28,0.01,1.0,399,248,151,0.6215538847117794,8.015110668441885,0.020087996662761617
2025_to_2026_03_28,0.015,1.5,344,215,129,0.625,10.055955596049415,0.029232429058283185
2025_to_2026_03_28,0.02,2.0,300,196,104,0.6533333333333333,23.778970438665407,0.07926323479555136
2025_to_2026_03_28,0.025,2.5,258,163,95,0.6317829457364341,11.40533291311801,0.04420671671751166
2025_to_2026_03_28,0.03,3.0,194,120,74,0.6185567010309279,7.825581546761803,0.04033804921011239
2025_to_2026_03_28,0.035,3.5000000000000004,149,94,55,0.6308724832214765,13.956166143996638,0.09366554459058146
2025_to_2026_03_28,0.04,4.0,116,72,44,0.6206896551724138,11.465458376657033,0.09884015841945717
2025_to_2026_03_28,0.045,4.5,86,54,32,0.627906976744186,9.122113223836617,0.1060710839981002
2025_to_2026_03_28,0.05,5.0,56,33,23,0.5892857142857143,5.021032217624415,0.08966128960043598
2025_to_2026_03_28,0.055,5.5,40,23,17,0.575,3.69437532948294,0.0923593832370735
2025_to_2026_03_28,0.06,6.0,31,20,11,0.6451612903225806,7.231373886481496,0.23327012537037084
2025_to_2026_03_28,0.065,6.5,24,15,9,0.625,5.619228695352059,0.23413452897300246
2025_to_2026_03_28,0.07,7.000000000000001,19,11,8,0.5789473684210527,3.653462966612979,0.19228752455857787
2025_to_2026_03_28,0.075,7.5,17,10,7,0.5882352941176471,2.8934629666129785,0.1702037039184105
2025_to_2026_03_28,0.08,8.0,13,10,3,0.7692307692307693,6.8934629666129785,0.5302663820471522
2025_to_2026_03_28,0.085,8.5,9,6,3,0.6666666666666666,3.5494001278097302,0.3943777919788589
2025_to_2026_03_28,0.09,9.0,9,6,3,0.6666666666666666,3.5494001278097302,0.3943777919788589
2025_to_2026_03_28,0.095,9.5,6,6,0,1.0,6.54940012780973,1.0915666879682884
2025_to_2026_03_28,0.1,10.0,5,5,0,1.0,6.01176571920758,1.202353143841516
2025,0.0,0.0,392,249,143,0.6352040816326531,44.494284735925326,0.11350582840797277
2025,0.005,0.5,349,217,132,0.6217765042979942,21.257557156425868,0.06090990589233773
2025,0.01,1.0,308,192,116,0.6233766233766234,12.151338962287202,0.039452399228205204
2025,0.015,1.5,264,165,99,0.625,12.283509845488894,0.04652844638442763
2025,0.02,2.0,231,151,80,0.6536796536796536,25.31929335204323,0.10960733052832566
2025,0.025,2.5,196,123,73,0.6275510204081632,12.756564917404923,0.06508451488471899
2025,0.03,3.0,148,92,56,0.6216216216216216,11.642592954716687,0.07866616861295059
2025,0.035,3.5000000000000004,121,75,46,0.6198347107438017,13.647811833014373,0.1127918333306973
2025,0.04,4.0,94,58,36,0.6170212765957447,11.513941672512372,0.12248874119694013
2025,0.045,4.5,70,43,27,0.6142857142857143,7.448270649045193,0.10640386641493133
2025,0.05,5.0,45,27,18,0.6,5.366553913725273,0.1192567536383394
2025,0.055,5.5,33,18,15,0.5454545454545454,1.601694778392786,0.048536205405842
2025,0.06,6.0,26,17,9,0.6538461538461539,6.952344129042137,0.26739785111700526
2025,0.065,6.5,19,12,7,0.631578947368421,5.3401989379126995,0.28106310199540524
2025,0.07,7.000000000000001,14,8,6,0.5714285714285714,3.3744332091736196,0.2410309435124014
2025,0.075,7.5,12,7,5,0.5833333333333334,2.6144332091736184,0.21786943409780155
2025,0.08,8.0,8,7,1,0.875,6.614433209173619,0.8268041511467024
