logit_decile,n,wins,win_rate,mean_abs_logit_residual,mean_raw_implied_p,mean_decimal_odds,profit_units,roi
1,175.0,82.0,0.4685714285714286,0.010897103544801497,0.5329508359628117,2.2384692029974285,-27.68871270245799,-0.15822121544261708
2,174.0,93.0,0.5344827586206896,0.034201608941690054,0.5379566806451087,2.107421204917345,1.639283453420699,0.009421169272532753
3,174.0,91.0,0.5229885057471264,0.057520983963651545,0.551895897755357,2.088941008271576,-13.043402562603772,-0.07496208369312513
4,174.0,94.0,0.5402298850574713,0.08018065575490704,0.5374268752514801,2.2020089665323326,4.056841592087601,0.023315181563721844
5,174.0,87.0,0.5,0.10105899618663304,0.5372858675236519,2.120092165241205,-10.759780079369076,-0.06183781654809814
6,174.0,100.0,0.5747126436781609,0.12456316377261398,0.5587235333517995,2.1003092813187583,3.170570223205023,0.018221667949454155
7,174.0,101.0,0.5804597701149425,0.15332231739261404,0.5926921382129532,1.9561887050324744,-8.636565193628215,-0.04963543214728859
8,174.0,103.0,0.5919540229885057,0.18779310836754762,0.5566163177600084,2.1234626643345096,0.2361816124071383,0.0013573655885467718
9,174.0,115.0,0.6609195402298851,0.23431782807344634,0.6332244629321693,1.741988184425433,3.913339221720908,0.0224904552972466
10,175.0,121.0,0.6914285714285714,0.36555746405797657,0.6235480319918872,1.7654621980886174,23.716734755461104,0.13552419860263487
