feature,mean_abs_shap,mean_shap,fold,n
reach_diff,0.051936235,-0.043476608,2021,469
recent_form_recent_avg_fight_time_diff,0.0020384183,-6.264623e-05,2021,469
age_diff,0.020485854,0.001061828,2021,469
ewm_sapm_diff,0.061710436,-0.005646321,2021,469
ewm_recent_sapm_diff,0.0065659927,-0.0005651153,2021,469
style_ko_finisher_score_diff,0.004639419,-0.0005540547,2021,469
ewm_td_acc_diff,0.025474764,0.0008181182,2021,469
recent_finish_rate_diff,0.0,0.0,2021,469
chin_risk_diff,0.0095975725,-0.0011903198,2021,469
recent_form_avg_opponent_elo_diff,0.01957902,-0.0016281724,2021,469
recent_avg_fight_time_diff,0.02159668,-0.0010011714,2021,469
aggression_index_diff,0.007238629,0.00036208678,2021,469
age_squared_diff,0.025927853,0.0024220843,2021,469
sapm_diff,0.003939459,-0.00013544226,2021,469
ewm_kd_avg_diff,0.01855627,-0.0019719205,2021,469
style_all_round_finisher_score_diff,0.0029601469,-0.0003336148,2021,469
recent_form_kd_absorbed_avg_diff,0.019266566,0.001821309,2021,469
ewm_recent_splm_diff,0.015924603,0.0022742583,2021,469
elo_diff,0.0040284237,-0.00026829762,2021,469
ewm_elo_diff,0.0047653886,-0.00017507173,2021,469
ewm_recent_td_avg_diff,0.006145442,-0.0004635872,2021,469
days_since_last_fight_diff,0.0015957913,-4.4747667e-05,2021,469
td_avg_diff,0.0054432014,0.00034422422,2021,469
style_score_spread_diff,0.0032145043,-1.781613e-05,2021,469
ko_dependency_diff,0.0022077775,-0.000119979995,2021,469
recent_form_avg_fight_time_diff,0.002949165,-0.00013036052,2021,469
wrestling_mismatch_diff,0.009150913,-3.47568e-05,2021,469
win_pct_diff,0.017315287,-0.00034964917,2021,469
recent_form_ko_rate_diff,0.007199586,6.2130464e-05,2021,469
recent_form_worst_loss_elo_diff,0.0044192113,-0.0001738522,2021,469
age_x_career_ko_losses_diff,0.005366516,-0.00051215134,2021,469
ewm_str_def_diff,0.008939377,3.5405188e-05,2021,469
losses_diff,0.0030008338,-0.00040699748,2021,469
ewm_recent_win_pct_diff,0.0038533942,-0.00025218265,2021,469
avg_opponent_elo_diff,0.007384527,-0.00019164264,2021,469
ewm_td_avg_diff,0.006344334,0.00011834767,2021,469
avg_fight_time_diff,0.0,0.0,2021,469
ewm_days_since_last_fight_diff,0.0030252086,-0.00011203666,2021,469
pressure_striking_adv_diff,0.006385394,-0.0006705423,2021,469
weight_diff,0.005542208,-0.0006363554,2021,469
ctrl_against_per_min_diff,0.0,0.0,2021,469
ewm_finish_loss_rate_diff,0.002792313,-0.0001572184,2021,469
ewm_win_pct_diff,0.0,0.0,2021,469
victory_concentration_index_diff,0.0027373205,9.520681e-05,2021,469
recent_form_td_acc_diff,0.012889046,-0.00039173278,2021,469
sub_avg_diff,0.0016070883,-6.871368e-05,2021,469
recent_form_best_win_elo_diff,0.0,0.0,2021,469
ewm_best_win_elo_diff,0.0017318425,0.00017857445,2021,469
style_primary_score_diff,0.0,0.0,2021,469
recent_form_recent_finish_rate_diff,0.003633298,0.00010859397,2021,469
market_overround,0.0,0.0,2021,469
reach_diff,0.04633863,-0.040873025,2022,477
recent_form_recent_avg_fight_time_diff,0.0028579193,0.00033029227,2022,477
age_diff,0.01831269,0.00032154366,2022,477
ewm_sapm_diff,0.04499312,-0.00088832056,2022,477
ewm_recent_sapm_diff,0.013714658,-0.00074436655,2022,477
style_ko_finisher_score_diff,0.012494854,0.0002816919,2022,477
ewm_td_acc_diff,0.031870343,0.0014649392,2022,477
recent_finish_rate_diff,0.0,0.0,2022,477
chin_risk_diff,0.014882598,-0.0016957459,2022,477
recent_form_avg_opponent_elo_diff,0.011795614,0.0014924798,2022,477
recent_avg_fight_time_diff,0.0136796795,0.000398186,2022,477
aggression_index_diff,0.017730908,-0.0007105512,2022,477
age_squared_diff,0.029523157,0.0009246683,2022,477
sapm_diff,0.0,0.0,2022,477
ewm_kd_avg_diff,0.017847601,6.082857e-05,2022,477
style_all_round_finisher_score_diff,0.0050841123,0.00041507307,2022,477
recent_form_kd_absorbed_avg_diff,0.015530442,-0.0005923573,2022,477
ewm_recent_splm_diff,0.018734125,0.0021339608,2022,477
elo_diff,0.003841187,-0.00028820682,2022,477
ewm_elo_diff,0.0,0.0,2022,477
ewm_recent_td_avg_diff,0.0061569503,-0.00027813765,2022,477
days_since_last_fight_diff,0.0018042179,-0.00025758406,2022,477
td_avg_diff,0.010026361,-0.00026373804,2022,477
style_score_spread_diff,0.002662535,8.558183e-05,2022,477
ko_dependency_diff,0.0020144694,8.3837585e-05,2022,477
recent_form_avg_fight_time_diff,0.0,0.0,2022,477
wrestling_mismatch_diff,0.0056555583,-0.00032123626,2022,477
win_pct_diff,0.022613056,0.002667646,2022,477
recent_form_ko_rate_diff,0.0038054194,-0.00023143555,2022,477
recent_form_worst_loss_elo_diff,0.0049909786,-0.001125387,2022,477
age_x_career_ko_losses_diff,0.008541584,-0.0010732503,2022,477
ewm_str_def_diff,0.0044158637,5.8856705e-05,2022,477
losses_diff,0.0,0.0,2022,477
ewm_recent_win_pct_diff,0.0,0.0,2022,477
avg_opponent_elo_diff,0.0076429294,-0.00045045486,2022,477
ewm_td_avg_diff,0.006369525,-0.00049109303,2022,477
avg_fight_time_diff,0.0008983391,-0.00024211872,2022,477
ewm_days_since_last_fight_diff,0.0029538954,-0.00032604256,2022,477
pressure_striking_adv_diff,0.0057097618,-0.00014335952,2022,477
weight_diff,0.0012969376,-0.00018174505,2022,477
ctrl_against_per_min_diff,0.008134348,0.0004936111,2022,477
ewm_finish_loss_rate_diff,0.0029944966,-0.0003093149,2022,477
ewm_win_pct_diff,0.0,0.0,2022,477
victory_concentration_index_diff,0.0,0.0,2022,477
recent_form_td_acc_diff,0.004668947,-0.00037643572,2022,477
sub_avg_diff,0.0,0.0,2022,477
recent_form_best_win_elo_diff,0.0018656836,-0.00011753008,2022,477
ewm_best_win_elo_diff,0.0038149343,-0.0002862806,2022,477
style_primary_score_diff,0.0,0.0,2022,477
recent_form_recent_finish_rate_diff,0.0034403745,-0.00015229071,2022,477
market_overround,0.0,0.0,2022,477
reach_diff,0.047301147,-0.037057035,2023,415
recent_form_recent_avg_fight_time_diff,0.0,0.0,2023,415
age_diff,0.016604548,0.0008762245,2023,415
ewm_sapm_diff,0.0394378,-0.002633718,2023,415
ewm_recent_sapm_diff,0.026244579,-0.0012273925,2023,415
style_ko_finisher_score_diff,0.013514257,-0.000646264,2023,415
ewm_td_acc_diff,0.02449789,-0.0011869104,2023,415
recent_finish_rate_diff,0.0,0.0,2023,415
chin_risk_diff,0.018402448,-0.0029481396,2023,415
recent_form_avg_opponent_elo_diff,0.018173767,-0.0011559394,2023,415
recent_avg_fight_time_diff,0.017988207,-0.0010496767,2023,415
aggression_index_diff,0.013079821,-0.0006922969,2023,415
age_squared_diff,0.035560284,0.0027715042,2023,415
sapm_diff,0.0,0.0,2023,415
ewm_kd_avg_diff,0.014316137,-0.0011503629,2023,415
style_all_round_finisher_score_diff,0.004584477,0.0002335236,2023,415
recent_form_kd_absorbed_avg_diff,0.011606708,-0.00085079327,2023,415
ewm_recent_splm_diff,0.012152543,0.0017289906,2023,415
elo_diff,0.0027623607,-0.00021325314,2023,415
ewm_elo_diff,0.0037320694,-0.00027179476,2023,415
ewm_recent_td_avg_diff,0.0059954207,-1.28320545e-08,2023,415
days_since_last_fight_diff,0.001341644,3.3800322e-06,2023,415
td_avg_diff,0.01707305,-0.00084980286,2023,415
style_score_spread_diff,0.0,0.0,2023,415
ko_dependency_diff,0.003935359,0.0002005552,2023,415
recent_form_avg_fight_time_diff,0.0,0.0,2023,415
wrestling_mismatch_diff,0.008142547,-0.00014064166,2023,415
win_pct_diff,0.0032198096,-0.00024194848,2023,415
recent_form_ko_rate_diff,0.0,0.0,2023,415
recent_form_worst_loss_elo_diff,0.0067440434,-0.0007369619,2023,415
age_x_career_ko_losses_diff,0.005619543,-0.0013128304,2023,415
ewm_str_def_diff,0.0,0.0,2023,415
losses_diff,0.0,0.0,2023,415
ewm_recent_win_pct_diff,0.0,0.0,2023,415
avg_opponent_elo_diff,0.01100891,0.00057530234,2023,415
ewm_td_avg_diff,0.0034630245,-0.00018464608,2023,415
avg_fight_time_diff,0.0,0.0,2023,415
