feature,mean_abs_shap,mean_shap,n,rank
ewm_sapm_diff,0.04916369710439692,-0.0021262955442193925,1742,1
reach_diff,0.04629756156520878,-0.03919411272245719,1742,2
age_diff,0.0392774856140373,0.002025527780689513,1742,3
ewm_td_acc_diff,0.02781209498058457,-0.0004018723685882481,1742,4
ewm_kd_avg_diff,0.016504828096460977,-0.00024065318757702354,1742,5
ewm_recent_sapm_diff,0.016334857030351455,-0.0006260377142137829,1742,6
recent_avg_fight_time_diff,0.015196969395826317,-0.00044096343488732927,1742,7
style_ko_finisher_score_diff,0.014921872484969269,-0.0005992054097230378,1742,8
age_squared_diff,0.014124379715434223,0.0005674738135941575,1742,9
recent_form_avg_opponent_elo_diff,0.013508940089374233,2.7829651259972224e-05,1742,10
recent_form_kd_absorbed_avg_diff,0.012658741268603052,2.6881785413205418e-06,1742,11
aggression_index_diff,0.011131560290660003,-0.0002255017725359456,1742,12
win_pct_diff,0.010158223176993062,0.0005454725380580612,1742,13
chin_risk_diff,0.00992337287452829,-0.0010355065700231305,1742,14
ewm_recent_splm_diff,0.009509705077647205,0.0012619971745699884,1742,15
td_avg_diff,0.009210454376230507,-0.00024546799089558566,1742,16
avg_opponent_elo_diff,0.009070892553497427,-0.00014880137188182598,1742,17
wrestling_mismatch_diff,0.008909091971714122,-0.00028721386022506504,1742,18
whr_logit_diff,0.00745198871107958,-0.0005670499483478415,1742,19
recent_form_worst_loss_elo_diff,0.007222686563837679,-0.0006131070663876635,1742,20
ewm_td_avg_diff,0.006347508705408236,-0.0003212732567647568,1742,21
ewm_str_def_diff,0.006243652724203826,0.00030892138655674905,1742,22
recent_form_td_acc_diff,0.00614117485528275,-0.0004034240132125028,1742,23
recent_form_ko_rate_diff,0.005977202963349158,-0.0004363283162121795,1742,24
style_score_spread_diff,0.005394823743745762,-4.9075535840721614e-05,1742,25
recent_form_recent_avg_fight_time_diff,0.004965130863034933,7.16388354801822e-05,1742,26
ewm_days_since_last_fight_diff,0.0046876230820838095,-0.00038650049908187166,1742,27
sapm_diff,0.004501823345108341,-0.0001844079903327998,1742,28
recent_form_avg_fight_time_diff,0.004132709518849131,-0.0001381595226605642,1742,29
ctrl_against_per_min_diff,0.004111003723710853,0.000279558351638713,1742,30
pressure_striking_adv_diff,0.003957845245105194,-0.000380025255540867,1742,31
age_x_career_ko_losses_diff,0.00391617315114571,-0.0006647221209432173,1742,32
weight_diff,0.0034714717068174803,-0.0003895624147126094,1742,33
ewm_finish_loss_rate_diff,0.003456352196324266,-0.0003821365272623073,1742,34
style_all_round_finisher_score_diff,0.003350194974978327,0.00019689461602064877,1742,35
ko_dependency_diff,0.0033257753161492144,0.00017361912479940653,1742,36
style_primary_score_diff,0.0020709495687264903,0.00010339853441477438,1742,37
elo_diff,0.0018574856055941086,-0.00010499845063217609,1742,38
days_since_last_fight_diff,0.0016528713735019366,-0.0001394259198071557,1742,39
ewm_best_win_elo_diff,0.0016476794527391834,0.00015964836899183657,1742,40
ewm_recent_win_pct_diff,0.0014481620462643396,-6.463747053491604e-05,1742,41
avg_fight_time_diff,0.0013866841204434497,-0.00018933374219788954,1742,42
recent_finish_rate_diff,0.001366310916390873,8.558573927858632e-05,1742,43
ewm_win_pct_diff,0.0007999467010685723,1.2382899435615567e-05,1742,44
losses_diff,0.0007992540324431867,-0.00010842634870186363,1742,45
ewm_recent_td_avg_diff,0.0007183311857822021,1.0182737799449028e-05,1742,46
recent_form_best_win_elo_diff,0.0007004019503303121,-3.3782445691979304e-05,1742,47
ewm_elo_diff,0.0006836074246435793,-3.310368675952425e-05,1742,48
market_overround,0.0005615393717502737,0.0005334708878415478,1742,49
recent_form_recent_finish_rate_diff,0.000546620322025705,2.138244509953582e-05,1742,50
sub_avg_diff,0.00042666000776243076,-1.8229743695136772e-05,1742,51
victory_concentration_index_diff,0.0,0.0,1742,52
