logit_threshold,price_edge_threshold,bets,fight_coverage,hit_rate,mean_model_p,mean_raw_p,calibration_gap,mean_price_edge,mean_signed_logit_residual,mean_model_implied_ev_margin,cards,bets_per_card,selection_score
0.2,0.0,723,0.45074812967581046,0.24896265560165975,0.2720587475284584,0.25568699918040727,-0.023096091926798623,0.016371748348051055,0.3533049647305987,0.07213590023825633,168,4.303571428571429,"(0, 0.031684625791064625, 0.023096091926798623, 4.303571428571429, -723)"
0.2,0.01,423,0.263715710723192,0.2647754137115839,0.2947942678845239,0.27035371901959454,-0.03001885417293998,0.02444054886492932,0.3970339887363632,0.10437170541541221,159,2.660377358490566,"(0, 0.036541612626149744, 0.03001885417293998, 2.660377358490566, -423)"
0.2,0.02,210,0.13092269326683292,0.28095238095238095,0.3198723859730221,0.28546299714371837,-0.038920005020641135,0.034409388829303666,0.44473281132801495,0.13937177005609178,121,1.7355371900826446,"(0, 0.08396420145736022, 0.038920005020641135, 1.7355371900826446, -210)"
0.2,0.03,98,0.06109725685785536,0.2653061224489796,0.3376954683691871,0.29148750822404496,-0.07238934592020752,0.046207960145142175,0.4960733431104922,0.18089140601208878,74,1.3243243243243243,"(1, 0.15247280776500702, 0.07238934592020752, 1.3243243243243243, -98)"
0.2,0.05,32,0.0199501246882793,0.34375,0.3622143166139722,0.2977913817250538,-0.018464316613972187,0.06442293488891836,0.5599069654099205,0.2378804018678651,28,1.1428571428571428,"(1, 0.156119205057621, 0.018464316613972187, 1.1428571428571428, -32)"
0.2,0.075,5,0.003117206982543641,0.0,0.3493227928876877,0.2632287472656055,-0.3493227928876877,0.08609404562208214,0.632250670446527,0.35145891696214665,5,1.0,"(1, 0.3493227928876877, 0.3493227928876877, 1.0, -5)"
0.2,0.1,0,0.0,,,,,,,,0,,"(1, nan, nan, nan, 0)"
0.25,0.0,668,0.4164588528678304,0.25149700598802394,0.27691553569884003,0.2595886851757928,-0.025418529710816096,0.01732685052304714,0.3631801220037623,0.07603415610040408,167,4.0,"(0, 0.030687371729522628, 0.025418529710816096, 4.0, -668)"
0.25,0.01,421,0.26246882793017456,0.2660332541567696,0.29493940189799334,0.27051989274576904,-0.028906147741223742,0.024419509152224288,0.3977550746385398,0.10432422517542023,159,2.647798742138365,"(0, 0.036541612626149744, 0.028906147741223742, 2.647798742138365, -421)"
0.25,0.02,209,0.13029925187032418,0.2822966507177033,0.31990150586840066,0.28555293173930235,-0.037604855150697336,0.034348574129098274,0.445677166281446,0.1391931721645139,121,1.7272727272727273,"(0, 0.08396420145736022, 0.037604855150697336, 1.7272727272727273, -209)"
0.25,0.03,97,0.060473815461346635,0.26804123711340205,0.3379419543540355,0.291743393188554,-0.06990071724063346,0.046198561165481454,0.49863737112131234,0.18093462948235908,73,1.3287671232876712,"(1, 0.15247280776500702, 0.06990071724063346, 1.3287671232876712, -97)"
0.25,0.05,32,0.0199501246882793,0.34375,0.3622143166139722,0.2977913817250538,-0.018464316613972187,0.06442293488891836,0.5599069654099205,0.2378804018678651,28,1.1428571428571428,"(1, 0.156119205057621, 0.018464316613972187, 1.1428571428571428, -32)"
0.25,0.075,5,0.003117206982543641,0.0,0.3493227928876877,0.2632287472656055,-0.3493227928876877,0.08609404562208214,0.632250670446527,0.35145891696214665,5,1.0,"(1, 0.3493227928876877, 0.3493227928876877, 1.0, -5)"
0.25,0.1,0,0.0,,,,,,,,0,,"(1, nan, nan, nan, 0)"
0.3,0.0,509,0.31733167082294267,0.2770137524557957,0.2979165120214985,0.27718737575489455,-0.02090275956570281,0.020729136266603894,0.3900214663648159,0.08900462432766756,161,3.1614906832298137,"(0, 0.02883714774421825, 0.02090275956570281, 3.1614906832298137, -509)"
