group,method_family,bets,wins,hit_rate,profit_units,roi,avg_model_prob,avg_decimal_odds,avg_logit_residual
ALL,DEC,154,62,0.4025974025974026,52.9569778048039,0.34387647925197334,0.39789007807319815,4.182753291362032,0.36848495577151663
ALL,KO_TKO,10,2,0.2,-0.40000000000000036,-0.040000000000000036,0.2634196877479553,7.959999999999999,0.33825394665940484
ALL,SUB,1,0,0.0,-1.0,-1.0,0.2022536098957061,5.6,0.3147745330042351
FAVORITE,ALL,115,56,0.48695652173913045,59.7569778048039,0.5196258939548165,0.44412910044193266,3.797339190171764,0.36562030534776674
FAVORITE,DEC,108,54,0.5,57.156977804803894,0.5292312759704064,0.45469115550319356,3.4971667302754894,0.36722084954829276
FAVORITE,KO_TKO,6,2,0.3333333333333333,3.6,0.6,0.29432469109694165,8.9,0.34528480512888815
FAVORITE,SUB,1,0,0.0,-1.0,-1.0,0.2022536098957061,5.6,0.3147745330042351
UNDERDOG,ALL,50,8,0.16,-8.2,-0.16399999999999998,0.26073351919651033,5.853,0.36795324146837316
UNDERDOG,DEC,46,8,0.17391304347826086,-4.200000000000002,-0.091304347826087,0.2645310267158177,5.792391304347825,0.37145285733908556
UNDERDOG,KO_TKO,4,0,0.0,-4.0,-1.0,0.21706218272447583,6.55,0.3277076589551798
