date,year,event_name,bets,wins,profit_units,roi,avg_signed_logit_residual,avg_price_edge,avg_model_prob,avg_decimal_odds,cumulative_profit_units
2025-01-11,2025,UFC Fight Night: Dern vs. Ribas 2,9,3,-3.2647186147186145,-0.3627465127465127,0.3121981170540239,0.1339102400704333,0.5867326839102639,2.5092026253316577,-3.2647186147186145
2025-01-18,2025,UFC 311: Makhachev vs. Moicano,9,3,-0.5500000000000007,-0.06111111111111119,0.3139729271606529,0.04754226377180446,0.39584966500600177,3.3484126984126985,-3.814718614718615
2025-02-01,2025,UFC Fight Night: Adesanya vs. Imavov,11,2,0.2142857142857144,0.01948051948051949,0.29460421310175455,0.026368664984753418,0.29063000259074295,5.055844155844156,-3.6004329004329008
2025-02-08,2025,UFC 312: Du Plessis vs. Strickland 2,7,4,11.7,1.6714285714285713,0.29160366139971455,0.03190784882539451,0.2970546952315739,5.371428571428571,8.099567099567098
2025-02-15,2025,UFC Fight Night: Cannonier vs. Rodrigues,8,1,-6.230769230769231,-0.7788461538461539,0.2979222519124276,0.08946132378948154,0.42168925143778324,4.671153846153846,1.8687978687978672
2025-02-22,2025,UFC Fight Night: Cejudo vs. Song,8,1,-5.85,-0.73125,0.3129509562631292,0.07956538388576612,0.33495243452489376,4.9125,-3.9812021312021324
2025-03-01,2025,UFC Fight Night: Kape vs. Almabayev,4,3,7.6,1.9,0.29058110079474037,0.10355984926037758,0.37709545344114304,3.875,3.6187978687978672
2025-03-08,2025,UFC 313: Pereira vs. Ankalaev,7,2,0.3500000000000001,0.05000000000000001,0.28213795891828275,0.03395741240056702,0.26650882618767874,5.621428571428572,3.9687978687978673
2025-03-15,2025,UFC Fight Night: Vettori vs. Dolidze 2,7,1,-4.9,-0.7000000000000001,0.3538097274603131,0.08933595614650712,0.47378188584532055,3.912807881773399,-0.931202131202133
2025-03-22,2025,UFC Fight Night: Edwards vs. Brady,8,4,6.20909090909091,0.7761363636363637,0.34498965319392766,0.039035389832044576,0.39379881508648396,3.1761363636363638,5.277888777888776
2025-03-29,2025,UFC Fight Night: Moreno vs. Erceg,9,4,-0.9641025641025642,-0.10712250712250714,0.2981693076354681,0.11341532324602041,0.48105670428938335,7.0762108262108265,4.313786213786212
2025-04-05,2025,UFC Fight Night: Emmett vs. Murphy,6,3,3.6060606060606064,0.6010101010101011,0.33260321882311733,0.07933514353866339,0.39666162927945453,4.101010101010101,7.919846819846819
2025-04-12,2025,UFC 314: Volkanovski vs. Lopes,9,4,2.0999999999999996,0.23333333333333328,0.3005419184079656,0.08920316891659368,0.34842690494325423,4.455555555555555,10.01984681984682
2025-04-26,2025,UFC Fight Night: Machado Garry vs. Prates,12,4,3.750000000000001,0.31250000000000006,0.3265748878551859,0.07869522436033123,0.34990914165973663,5.738257575757576,13.76984681984682
2025-05-03,2025,UFC Fight Night: Sandhagen vs. Figueiredo,10,2,-5.449999999999999,-0.5449999999999999,0.29333091868111466,0.04954279777976474,0.3450410835444927,5.284074074074074,8.31984681984682
2025-05-10,2025,UFC 315: Muhammad vs. Della Maddalena,5,1,-1.0999999999999996,-0.21999999999999992,0.27863245832906836,0.039205144153228774,0.2991426050662994,4.79047619047619,7.21984681984682
2025-05-17,2025,UFC Fight Night: Burns vs. Morales,4,0,-4.0,-1.0,0.23711505611518363,0.16681641166927721,0.41921618580818176,4.4625,3.21984681984682
2025-05-31,2025,UFC Fight Night: Blanchfield vs. Barber,3,0,-3.0,-1.0,0.32320063667714843,0.2030639715063105,0.5230801602204641,3.4,0.2198468198468202
2025-06-07,2025,UFC 316: Dvalishvili vs. O'Malley 2,8,2,-2.4,-0.3,0.32705739025963776,0.06537326233738082,0.39509879145771265,4.505092592592592,-2.1801531801531797
2025-06-14,2025,UFC Fight Night: Usman vs. Buckley,8,4,2.7761904761904765,0.34702380952380957,0.2985843520954511,0.04364607258655445,0.3623844236135483,3.9470238095238095,0.5960372960372968
2025-06-21,2025,UFC Fight Night: Hill vs. Rountree Jr.,9,3,4.1,0.4555555555555555,0.28748977888397637,0.04779149060836992,0.3167734344800313,4.161111111111111,4.6960372960372965
2025-06-28,2025,UFC 317: Topuria vs. Oliveira,7,2,1.2999999999999998,0.1857142857142857,0.2942885592642289,0.0877447512743748,0.3325851314834186,5.764285714285714,5.996037296037296
2025-07-19,2025,UFC 318: Holloway vs. Poirier 3,1,0,-1.0,-1.0,0.29846413005537964,0.02193655354796714,0.21061579883098602,5.3,4.996037296037296
2025-07-26,2025,UFC Fight Night: Whittaker vs. De Ridder,8,5,16.95,2.11875,0.37040553222000505,0.054717700335011124,0.31377681717276573,4.93125,21.946037296037296
2025-08-02,2025,UFC Fight Night: Taira vs. Park,8,2,-1.7000000000000002,-0.21250000000000002,0.3178549922277263,0.050185719084232736,0.3093749061226845,7.6125,20.246037296037297
