year,method_market_fights,complete_six_price_fights,missing_price_fights,duplicate_price_fights,complete_price_fights_with_feature_view,missing_prefight_count_fights,cold_start_exclusions,betting_eligible_complete_fights
2012,170,70,100,0,70,0,18,52
2013,346,314,32,0,314,0,148,166
2014,425,296,129,0,296,0,130,166
2015,432,417,15,0,417,0,162,255
2016,437,428,9,0,428,0,142,286
2017,405,394,11,0,394,0,149,245
2018,438,421,17,0,419,0,149,270
2019,458,444,14,0,443,0,184,259
2020,416,408,8,0,402,0,162,240
2021,471,452,19,0,450,0,147,303
2022,481,433,48,0,433,0,140,293
2023,424,384,40,0,384,0,140,244
2024,386,337,49,0,337,0,92,245
2025,384,379,5,0,376,0,123,253
2026,114,113,1,0,113,0,45,68
