family,feature_count_requested,max_depth,rounds,binary_log_loss,market_binary_log_loss,delta_vs_market,candidate
DEC,75,1,150,0.5179079785402642,0.5221835594271522,-0.004275580886888064,DEC_top75_d1_r150
DEC,140,1,150,0.5180698150288268,0.5221835594271522,-0.0041137443983254585,DEC_top140_d1_r150
DEC,35,1,150,0.5185875840828649,0.5221835594271522,-0.00359597534428735,DEC_top35_d1_r150
DEC,75,1,300,0.5188529802374334,0.5221835594271522,-0.0033305791897187964,DEC_top75_d1_r300
DEC,140,1,300,0.5188779413577261,0.5221835594271522,-0.003305618069426086,DEC_top140_d1_r300
DEC,75,2,150,0.5192044253715334,0.5221835594271522,-0.0029791340556187818,DEC_top75_d2_r150
DEC,140,2,150,0.519226143513058,0.5221835594271522,-0.0029574159140942635,DEC_top140_d2_r150
DEC,35,1,300,0.5195109892303783,0.5221835594271522,-0.0026725701967739157,DEC_top35_d1_r300
DEC,35,2,150,0.5198113058601255,0.5221835594271522,-0.0023722535670267497,DEC_top35_d2_r150
DEC,75,2,300,0.5216782014841836,0.5221835594271522,-0.0005053579429685762,DEC_top75_d2_r300
DEC,140,2,300,0.5216937096089581,0.5221835594271522,-0.0004898498181941102,DEC_top140_d2_r300
DEC,35,2,300,0.5220368735374823,0.5221835594271522,-0.00014668588966992857,DEC_top35_d2_r300
KO_TKO,140,1,150,0.4148576744401692,0.41666712571247827,-0.0018094512723090816,KO_TKO_top140_d1_r150
KO_TKO,75,1,150,0.4150680412423991,0.41666712571247827,-0.0015990844700791707,KO_TKO_top75_d1_r150
KO_TKO,35,1,150,0.41534311244096517,0.41666712571247827,-0.0013240132715131026,KO_TKO_top35_d1_r150
KO_TKO,140,2,150,0.41579117037300756,0.41666712571247827,-0.0008759553394707131,KO_TKO_top140_d2_r150
KO_TKO,140,1,300,0.41602033689626006,0.41666712571247827,-0.0006467888162182134,KO_TKO_top140_d1_r300
KO_TKO,75,1,300,0.41628384720803474,0.41666712571247827,-0.0003832785044435294,KO_TKO_top75_d1_r300
KO_TKO,35,1,300,0.4163266781407405,0.41666712571247827,-0.0003404475717377897,KO_TKO_top35_d1_r300
KO_TKO,35,2,150,0.41712942175836704,0.41666712571247827,0.00046229604588876594,KO_TKO_top35_d2_r150
KO_TKO,75,2,150,0.4173674746115945,0.41666712571247827,0.0007003488991162432,KO_TKO_top75_d2_r150
KO_TKO,140,2,300,0.4182073508433702,0.41666712571247827,0.0015402251308919146,KO_TKO_top140_d2_r300
KO_TKO,35,2,300,0.42030070109985396,0.41666712571247827,0.003633575387375687,KO_TKO_top35_d2_r300
KO_TKO,75,2,300,0.42032848997747674,0.41666712571247827,0.003661364264998468,KO_TKO_top75_d2_r300
SUB,75,1,150,0.2612557859694171,0.263205155764401,-0.0019493697949838906,SUB_top75_d1_r150
SUB,35,1,150,0.2613824544533189,0.263205155764401,-0.0018227013110820867,SUB_top35_d1_r150
SUB,140,1,150,0.26148556949243157,0.263205155764401,-0.0017195862719694421,SUB_top140_d1_r150
SUB,35,1,300,0.2616217368031457,0.263205155764401,-0.0015834189612553007,SUB_top35_d1_r300
SUB,75,1,300,0.26176034676101273,0.263205155764401,-0.001444809003388281,SUB_top75_d1_r300
SUB,75,2,150,0.26192554671881035,0.263205155764401,-0.0012796090455906572,SUB_top75_d2_r150
SUB,140,1,300,0.2620706649704341,0.263205155764401,-0.0011344907939669358,SUB_top140_d1_r300
SUB,35,2,150,0.2621787503041615,0.263205155764401,-0.0010264054602395212,SUB_top35_d2_r150
SUB,140,2,150,0.26226845135471416,0.263205155764401,-0.0009367044096868504,SUB_top140_d2_r150
SUB,75,2,300,0.26342751214880356,0.263205155764401,0.00022235638440254446,SUB_top75_d2_r300
SUB,35,2,300,0.2636090184639886,0.263205155764401,0.00040386269958758714,SUB_top35_d2_r300
SUB,140,2,300,0.26445410059254576,0.263205155764401,0.001248944828144749,SUB_top140_d2_r300
