fold,model,train_fights,valid_fights,features,log_loss,brier,auc,accuracy
2020,coinflip,5366,444,0,0.6931471805599454,0.25,0.5,0.5
2020,logistic,5366,444,1669,0.7483228441774419,0.2627880468745068,0.6082501420339258,0.5720720720720721
2020,xgboost,5366,444,1669,0.6606518011437411,0.23426383502980924,0.6446311176040906,0.6081081081081081
2021,coinflip,5810,497,0,0.6931471805599454,0.25,0.5,0.5
2021,logistic,5810,497,1669,0.8087973945684053,0.283239636501609,0.5610929156427499,0.5412474849094567
2021,xgboost,5810,497,1669,0.669761189091826,0.23853635543248322,0.6234428705026942,0.5995975855130785
2022,coinflip,6307,506,0,0.6931471805599454,0.25,0.5,0.5
2022,logistic,6307,506,1669,0.7556171513858797,0.2682148880166096,0.5850817853739319,0.5573122529644269
2022,xgboost,6307,506,1669,0.662455858956869,0.23491905492513004,0.6468113858988579,0.6146245059288538
2023,coinflip,6813,504,0,0.6931471805599454,0.25,0.5,0.5
2023,logistic,6813,504,1669,0.7845812120361518,0.2808549949794157,0.5478985575711766,0.5257936507936508
2023,xgboost,6813,504,1669,0.6651844629186994,0.23627406309777066,0.6364992756361805,0.6091269841269841
