variant,folds,mean_features,mean_log_loss,mean_brier,mean_auc,mean_accuracy,mean_delta_log_loss_vs_all,mean_delta_brier_vs_all,mean_delta_auc_vs_all,mean_delta_accuracy_vs_all
all_minus_duration_experience,4,1620.0,0.6627290332837523,0.23512755037053645,0.6428649536718178,0.6093705336088986,-0.0023186297278766643,-0.001107395857162248,0.005388175833872688,0.001968180971548966
all_minus_target_mix,4,1186.0,0.6630917785362329,0.23527839957051955,0.6433855301069848,0.6091742452543126,-0.0019558844753961024,-0.0009565466571791401,0.005908752269039752,0.0017718926169630334
all,4,1669.0,0.665047663011629,0.2362349462276987,0.6374767778379451,0.6074023526373495,0.0,0.0,0.0,0.0
all_minus_volatility,4,967.0,0.6652640900669845,0.2363488906817211,0.638031386593988,0.6074084546030352,0.00021642705535548923,0.00011394445402239384,0.0005546087560427682,6.101965685512134e-06
physical_plus_novel,4,1501.0,0.6654233896216614,0.23643041379280572,0.6363087921451182,0.6012019337953202,0.00037572661003235086,0.0001954675651070284,-0.0011679856928270005,-0.006200418842029404
physical_plus_fsr_like,4,192.0,0.6665035788489556,0.23694387180040782,0.6339945415547693,0.5982671233934247,0.0014559158373266268,0.0007089255727091362,-0.0034822362831758713,-0.009135229243924903
all_minus_round_progression,4,934.0,0.6669279529879517,0.23712872748828662,0.6327077989930896,0.6037312172301456,0.0018802899763226688,0.0008937812605879225,-0.004768978844855526,-0.0036711354072040125
all_minus_wrestling_control,4,1081.0,0.6670787605296289,0.23722275867873993,0.6332903493032414,0.6004945237186511,0.002031097517999819,0.0009878124510412298,-0.004186428534703829,-0.006907828918698511
physical_only,4,24.0,0.6764117450296201,0.24172012672723706,0.6054186933892767,0.5844044365362492,0.011364082017991078,0.005485180499538368,-0.03205808444866842,-0.02299791610110044
all_minus_physical,4,1645.0,0.6802224589734813,0.24360156173154995,0.5930594957769597,0.5607445750778574,0.015174795961852366,0.007366615503851259,-0.044417282060985414,-0.046657777559492214
novel_behavior_only,4,1477.0,0.6807147387936026,0.24384529707872346,0.5913260143840374,0.559854487403477,0.01566707578197349,0.0076103508510247594,-0.046150763453907756,-0.04754786523387261
fsr_like_only,4,168.0,0.6832504162504038,0.2450967225029172,0.5787224771947607,0.5511736896649634,0.01820275323877485,0.008861776275218516,-0.05875430064318449,-0.05622866297238621
