feature,folds,mean_gain,mean_abs_shap,median_shap_rank,top100_folds
diff_profile_age,4,16.98309350013733,0.17365369200706482,1.0,4
self_profile_reach,4,23.989259243011475,0.10945752449333668,2.0,4
opp_profile_reach,4,24.02747678756714,0.10646829009056091,3.0,4
opp_profile_age,4,8.989757776260376,0.0565909082069993,4.0,4
self_profile_age,4,8.813790917396545,0.05579262413084507,5.0,4
diff_profile_weight,4,5.702367782592773,0.03741461597383022,6.5,4
diff_hist_f3_ground_attempts_per_control_min_std,4,6.089410066604614,0.03017604723572731,10.0,4
diff_profile_reach,4,38.255340576171875,0.02897482831031084,8.0,4
diff_hist_d730_total_str_landed_per15_mean,4,4.807016611099243,0.026151688303798437,9.5,4
diff_hist_career_td_attempted_per15_mean,4,7.810520768165588,0.023066228022798896,9.0,4
diff_hist_career_td_landed_per15_mean,4,6.61847198009491,0.019944006577134132,12.5,4
diff_hist_career_distance_landed_per15_std,4,4.884162068367004,0.01834225608035922,15.0,4
diff_hist_d730_elapsed_seconds_mean,4,7.139289975166321,0.01627459970768541,15.5,4
opp_hist_f3_distance_acc_mean,4,5.804122567176819,0.015670734224841,21.5,4
self_hist_f3_distance_acc_mean,4,6.0767048597335815,0.01338430936448276,20.0,4
diff_hist_d730_rounds_observed_mean,4,7.065119981765747,0.013176871230825782,29.0,4
diff_hist_f3_body_landed_per15_mean,4,4.6867653131484985,0.012257261900231242,34.5,4
opp_hist_f3_r1_distance_attempted_std,4,4.891722559928894,0.01223574101459235,24.0,4
diff_hist_d730_r1_distance_attempted_mean,4,5.116252183914185,0.012203681282699108,25.5,4
diff_hist_f1_r2_minus_r1_ctrl_sec_mean,4,5.37405800819397,0.01205782382749021,34.0,4
opp_hist_career_ground_attempted_per15_mean,4,7.375057697296143,0.01174399338196963,30.0,4
self_hist_f3_r1_distance_attempted_std,4,4.895531415939331,0.011684676283039153,27.0,4
diff_profile_stance_southpaw,4,5.08436381816864,0.011162075563333929,29.5,4
self_hist_f3_r2_minus_r1_ctrl_sec_mean,4,5.423452973365784,0.011027069995179772,36.0,4
opp_hist_career_r2_minus_r1_sig_str_landed_mean,4,4.368716597557068,0.010834743967279792,36.5,4
diff_hist_f3_distance_acc_std,4,4.853074312210083,0.009133302490226924,39.0,4
self_hist_f3_r2_minus_r1_sig_str_attempted_std,4,5.023048043251038,0.009000860387459397,44.0,4
opp_hist_f3_r2_minus_r1_ctrl_sec_mean,4,5.301332950592041,0.00840989372227341,53.5,4
opp_hist_d730_r3_minus_r1_clinch_attempted_mean,4,6.210869312286377,0.008364306879229844,51.0,4
opp_hist_f3_sig_str_attempted_per15_std,4,4.6353689432144165,0.0069348952965810895,73.0,4
self_hist_f3_sig_str_attempted_per15_std,4,4.754392027854919,0.0068414583802223206,76.5,4
diff_hist_d730_r2_distance_attempted_std,4,5.695773482322693,0.013667095976416022,24.5,3
diff_hist_career_r3_ctrl_sec_std,4,6.714655637741089,0.013518252992071211,19.5,3
diff_hist_d730_kd_per15_std,4,4.9006874561309814,0.012331223930232227,23.0,3
self_hist_career_ground_attempted_per15_mean,4,6.890156149864197,0.01173291855957359,25.5,3
self_hist_career_r2_minus_r1_sig_str_landed_mean,4,4.48983371257782,0.011690796469338238,30.0,3
diff_hist_career_r2_clinch_attempted_std,4,4.71799236536026,0.009996135864639655,30.0,3
opp_hist_career_r3_ground_attempted_std,4,6.253675818443298,0.008427396998740733,42.0,3
diff_hist_d730_r3_sig_str_landed_std,4,5.990841448307037,0.0083074503345415,58.0,3
diff_hist_f1_total_str_attempted_per15_mean,4,4.863294541835785,0.008203048433642834,66.0,3
opp_hist_f3_r2_minus_r1_sig_str_attempted_std,4,4.944019615650177,0.008024039125302806,43.0,3
diff_hist_f1_r1_sig_str_landed_mean,4,5.471798479557037,0.007762671215459704,78.0,3
diff_hist_f3_r2_minus_r1_sig_str_attempted_std,4,4.7715476751327515,0.007322260527871549,66.5,3
self_hist_d730_head_landed_per15_mean,4,9.380138635635376,0.007297915522940457,58.5,3
opp_hist_d730_head_acc_mean,4,5.883392333984375,0.007236286503029987,61.5,3
self_hist_career_total_str_attempted_per15_mean,4,5.523817300796509,0.007178289059083909,70.5,3
diff_hist_career_rounds_observed_std,4,4.979566812515259,0.007065438432618976,65.0,3
opp_hist_career_r1_distance_attempted_std,4,4.706327319145203,0.007021983037702739,54.0,3
diff_hist_career_r2_td_attempted_mean,4,5.428629279136658,0.006661334657110274,59.5,3
self_hist_d730_head_acc_mean,4,7.142529189586639,0.0063780456548556685,57.0,3
diff_hist_career_ground_attempts_per_control_min_std,4,4.535866856575012,0.006347118644043803,83.5,3
self_hist_f3_elapsed_seconds_mean,4,5.594999432563782,0.006091492279665545,69.5,3
opp_hist_d730_r3_sig_str_landed_std,4,5.215777516365051,0.005831817092257552,71.5,3
opp_hist_f1_distance_acc_mean,4,5.049071311950684,0.005813518393551931,78.0,3
opp_hist_career_td_landed_per15_mean,4,7.310020685195923,0.005748205003328621,71.5,3
opp_hist_f3_elapsed_seconds_mean,4,5.213019847869873,0.00574348762165755,82.0,3
diff_hist_career_rounds_observed_mean,4,5.927203893661499,0.005550679750740528,89.5,3
opp_hist_f3_distance_acc_std,4,4.815481781959534,0.005458785628434271,87.0,3
opp_hist_f1_sig_acc_mean,4,5.277874827384949,0.005090673366794363,90.5,3
diff_hist_career_r1_ctrl_sec_mean,4,5.84802520275116,0.01250677474308759,66.0,2
diff_hist_f3_r1_ctrl_sec_mean,4,7.118250727653503,0.00928056362317875,67.0,2
diff_hist_f1_leg_attempted_per15_mean,4,5.3028644323349,0.009012342139612883,102.5,2
diff_hist_f3_elapsed_seconds_mean,4,5.566299378871918,0.00805561660672538,162.0,2
self_hist_d730_r3_minus_r1_clinch_attempted_mean,4,5.5115678906440735,0.0077107123215682805,86.0,2
opp_hist_d730_head_landed_per15_mean,4,7.676816463470459,0.007663282915018499,68.5,2
self_hist_f3_r1_sig_str_landed_mean,4,5.852379322052002,0.007074108929373324,80.0,2
opp_hist_f3_clinch_attempt_share_mean,4,5.239884734153748,0.006830685182649177,128.5,2
