calculator,directional_features,folds,total_mean_abs_shap,mean_abs_shap,top100_hits
quantile,276,4,0.7448917977744713,0.0006747208313174559,38
autocorrelation,207,4,0.4495183351828018,0.0005428965400758476,20
c3,138,4,0.2739283006376354,0.0004962469214449917,18
median,69,4,0.25201756758906413,0.0009131071289458845,12
skewness,69,4,0.21249953925143927,0.0007699258668530408,11
minimum,69,4,0.19393335546192247,0.0007026570850069655,11
linear_trend,207,4,0.4239148968918016,0.0005119745131543497,10
abs_energy,69,4,0.18968165710975882,0.0006872523808324595,9
time_reversal_asymmetry_statistic,138,4,0.17470808928192127,0.000316500161742611,9
cid_ce,138,4,0.16708464226394426,0.0003026895693187396,9
kurtosis,69,4,0.15059228755126242,0.0005456242302581971,9
mean_abs_change,69,4,0.17610854271333665,0.000638074430120785,8
root_mean_square,69,4,0.13227184874995146,0.00047924582880417194,7
mean,69,4,0.1432801681003184,0.0005191310438417333,6
binned_entropy,69,4,0.08153887937078252,0.0002954307223579077,4
mean_change,69,4,0.1527447783955722,0.0005534231101288848,3
ratio_beyond_r_sigma,138,4,0.11766398430336267,0.00021315939185391787,3
last_location_of_minimum,69,4,0.08710217727639247,0.00031558759882750894,3
first_location_of_maximum,69,4,0.09017273286008276,0.00032671280021769115,2
maximum,69,4,0.06755360969691537,0.0002447594554236064,1
variance,69,4,0.03117451278376393,0.00011295113327450699,1
number_peaks,138,4,0.02623134627356194,4.752055484340931e-05,1
last_location_of_maximum,69,4,0.04789855003764387,0.0001735454711508836,0
first_location_of_minimum,69,4,0.04606685090402607,0.00016690888008705096,0
standard_deviation,69,4,0.041336714901262894,0.00014977070616399598,0
absolute_sum_of_changes,69,4,0.03177442048036028,0.00011512471188536333,0
longest_strike_below_mean,69,4,0.015605597320245579,5.65420192762521e-05,0
longest_strike_above_mean,69,4,0.011128862301120535,4.032196485913237e-05,0
count_above_mean,69,4,0.005619826086331159,2.0361688718591154e-05,0
count_below_mean,69,4,0.0017200686852447689,6.2321329175535105e-06,0
