feature,raw_feature,source_metric,calculator,nonmissing_target_share
tsf_kd_per15__mean,kd_per15__mean,kd_per15,mean,0.6661883285499521
tsf_kd_per15__median,kd_per15__median,kd_per15,median,0.6661883285499521
tsf_kd_per15__minimum,kd_per15__minimum,kd_per15,minimum,0.6661883285499521
tsf_kd_per15__maximum,kd_per15__maximum,kd_per15,maximum,0.6661883285499521
tsf_kd_per15__standard_deviation,kd_per15__standard_deviation,kd_per15,standard_deviation,0.6661883285499521
tsf_kd_per15__variance,kd_per15__variance,kd_per15,variance,0.6661883285499521
tsf_kd_per15__root_mean_square,kd_per15__root_mean_square,kd_per15,root_mean_square,0.6661883285499521
tsf_kd_per15__abs_energy,kd_per15__abs_energy,kd_per15,abs_energy,0.6661883285499521
tsf_kd_per15__absolute_sum_of_changes,kd_per15__absolute_sum_of_changes,kd_per15,absolute_sum_of_changes,0.6661883285499521
tsf_kd_per15__mean_abs_change,kd_per15__mean_abs_change,kd_per15,mean_abs_change,0.5472188055213886
tsf_kd_per15__mean_change,kd_per15__mean_change,kd_per15,mean_change,0.5472188055213886
tsf_kd_per15__autocorrelation__lag_1,kd_per15__autocorrelation__lag_1,kd_per15,autocorrelation,0.36189695230285635
tsf_kd_per15__autocorrelation__lag_2,kd_per15__autocorrelation__lag_2,kd_per15,autocorrelation,0.3283449501161678
tsf_kd_per15__autocorrelation__lag_3,kd_per15__autocorrelation__lag_3,kd_per15,autocorrelation,0.2899412327456608
tsf_kd_per15__c3__lag_1,kd_per15__c3__lag_1,kd_per15,c3,0.6661883285499521
tsf_kd_per15__c3__lag_2,kd_per15__c3__lag_2,kd_per15,c3,0.6661883285499521
tsf_kd_per15__cid_ce__normalize_False,kd_per15__cid_ce__normalize_False,kd_per15,cid_ce,0.6661883285499521
tsf_kd_per15__cid_ce__normalize_True,kd_per15__cid_ce__normalize_True,kd_per15,cid_ce,0.6661883285499521
tsf_kd_per15__count_above_mean,kd_per15__count_above_mean,kd_per15,count_above_mean,0.6661883285499521
