fold,variant,train_fights,valid_fights,features,log_loss,brier,auc,accuracy
2020,physical_only,5366,444,24,0.6780435432032411,0.24248471337017347,0.6040144874604334,0.5900900900900901
2020,tsfresh_only,5366,444,2898,0.6803275915374345,0.24366267505075206,0.5925604658712766,0.5743243243243243
2020,physical_plus_tsfresh,5366,444,2922,0.6642288640223635,0.23592677460425188,0.6358757406054704,0.6081081081081081
2020,manual_full,5366,444,1669,0.6606518011437411,0.23426383502980924,0.6446311176040906,0.6081081081081081
2020,manual_full_plus_tsfresh,5366,444,4567,0.6627972121192558,0.23520925018865915,0.6428354029705381,0.6036036036036037
2020,manual_pruned,5366,444,1137,0.6624907212757987,0.23502983967000968,0.6457217352487623,0.6013513513513513
2020,manual_pruned_plus_tsfresh,5366,444,4035,0.6621532589853352,0.23480136197357657,0.6497240483726971,0.6081081081081081
2021,physical_only,5810,497,24,0.6826804921458784,0.24489345005147128,0.5763676627167431,0.5593561368209256
2021,tsfresh_only,5810,497,2898,0.6812338782359715,0.24420237284093804,0.5805092122149396,0.5553319919517102
2021,physical_plus_tsfresh,5810,497,2922,0.6681825592331578,0.2378180193167724,0.6261877097595634,0.5835010060362174
2021,manual_full,5810,497,1669,0.669761189091826,0.23853635543248322,0.6234428705026942,0.5995975855130785
2021,manual_full_plus_tsfresh,5810,497,4567,0.6730992852278749,0.24008614877839368,0.6149573497321961,0.5875251509054326
2021,manual_pruned,5810,497,1137,0.666410575300502,0.23690226579290716,0.6326773518373825,0.5975855130784709
2021,manual_pruned_plus_tsfresh,5810,497,4035,0.6706382077222772,0.23894625058666585,0.6217587213421373,0.5875251509054326
2022,physical_only,6307,506,24,0.6740043624419927,0.24046889905666965,0.613191113749629,0.5909090909090909
2022,tsfresh_only,6307,506,2898,0.6826229452185631,0.2447656349900684,0.5908465996969177,0.575098814229249
2022,physical_plus_tsfresh,6307,506,2922,0.6651411699032471,0.23632621702964013,0.6352544173475605,0.5928853754940712
2022,manual_full,6307,506,1669,0.662455858956869,0.23491905492513004,0.6468113858988579,0.6146245059288538
2022,manual_full_plus_tsfresh,6307,506,4567,0.6623363768020827,0.23494835471396353,0.6427924198159634,0.616600790513834
2022,manual_pruned,6307,506,1137,0.6575325343661423,0.2327200736766986,0.652685559843147,0.6185770750988142
2022,manual_pruned_plus_tsfresh,6307,506,4035,0.6607123830443065,0.23424713683082407,0.6458076208033245,0.6007905138339921
2023,physical_only,6813,504,24,0.6707803669714195,0.23897595664101412,0.6235709561602418,0.5853174603174603
2023,tsfresh_only,6813,504,2898,0.6878891126164768,0.24737964657986306,0.561185122197027,0.5337301587301587
2023,physical_plus_tsfresh,6813,504,2922,0.6698970399597215,0.23850183328466393,0.6306059460821365,0.5892857142857143
2023,manual_full,6813,504,1669,0.6651844629186994,0.23627406309777066,0.6364992756361805,0.6091269841269841
2023,manual_full_plus_tsfresh,6813,504,4567,0.6651025784106436,0.23629461406720045,0.6343222474174854,0.6150793650793651
2023,manual_pruned,6813,504,1137,0.6649445110539216,0.23615108108493635,0.6414556563366087,0.6031746031746031
2023,manual_pruned_plus_tsfresh,6813,504,4035,0.6679469982163357,0.23757763298535078,0.6359087616528093,0.6011904761904762
