feature,folds,mean_abs_shap,median_shap_rank,top100_folds
diff_tsf_td_attempted_per15__quantile__q_0_9,4,0.024390331702306867,7.5,4
diff_tsf_kd_per15__cid_ce__normalize_True,4,0.012032927013933659,21.5,4
diff_tsf_body_landed_per15__quantile__q_0_25,4,0.011372392531484365,31.5,4
self_tsf_control_share__skewness,4,0.011094497051090002,18.5,4
opp_tsf_control_share__skewness,4,0.009822397027164698,26.0,4
self_tsf_head_attempted_per15__minimum,4,0.008386369096115232,48.0,4
opp_tsf_kd_per15__linear_trend__attr__rvalue,4,0.007763889036141336,44.0,4
diff_tsf_td_landed_per15__quantile__q_0_9,4,0.007740920758806169,39.5,4
diff_tsf_td_landed_per15__time_reversal_asymmetry_statistic__lag_1,4,0.007193717057816684,45.5,4
diff_tsf_leg_attempted_per15__c3__lag_2,4,0.005282991216517985,77.5,4
diff_tsf_ground_landed_per15__autocorrelation__lag_2,4,0.010972705349558964,31.5,3
opp_tsf_td_landed_per15__abs_energy,4,0.010722683160565794,18.5,3
self_tsf_td_landed_per15__abs_energy,4,0.009068262937944382,32.5,3
opp_tsf_head_attempted_per15__minimum,4,0.00879554491257295,40.0,3
opp_tsf_total_str_attempted_per15__mean_abs_change,4,0.007258810423081741,50.5,3
self_tsf_control_share__kurtosis,4,0.00673045392613858,55.5,3
self_tsf_clinch_landed_per15__quantile__q_0_1,4,0.006151684268843383,75.5,3
diff_tsf_leg_attempted_per15__binned_entropy__max_bins_5,4,0.005784296998172067,55.5,3
self_tsf_leg_attempted_per15__c3__lag_2,4,0.005618898896500468,54.5,3
diff_tsf_td_attempted_per15__abs_energy,4,0.00557200494222343,66.5,3
opp_tsf_clinch_landed_per15__quantile__q_0_1,4,0.005427770200185478,68.0,3
self_tsf_leg_landed_per15__quantile__q_0_25,4,0.0051134233945049345,61.0,3
opp_tsf_leg_attempted_per15__c3__lag_2,4,0.004735996655654162,73.0,3
self_tsf_kd_per15__linear_trend__attr__rvalue,4,0.005723528447560966,92.0,2
diff_tsf_sig_str_attempted_per15__quantile__q_0_9,4,0.005292406858643517,106.5,2
self_tsf_total_str_attempted_per15__mean_abs_change,4,0.005135731684276834,87.5,2
diff_tsf_control_share__kurtosis,4,0.0051179011788917705,172.0,2
diff_tsf_ground_attempted_per15__median,4,0.004787976627994794,163.0,2
diff_tsf_body_attempted_per15__median,4,0.004738741961773485,369.0,2
opp_tsf_control_share__kurtosis,4,0.004687850130721927,116.0,2
self_tsf_td_attempted_per15__time_reversal_asymmetry_statistic__lag_2,4,0.004583536123391241,307.0,2
opp_tsf_total_str_attempted_per15__c3__lag_1,4,0.004342390864621848,112.0,2
self_tsf_kd_per15__autocorrelation__lag_1,4,0.004288287018425763,116.0,2
diff_tsf_leg_attempted_per15__mean_change,4,0.004179686337010935,109.0,2
self_tsf_head_landed_per15__minimum,4,0.004164574958849698,142.5,2
opp_tsf_kd_per15__autocorrelation__lag_1,4,0.004013094236142933,102.5,2
opp_tsf_td_attempted_per15__time_reversal_asymmetry_statistic__lag_2,4,0.0038319898885674775,363.0,2
