mechanic,division,fold,train_rows,valid_rows,delta,beta
distance_attempt_rate,bantamweight,2020,674,88,-0.08429945226997582,0.0023873629024585364
distance_attempt_rate,bantamweight,2021,762,114,-0.19553233557060956,0.0027536407068976714
distance_attempt_rate,bantamweight,2022,876,116,0.0977086434618446,0.0036427282723714986
distance_attempt_rate,bantamweight,2023,992,94,0.09884260909665876,0.0031053106283098603
distance_attempt_rate,featherweight,2020,788,114,0.0068830736004557025,0.00040630238512646424
distance_attempt_rate,featherweight,2021,902,110,0.004054982952206743,8.386910434786193e-05
distance_attempt_rate,featherweight,2022,1012,102,0.014533361918497079,-0.0006500833459235909
distance_attempt_rate,featherweight,2023,1114,92,0.018416716883643325,-0.0003384892562569147
distance_attempt_rate,flyweight,2020,324,38,0.005779969672801144,0.001509497158524122
distance_attempt_rate,flyweight,2021,362,48,-0.09565794686191698,0.001241204383027567
distance_attempt_rate,flyweight,2022,410,60,-0.01727056800767457,0.003406730242424917
distance_attempt_rate,flyweight,2023,470,56,-0.11383785530718527,0.003353721052273964
distance_attempt_rate,heavyweight,2020,526,88,-0.047826401412841335,0.0019321503839021977
distance_attempt_rate,heavyweight,2021,614,76,0.0114319768976614,0.0026873755088973506
distance_attempt_rate,heavyweight,2022,690,70,-0.10669632985929756,0.0024055714511952942
distance_attempt_rate,heavyweight,2023,760,62,-0.16823200538153138,0.003270515997560658
distance_attempt_rate,light heavyweight,2020,586,68,0.12582184104236926,0.003926987715502387
distance_attempt_rate,light heavyweight,2021,654,70,-0.03645019112402892,0.003072219244409286
distance_attempt_rate,light heavyweight,2022,724,66,-0.03795739554777455,0.00311811216605639
distance_attempt_rate,light heavyweight,2023,790,58,-0.06306678632809515,0.0031938569320641716
distance_attempt_rate,lightweight,2020,1282,88,-0.0007964561724929098,0.002658910079135289
distance_attempt_rate,lightweight,2021,1370,114,-0.0002290826533535295,0.002581220898800051
distance_attempt_rate,lightweight,2022,1484,126,0.07382335533977269,0.002491163568904443
distance_attempt_rate,lightweight,2023,1610,124,0.05798140281604347,0.0019851146865695174
distance_attempt_rate,middleweight,2020,836,86,-0.005526527137945436,0.0026636591966423245
distance_attempt_rate,middleweight,2021,922,124,-0.03668056270051068,0.0025197413618921363
distance_attempt_rate,middleweight,2022,1046,126,-0.01274629663250959,0.0025962773202932695
distance_attempt_rate,middleweight,2023,1172,96,-0.08589415950801449,0.0025093006065626472
distance_attempt_rate,welterweight,2020,1232,104,-0.00020873933088871865,-5.734686495783041e-06
distance_attempt_rate,welterweight,2021,1336,114,0.04132930709587157,-0.0005845432502548
distance_attempt_rate,welterweight,2022,1450,118,0.007138412775772096,0.0004937218479273067
distance_attempt_rate,welterweight,2023,1568,102,-0.012839608132923175,0.0002743124688734766
distance_attempt_rate,women's bantamweight,2021,222,30,-0.02792214752395239,0.000606391902223746
distance_attempt_rate,women's flyweight,2022,226,60,-0.11229938521831517,0.0018220248045566494
distance_attempt_rate,women's flyweight,2023,286,50,0.18171691814401392,0.0026205859122878546
distance_attempt_rate,women's strawweight,2021,234,52,0.0020038960142274576,-6.350632280132418e-05
distance_attempt_rate,women's strawweight,2022,286,62,-0.09619850532493857,0.0011440196934188812
distance_attempt_rate,women's strawweight,2023,348,56,0.006517460742008652,0.0036539854088336026
td_completion,bantamweight,2020,475,53,0.00928861822174687,-0.012524763130201401
td_completion,bantamweight,2021,528,68,-1.485486901176003e-05,-0.0021351873475482378
td_completion,bantamweight,2022,596,79,-0.0001729547970379386,-0.0017727074381240079
td_completion,bantamweight,2023,675,68,0.0007827988013521248,-0.0030398416050271926
td_completion,featherweight,2020,512,80,0.0005266757451195536,-0.004574549146764652
td_completion,featherweight,2021,592,77,8.761373295984587e-05,-0.002575784976845672
td_completion,featherweight,2022,669,67,-0.0002757778543244216,-0.0019377634672472018
td_completion,featherweight,2023,736,62,0.0004423030575213538,-0.003220113953042442
td_completion,flyweight,2021,294,31,0.0045202108479774905,0.017814036480419446
td_completion,flyweight,2022,325,35,0.0029356981796945236,0.01375518058779824
td_completion,flyweight,2023,360,33,0.0014908074588465547,0.00960927961611505
td_completion,heavyweight,2020,280,36,-0.0030657493654979717,0.01075436870225437
td_completion,heavyweight,2021,316,36,0.007724169061070318,0.013305953067278397
td_completion,heavyweight,2023,378,34,0.0016379599430702552,0.008294881193699534
td_completion,light heavyweight,2020,371,30,-0.0001246933033807185,0.0015675612160959628
td_completion,light heavyweight,2021,401,41,0.0005089869157645088,0.002100166648808889
td_completion,light heavyweight,2022,442,33,-0.00022085617522449308,0.0003513082818005223
td_completion,light heavyweight,2023,475,36,-0.0015183123932528408,0.004629009305219634
td_completion,lightweight,2020,876,57,-9.117305801853437e-05,0.006959196770133848
td_completion,lightweight,2021,933,74,0.0015671293714559775,0.0069346578178911995
td_completion,lightweight,2022,1007,83,-0.0013254710161221261,0.004728589067166877
td_completion,lightweight,2023,1090,78,0.0007791467588874612,0.007320704316566177
td_completion,middleweight,2020,527,51,0.0024935616371389857,0.01676244358875642
td_completion,middleweight,2021,578,82,-0.0004651413834363405,0.014836123507606802
td_completion,middleweight,2022,660,83,-0.0056023230183034345,0.013389599149311059
td_completion,middleweight,2023,743,60,0.004927320636044841,0.017369408290816214
td_completion,welterweight,2020,829,71,0.0020090156187533292,0.004160854829855045
td_completion,welterweight,2021,900,78,3.164335772742888e-06,-3.375128927768801e-05
td_completion,welterweight,2022,978,78,-0.00018750170423087464,0.0007928503517176435
td_completion,welterweight,2023,1056,69,-0.0013043503492407016,0.002604933500278538
td_completion,women's strawweight,2023,235,46,0.0035650502932860206,-0.03257271038902747
