mechanic,division,folds,folds_improved,mean_delta,positive_beta_folds,negative_beta_folds,mean_beta,total_valid_rows
distance_attempt_rate,bantamweight,4,2,-0.020820133820520503,4,0,0.0029722606275093917,412
distance_attempt_rate,featherweight,4,0,0.010972033838700712,2,2,-0.00012460027817654483,418
distance_attempt_rate,flyweight,4,3,-0.05524660012599392,4,0,0.0023777882090626427,202
distance_attempt_rate,heavyweight,4,3,-0.07783068993900222,4,0,0.0025739033353888753,296
distance_attempt_rate,light heavyweight,4,3,-0.0029131329893823388,4,0,0.0033277940145080586,262
distance_attempt_rate,lightweight,4,2,0.03269480483249243,4,0,0.0024291023083523253,452
distance_attempt_rate,middleweight,4,4,-0.03521188649474505,4,0,0.0025722446213475945,432
distance_attempt_rate,welterweight,4,2,0.008854843101957943,2,2,4.443909501255006e-05,438
distance_attempt_rate,women's bantamweight,1,1,-0.02792214752395239,1,0,0.000606391902223746,30
distance_attempt_rate,women's flyweight,2,1,0.03470876646284937,2,0,0.0022213053584222518,110
distance_attempt_rate,women's strawweight,3,1,-0.029225716189567486,2,1,0.0015781662598170533,170
td_completion,bantamweight,4,2,0.002470901839262324,0,4,-0.00486812488022521,268
td_completion,featherweight,4,1,0.00019520367031908292,0,4,-0.003077052885974992,286
td_completion,flyweight,3,0,0.002982238828839523,3,0,0.013726165561444246,99
td_completion,heavyweight,3,1,0.0020987932128808673,3,0,0.010785067654410766,106
td_completion,light heavyweight,4,3,-0.0003387187390233859,4,0,0.002162011362981252,140
td_completion,lightweight,4,2,0.00023240801405069456,4,0,0.006485786992939525,292
td_completion,middleweight,4,2,0.00033835446786101286,4,0,0.015589393634122624,276
td_completion,welterweight,4,2,0.00013008197526362397,3,1,0.0018812218481433847,296
td_completion,women's strawweight,1,0,0.0035650502932860206,0,1,-0.03257271038902747,46
