mechanic,fold,scenario,reach_term,threshold_inches,train_rows,valid_rows,base_score,reach_score,delta,beta
distance_attempt_rate,2020,full_linear,reach_edge,,6850,832,9.44706506851743,9.453175485346362,0.006110416828931875,0.0018432272389563701
distance_attempt_rate,2020,clip4,reach_clip4,4.0,6850,832,9.44706506851743,9.449067920351938,0.0020028518345078794,0.002829848631622258
distance_attempt_rate,2020,clip6,reach_clip6,6.0,6850,832,9.44706506851743,9.452366749994995,0.005301681477565268,0.002470912021561453
distance_attempt_rate,2020,trim_abs4,reach_edge,4.0,2584,302,11.87430418629114,11.888704139441243,0.014399953150103784,-0.0017603295144067578
distance_attempt_rate,2020,trim_abs6,reach_edge,6.0,3936,458,9.395285255767675,9.395349882169386,6.462640171100986e-05,0.00032584249174295843
distance_attempt_rate,2020,trim_train_p95,reach_edge,15.240000000000009,6510,794,9.310933987802466,9.31939923531117,0.008465247508704365,0.00190415430248193
distance_attempt_rate,2021,full_linear,reach_edge,,7682,942,10.189782796920221,10.155552768271265,-0.03423002864895608,0.001672913384357165
distance_attempt_rate,2021,clip4,reach_clip4,4.0,7682,942,10.189782796920221,10.167194400843371,-0.02258839607685026,0.0025988557468882485
distance_attempt_rate,2021,clip6,reach_clip6,6.0,7682,942,10.189782796920221,10.165103475977375,-0.024679320942846417,0.0022146379810257526
distance_attempt_rate,2021,trim_abs4,reach_edge,4.0,2886,308,8.71749264476913,8.71756660012109,7.395535195975356e-05,-2.5701759174017498e-05
distance_attempt_rate,2021,trim_abs6,reach_edge,6.0,4394,556,9.248907736681602,9.244553040457694,-0.00435469622390805,0.00028751350338998593
distance_attempt_rate,2021,trim_train_p95,reach_edge,15.240000000000009,7304,906,10.093685980680815,10.064414346132011,-0.029271634548804215,0.001696410026392
distance_attempt_rate,2022,full_linear,reach_edge,,8624,966,8.025902128012742,8.008108322396815,-0.017793805615927027,0.001925586547525216
distance_attempt_rate,2022,clip4,reach_clip4,4.0,8624,966,8.025902128012742,8.007359706725863,-0.018542421286879218,0.0031892719331375998
distance_attempt_rate,2022,clip6,reach_clip6,6.0,8624,966,8.025902128012742,8.011285139524656,-0.014616988488086236,0.00259978413469401
distance_attempt_rate,2022,trim_abs4,reach_edge,4.0,3194,342,8.054374737272058,8.048112258989244,-0.006262478282813788,0.00039367080001468546
distance_attempt_rate,2022,trim_abs6,reach_edge,6.0,4950,570,8.126169944014404,8.111379699077169,-0.014790244937234576,0.0013014725934955465
distance_attempt_rate,2022,trim_train_p95,reach_edge,15.240000000000009,8210,922,8.00110704277569,8.001422257712083,0.0003152149363927492,0.0019492823041369262
distance_attempt_rate,2023,full_linear,reach_edge,,9590,854,8.067767300518588,8.04132046963208,-0.02644683088650801,0.0019678692381974025
distance_attempt_rate,2023,clip4,reach_clip4,4.0,9590,854,8.067767300518588,8.030152838810244,-0.03761446170834404,0.0034650412935949087
distance_attempt_rate,2023,clip6,reach_clip6,6.0,9590,854,8.067767300518588,8.02920776581468,-0.03855953470390716,0.0026919562395057
distance_attempt_rate,2023,trim_abs4,reach_edge,4.0,3536,318,7.290969502513741,7.260206129759668,-0.03076337275407326,0.0028835054744919433
distance_attempt_rate,2023,trim_abs6,reach_edge,6.0,5520,480,8.150890234628578,8.134651085645531,-0.016239148983046903,0.0019030390260236587
distance_attempt_rate,2023,trim_train_p95,reach_edge,15.240000000000009,9132,810,8.112188481659743,8.081968778798563,-0.030219702861179698,0.001836992235630818
td_completion,2020,full_linear,reach_edge,,4537,516,0.6561657546816939,0.6555783954889398,-0.0005873591927541,0.003308213490358892
td_completion,2020,clip4,reach_clip4,4.0,4537,516,0.6561657546816939,0.6556166717216887,-0.0005490829600052205,0.006294271456996039
