mechanic,scenario,folds,folds_improved,mean_delta,median_delta,positive_beta_folds,negative_beta_folds,mean_beta,median_beta,mean_valid_rows
distance_attempt_rate,clip4,4,3,-0.01918560680939141,-0.02056540868186474,4,0,0.003020754401310754,0.003009560282379929,898.5
distance_attempt_rate,clip6,4,3,-0.018138540664318636,-0.019648154715466326,4,0,0.002494322594196729,0.0025353480781277315,898.5
distance_attempt_rate,full_linear,4,3,-0.01809006208061481,-0.02212031825121752,4,0,0.0018523991022590385,0.0018844068932407931,898.5
distance_attempt_rate,trim_abs4,4,2,-0.005637985633705878,-0.0030942614654270173,2,2,0.0003727862502314634,0.000183984520420334,317.5
distance_attempt_rate,trim_abs6,4,3,-0.00882986593561963,-0.009572470580571313,4,0,0.0009544669036630374,0.0008136575426192524,516.0
distance_attempt_rate,trim_train_p95,4,2,-0.0126777187412217,-0.014478209806205733,4,0,0.0018467097171604185,0.001870573269056374,858.0
td_completion,clip4,4,3,-0.00013677000236589354,-0.00015546420697354346,4,0,0.008703550772326065,0.008849311984132496,576.0
td_completion,clip6,4,3,-0.0001683561138806633,-0.00022975454477663915,4,0,0.006347290717901046,0.006511606860864773,576.0
td_completion,full_linear,4,3,-0.00029899110070336077,-0.00034745841573197156,4,0,0.00461806842810653,0.004847673797600451,576.0
td_completion,trim_abs4,4,1,4.1229357003569334e-05,0.0001050453198019885,4,0,0.013910247471987408,0.014141744423080395,206.25
td_completion,trim_abs6,4,1,8.663296698369072e-05,0.00010984941465125297,4,0,0.002874917062323621,0.002857769966099227,332.0
td_completion,trim_train_p95,4,3,-0.00027976483364444693,-0.0004161889961084575,4,0,0.00431630119872221,0.004584063427209399,550.0
