mechanic,variant,term,folds,mean_beta,median_beta,positive_folds,negative_folds,mean_effect_ratio_per_inch,mean_effect_ratio_at_plus4_inches
distance_accuracy,division_age_height_reach,reach_edge,4,2.2656008651372365e-05,-7.728533150495092e-05,2,2,1.000022749269207,1.000092116654536
distance_accuracy,division_age_height_reach_tanh,reach_tanh,4,0.0018556837501601232,0.0010577677297397487,2,2,,1.001421250094407
distance_accuracy,division_age_reach,reach_edge,4,-0.00037307360894495894,-0.0003879958013181697,0,4,0.999627026209361,0.9985093017223095
distance_attempt_rate,division_age_height_reach,reach_edge,4,0.0018523759427444186,0.0018843823146850172,4,0,1.0018540990358848,1.0074371247890965
distance_attempt_rate,division_age_height_reach_tanh,reach_tanh,4,0.013948247536627364,0.0139628657398231,4,0,,1.0106800290583637
distance_attempt_rate,division_age_reach,reach_edge,4,0.002898606539411686,0.0028937766720683426,4,0,1.0029028272245584,1.0116621548475473
ground_accuracy,division_age_height_reach,reach_edge,4,0.0018950462875956362,0.0016939792350787312,4,0,1.0018969723462863,1.0076110694701064
ground_accuracy,division_age_height_reach_tanh,reach_tanh,4,0.013825405903283251,0.013354133380900026,4,0,,1.010590932021078
ground_accuracy,division_age_reach,reach_edge,4,0.002474294604294969,0.0022697884699592703,4,0,1.0024776123607393,1.009950416659791
ground_attempt_rate,division_age_height_reach,reach_edge,4,-0.0012459160797486,-0.00129690857123822,0,4,0.9987549072320024,0.9950294904633004
ground_attempt_rate,division_age_height_reach_tanh,reach_tanh,4,-0.02264767308840648,-0.021036929796549177,0,4,,0.9829083674757959
ground_attempt_rate,division_age_reach,reach_edge,4,0.00024367761057758652,0.00029155532099076016,3,1,1.0002437783660072,1.0009763234079123
td_attempt_rate,division_age_height_reach,reach_edge,4,-0.0011485103964760622,-0.0011049624091936147,0,4,0.9988521953822017,0.995417236182088
td_attempt_rate,division_age_height_reach_tanh,reach_tanh,4,-0.015397701542349929,-0.016514699513637158,0,4,,0.9883475546944713
td_attempt_rate,division_age_reach,reach_edge,4,-0.005272322814170362,-0.005267234876173179,0,4,0.9947416285106538,0.9791327458389072
td_completion,division_age_height_reach,reach_edge,4,0.004618068428106886,0.004847673797599794,4,0,1.0046290828566922,1.0186493686516296
td_completion,division_age_height_reach_tanh,reach_tanh,4,0.039109476169737124,0.04000740663020004,4,0,,1.0302488580557438
td_completion,division_age_reach,reach_edge,4,0.000322695184506699,0.0005925370097966504,3,1,1.0003230336057831,1.0012961970330143
