r_style_label,b_style_label,style_matchup_key,fights,red_wins,blue_wins,red_win_rate,same_style_matchup,blue_win_rate,baseline_red_win_rate,red_win_rate_edge,abs_red_win_rate_edge
cluster_0,cluster_0,cluster_0_vs_cluster_0,165,122,43,0.7393939393939394,True,0.2606060606060606,0.6039525691699604,0.13544137022397895,0.13544137022397895
cluster_3,cluster_2,cluster_3_vs_cluster_2,273,139,134,0.5091575091575091,False,0.4908424908424909,0.6039525691699604,-0.0947950600124513,0.0947950600124513
cluster_3,cluster_1,cluster_3_vs_cluster_1,288,151,137,0.5243055555555556,False,0.4756944444444444,0.6039525691699604,-0.07964701361440485,0.07964701361440485
cluster_0,cluster_3,cluster_0_vs_cluster_3,143,95,48,0.6643356643356644,False,0.3356643356643356,0.6039525691699604,0.06038309516570395,0.06038309516570395
cluster_1,cluster_0,cluster_1_vs_cluster_0,218,144,74,0.6605504587155964,False,0.33944954128440363,0.6039525691699604,0.05659788954563594,0.05659788954563594
cluster_0,cluster_2,cluster_0_vs_cluster_2,144,95,49,0.6597222222222222,False,0.3402777777777778,0.6039525691699604,0.05576965305226178,0.05576965305226178
cluster_1,cluster_3,cluster_1_vs_cluster_3,208,136,72,0.6538461538461539,False,0.34615384615384615,0.6039525691699604,0.049893584676193425,0.049893584676193425
cluster_2,cluster_2,cluster_2_vs_cluster_2,311,173,138,0.5562700964630225,True,0.4437299035369775,0.6039525691699604,-0.04768247270693793,0.04768247270693793
cluster_2,cluster_3,cluster_2_vs_cluster_3,227,146,81,0.6431718061674009,False,0.3568281938325991,0.6039525691699604,0.039219236997440454,0.039219236997440454
cluster_3,cluster_0,cluster_3_vs_cluster_0,173,110,63,0.6358381502890174,False,0.36416184971098264,0.6039525691699604,0.03188558111905693,0.03188558111905693
cluster_0,cluster_1,cluster_0_vs_cluster_1,186,108,78,0.5806451612903226,False,0.4193548387096774,0.6039525691699604,-0.02330740787963781,0.02330740787963781
cluster_2,cluster_0,cluster_2_vs_cluster_0,148,87,61,0.5878378378378378,False,0.41216216216216217,0.6039525691699604,-0.0161147313321226,0.0161147313321226
cluster_3,cluster_3,cluster_3_vs_cluster_3,284,167,117,0.5880281690140845,True,0.4119718309859155,0.6039525691699604,-0.01592440015587593,0.01592440015587593
cluster_1,cluster_1,cluster_1_vs_cluster_1,503,300,203,0.5964214711729622,True,0.4035785288270378,0.6039525691699604,-0.007531097996998248,0.007531097996998248
cluster_2,cluster_1,cluster_2_vs_cluster_1,236,144,92,0.6101694915254238,False,0.38983050847457623,0.6039525691699604,0.006216922355463339,0.006216922355463339
cluster_1,cluster_2,cluster_1_vs_cluster_2,288,175,113,0.6076388888888888,False,0.39236111111111116,0.6039525691699604,0.0036863197189284103,0.0036863197189284103
