style_matchup_key,eras_present,era_count,total_fights,weighted_red_win_rate,weighted_red_roi,min_red_roi,max_red_roi,positive_roi_eras,all_positive_red_roi,modern_era,has_modern,modern_fights,modern_red_roi,weighted_underdog_roi,positive_dog_roi_eras,all_positive_dog_roi,modern_underdog_roi,durability_score,modern_bonus_score
cluster_1_vs_cluster_4,2010-2016|2021-present,2,57,0.7719298245614035,0.22692153423161035,0.0970331926776833,0.4189303869635025,2,True,2021-present,True,23,0.4189303869635025,-0.022456140350877205,1,False,-0.077391304347826,1.1421466754975214,3.1512662313706823
cluster_0_vs_cluster_4,2010-2016|2017-2020|2021-present,3,121,0.5867768595041323,0.08050898098771489,0.0475861253428714,0.1518527295288854,3,True,2021-present,True,50,0.0475861253428714,-0.020851567011295116,1,False,0.2158915887850467,0.8855987908648638,1.2220835100682377
cluster_3_vs_cluster_2,2010-2016|2021-present,2,49,0.6530612244897959,0.06527039336141507,0.0249556461275385,0.1190233896732505,2,True,2021-present,True,21,0.1190233896732505,-0.3285714285714285,0,False,-0.5628571428571428,0.304595169019937,0.8500288616678326
cluster_3_vs_cluster_5,2017-2020|2021-present,2,51,0.5686274509803921,0.1238005612722528,0.0150733343312371,0.2791251711879895,2,True,2021-present,True,30,0.0150733343312371,-0.04431372549019609,1,False,-0.247,0.5894085651594847,0.6719686174598407
cluster_4_vs_cluster_2,2010-2016|2017-2020|2021-present,3,89,0.6404494382022472,0.0321352193137995,0.0026599494466834,0.0627922160378532,3,True,2021-present,True,34,0.0026599494466834,-0.18617977528089885,0,False,-0.163235294117647,0.30316305268088545,0.3186730899472167
cluster_3_vs_cluster_0,2010-2016|2017-2020|2021-present,3,123,0.5691056910569106,0.15434457811027927,-0.0499846243779343,0.4472951311732947,2,False,2021-present,True,58,-0.0499846243779343,-0.04109949670925279,1,False,-0.0622003284072249,1.711764178098412,1.3310926200542306
cluster_4_vs_cluster_4,2010-2016|2017-2020|2021-present,3,228,0.6008771929824561,0.042937600753147905,-0.0533318430368332,0.227143366012175,2,False,2021-present,True,106,0.018792661893509,-0.19091750957878426,1,False,-0.4011096136567834,0.6483435534680466,0.8418258496882357
cluster_0_vs_cluster_3,2010-2016|2017-2020|2021-present,3,88,0.6590909090909091,0.0059950456244710825,-0.1429367076400181,0.0983979251129302,1,False,2021-present,True,39,0.0983979251129302,-0.24111963793781968,0,False,-0.3607925407925407,0.05623851295575932,0.670733358332564
cluster_4_vs_cluster_0,2010-2016|2017-2020|2021-present,3,148,0.5675675675675675,0.042416479845796266,-0.0329677014262549,0.2300759539897434,2,False,2021-present,True,68,0.011186791373269,0.02151942122530361,1,False,-0.0917363144352763,0.5160187485463182,0.6082673934337913
cluster_3_vs_cluster_4,2010-2016|2017-2020|2021-present,3,198,0.5252525252525253,-0.0113633816568959,-0.2183101852557327,0.1265151599180309,2,False,2021-present,True,76,0.0349986353577223,-0.22238793589060965,0,False,-0.1484210526315789,-0.159896953225179,0.14521407614710308
cluster_5_vs_cluster_3,2017-2020|2021-present,2,61,0.5245901639344263,-0.05946288775476552,-0.2123189581289528,0.0330552601032952,1,False,2021-present,True,38,0.0330552601032952,-0.14158289252964537,1,False,0.0163170349809615,-0.3096133332100874,-0.10584702495755272
cluster_0_vs_cluster_5,2010-2016|2017-2020|2021-present,3,92,0.6195652173913043,-0.008754423450662505,-0.0574280246311361,0.1018818261153183,1,False,2021-present,True,43,-0.0459111632371312,-0.15020139281008846,1,False,-0.5309302325581395,-0.0839694799062307,-0.3850291104129126
cluster_5_vs_cluster_5,2010-2016|2017-2020|2021-present,3,96,0.5416666666666666,-0.02828611552179214,-0.050940966526064,0.0202044042238034,1,False,2021-present,True,39,-0.0462539071564791,-0.08970172581611258,1,False,0.2603434929850024,-0.27714619933523954,-0.5660017569455569
cluster_1_vs_cluster_0,2010-2016|2017-2020|2021-present,3,76,0.6447368421052632,-0.09103130436249518,-0.1471779192093126,0.0170912795022806,1,False,2021-present,True,23,0.0170912795022806,-0.10927428866283352,2,False,-0.4742272561198392,-0.7935925128296196,-0.7116256158188338
cluster_4_vs_cluster_3,2010-2016|2017-2020|2021-present,3,125,0.616,-0.023371504606834584,-0.2015473522610497,0.1307790366720164,1,False,2021-present,True,54,-0.0721961103007562,-0.16407449735449733,0,False,-0.1534087791495199,-0.26130136518665814,-0.791832260138294
cluster_5_vs_cluster_4,2010-2016|2017-2020|2021-present,3,76,0.4473684210526316,-0.1570592477733358,-0.3893291151960507,0.0126481090141891,1,False,2021-present,True,33,0.0126481090141891,-0.14036340852130325,0,False,-0.0909090909090909,-1.3692107783849727,-1.2965529237927211
cluster_2_vs_cluster_4,2010-2016|2021-present,2,51,0.5294117647058824,-0.025257304754835383,-0.2434846134427054,0.2016990962805494,1,False,2021-present,True,26,-0.2434846134427054,-0.0007554536966301867,1,False,-0.549908424908425,-0.1202488228030346,-1.3617816180069853
cluster_0_vs_cluster_0,2010-2016|2017-2020|2021-present,3,196,0.5204081632653061,-0.07786328940520745,-0.2441791478545576,0.0603666458631579,1,False,2021-present,True,91,-0.0532932295008559,0.0329757894836159,2,False,-0.1271428571428571,-1.0900860516729043,-1.598471059582669
cluster_5_vs_cluster_0,2010-2016|2017-2020|2021-present,3,127,0.44881889763779526,-0.11671300799974028,-0.1634748642316634,0.0212285946248622,1,False,2021-present,True,59,-0.1598655673350203,0.048565275151657775,1,False,-0.043920355336108,-1.315288801752727,-2.5432395245187207
cluster_0_vs_cluster_1,2010-2016|2021-present,2,64,0.46875,-0.17630080040210616,-0.4298950294874207,0.0209391555531385,1,False,2021-present,True,28,-0.4298950294874207,-0.16402529761904758,0,False,-0.2946428571428571,-0.9402709354778995,-3.215061611250888
cluster_3_vs_cluster_3,2010-2016|2017-2020|2021-present,3,111,0.45045045045045046,-0.2499366247485108,-0.3433172060753413,-0.1896519626988166,0,False,2021-present,True,49,-0.1896519626988166,-0.09473946473946472,1,False,-0.1820094191522762,-2.6332457385069943,-3.96080947739871
cluster_4_vs_cluster_1,2010-2016|2017-2020,2,56,0.5535714285714286,-0.04141115071065989,-0.1631321820447548,0.1095229281436178,1,False,2021-present,False,0,,0.005578231292517032,1,False,,-0.20659511726846605,-0.20659511726846605
cluster_2_vs_cluster_3,2010-2016|2017-2020,2,41,0.4878048780487805,-0.12078110461980729,-0.2967711274233013,0.0468284409073299,1,False,2021-present,False,0,,-0.02398412279990702,1,False,,-0.5155842789433337,-0.5155842789433337
