feature,mean_abs_shap
striking_edge,0.13922481
avg_opponent_elo_diff,0.10416782
elo_diff,0.075012825
str_def_diff,0.06488104
losses_diff,0.06288635
reach_diff,0.060418658
days_since_last_fight_diff,0.05754509
kd_absorbed_avg_diff,0.0473717
aggression_index_diff,0.046076488
chin_risk_diff,0.043752965
win_pct_diff,0.039217163
decision_win_rate_diff,0.03874285
weight_diff,0.037441596
recent_form_win_streak_diff,0.035663724
best_win_elo_diff,0.034798175
submission_mismatch_diff,0.032861244
ewm_days_since_last_fight_diff,0.032796316
sapm_diff,0.031815484
wrestling_mismatch_diff,0.03149205
ewm_ctrl_against_per_min_diff,0.029123858
recent_sapm_diff,0.028235061
avg_fight_time_diff,0.028195236
experience_ratio_diff,0.02818306
recent_avg_fight_time_diff,0.027516749
pressure_striking_adv_diff,0.027297914
recent_form_recent_sapm_diff,0.027273128
fights_diff,0.024219623
decision_loss_rate_diff,0.023384843
td_avg_diff,0.022608109
ctrl_against_per_min_diff,0.02184044
ewm_decision_win_rate_diff,0.019709937
recent_form_best_win_elo_diff,0.019677943
recent_form_win_pct_diff,0.018567959
td_acc_diff,0.017290363
ewm_td_acc_diff,0.017261676
kd_avg_diff,0.017173123
recent_form_worst_loss_elo_diff,0.015098107
recent_form_ko_rate_diff,0.01489607
wrestling_pressure_vs_defense,0.014232195
recent_form_sapm_diff,0.013573373
ewm_recent_sapm_diff,0.013544598
recent_form_ctrl_per_min_diff,0.013074131
ctrl_per_min_diff,0.013039888
ewm_sapm_diff,0.012977422
splm_diff,0.012290238
recent_form_ctrl_against_per_min_diff,0.011962019
td_def_diff,0.011466175
recent_form_days_since_last_fight_diff,0.010397184
recent_td_avg_diff,0.010247547
win_streak_diff,0.010208734
recent_form_td_acc_diff,0.010027717
ewm_finish_loss_rate_diff,0.0094823055
recent_form_str_def_diff,0.009466555
sub_avg_diff,0.009428591
ewm_avg_opponent_elo_diff,0.009148878
ewm_ctrl_per_min_diff,0.008994038
grappling_edge,0.008927535
reach_striking_combo,0.00886457
finish_loss_rate_diff,0.008570084
ewm_kd_absorbed_avg_diff,0.008278754
recent_form_kd_avg_diff,0.008110522
ewm_losses_diff,0.007990646
finish_volatility,0.007975644
ewm_recent_avg_fight_time_diff,0.007967406
worst_loss_elo_diff,0.007860323
recent_form_decision_loss_rate_diff,0.007768263
recent_splm_diff,0.0077159894
ewm_win_streak_diff,0.0073681083
ewm_sub_avg_diff,0.0070558996
ewm_str_acc_diff,0.0066825496
recent_form_loss_streak_diff,0.006065047
str_acc_diff,0.0060049105
recent_form_kd_absorbed_avg_diff,0.005968919
ewm_finish_rate_diff,0.005936154
recent_form_finish_rate_diff,0.0059141694
recent_form_avg_opponent_elo_diff,0.005740195
ewm_wins_diff,0.0050478815
ewm_recent_win_pct_diff,0.004977216
recent_form_decision_win_rate_diff,0.0048884666
recent_form_avg_fight_time_diff,0.004774196
recent_form_recent_win_pct_diff,0.004730733
recent_form_recent_splm_diff,0.0046930863
recent_form_splm_diff,0.0046389806
ewm_td_avg_diff,0.0043918216
recent_form_recent_finish_rate_diff,0.0043793432
ko_rate_diff,0.004301616
recent_form_losses_diff,0.0042803716
ewm_fights_diff,0.004267933
ewm_recent_finish_rate_diff,0.0042629964
ewm_kd_avg_diff,0.004107916
recent_form_sub_win_rate_diff,0.004096704
wins_diff,0.0039168736
recent_form_elo_diff,0.00391521
ewm_win_pct_diff,0.0039034227
ewm_str_def_diff,0.0037922822
ewm_recent_splm_diff,0.0034785669
sub_win_rate_diff,0.0033818814
ewm_splm_diff,0.0031998176
finish_rate_diff,0.0030999817
ewm_sub_win_rate_diff,0.002978894
ewm_ko_rate_diff,0.0029581639
recent_finish_rate_diff,0.0029443426
ewm_worst_loss_elo_diff,0.002757412
recent_form_sub_avg_diff,0.0027281737
ewm_avg_fight_time_diff,0.0027145776
recent_form_recent_td_avg_diff,0.0026839476
ewm_decision_loss_rate_diff,0.0026732595
recent_form_td_avg_diff,0.002647561
recent_form_td_def_diff,0.002484382
ewm_recent_td_avg_diff,0.0024072547
recent_form_finish_loss_rate_diff,0.0023035742
recent_form_wins_diff,0.0022788628
ewm_best_win_elo_diff,0.0022034878
recent_form_fights_diff,0.002049695
recent_win_pct_diff,0.0019739356
ewm_td_def_diff,0.0018594742
height_diff,0.001858699
recent_form_str_acc_diff,0.0016840568
ewm_elo_diff,0.0016369991
recent_form_recent_avg_fight_time_diff,0.0015991492
ewm_loss_streak_diff,0.001464438
loss_streak_diff,0.0009468393
age_diff,0.0
age_squared_diff,0.0
