feature,mean_abs_shap
finish_round,1.4215765
sub_win_rate_diff,0.067820184
combined_ewm_finish_pressure,0.053287327
td_def_diff,0.05039161
combined_ewm_avg_fight_time,0.047891762
style_ko_finisher_score_abs_diff,0.04352996
style_edge_ko_finisher_vs_decision_technician,0.043314386
style_edge_ko_finisher_vs_decision_technician_net,0.043159407
style_edge_ko_finisher_vs_decision_technician_reverse,0.042171065
combined_ewm_finish_rate,0.04186387
style_edge_control_wrestler_vs_ko_finisher_net,0.04021143
recent_sapm_diff,0.037876636
style_all_round_finisher_score_abs_diff,0.035143014
style_edge_control_wrestler_vs_ko_finisher,0.03485455
decision_win_rate_diff,0.03332709
reach_striking_combo,0.0329084
combined_avg_fight_time,0.032882966
recent_avg_fight_time_diff,0.03066192
str_def_diff,0.030604577
style_edge_control_wrestler_vs_ko_finisher_reverse,0.0284042
chin_risk_diff,0.027861632
combined_finish_rate,0.027853861
avg_fight_time_diff,0.027646745
combined_ewm_finish_loss_rate,0.026734253
finish_loss_rate_diff,0.026029529
kd_absorbed_avg_diff,0.025510335
style_ko_finisher_score_diff,0.024772495
style_all_round_finisher_score_diff,0.023827633
sapm_diff,0.02306348
finish_volatility,0.022959203
ko_rate_diff,0.021739796
combined_finish_pressure,0.020891448
decision_loss_rate_diff,0.017270042
recent_finish_rate_diff,0.013851368
reach_mismatch_abs,0.013762352
weight_diff,0.013654288
height_mismatch_abs,0.013087929
height_diff,0.0127720395
finish_rate_diff,0.011854465
reach_diff,0.009087317
combined_finish_loss_rate,0.008123028
